Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -31.6322, Test: -47.6496, Avg: -47.6496
Ep: 1, Reward: -47.6433, Test: -64.9040, Avg: -56.2768
Ep: 2, Reward: -70.1433, Test: -63.9383, Avg: -58.8306
Ep: 3, Reward: -66.3720, Test: -44.6438, Avg: -55.2839
Ep: 4, Reward: -56.5105, Test: -64.4864, Avg: -57.1244
Ep: 5, Reward: -73.2797, Test: -79.7599, Avg: -60.8970
Ep: 6, Reward: -61.0092, Test: -51.3229, Avg: -59.5293
Ep: 7, Reward: -65.9115, Test: -53.3964, Avg: -58.7627
Ep: 8, Reward: -52.4802, Test: -46.8219, Avg: -57.4359
Ep: 9, Reward: -41.5963, Test: -17.8311, Avg: -53.4754
Ep: 10, Reward: -32.9787, Test: -62.8830, Avg: -54.3307
Ep: 11, Reward: -22.5409, Test: 14.8137, Avg: -48.5686
Ep: 12, Reward: 13.8318, Test: 87.5916, Avg: -38.0948
Ep: 13, Reward: 82.3549, Test: 117.3195, Avg: -26.9938
Ep: 14, Reward: 205.0780, Test: 287.3260, Avg: -6.0391
Ep: 15, Reward: 343.6559, Test: 239.0007, Avg: 9.2759
Ep: 16, Reward: 448.4858, Test: 422.7475, Avg: 33.5977
Ep: 17, Reward: 511.0262, Test: 467.9122, Avg: 57.7263
Ep: 18, Reward: 534.9208, Test: 614.5522, Avg: 87.0329
Ep: 19, Reward: 591.6141, Test: 634.5008, Avg: 114.4063
Ep: 20, Reward: 641.8498, Test: 520.7563, Avg: 133.7563
Ep: 21, Reward: 533.4403, Test: 644.5316, Avg: 156.9734
Ep: 22, Reward: 602.0741, Test: 735.3884, Avg: 182.1219
Ep: 23, Reward: 697.4998, Test: 788.8127, Avg: 207.4007
Ep: 24, Reward: 772.1733, Test: 851.1088, Avg: 233.1490
Ep: 25, Reward: 767.2358, Test: 786.0938, Avg: 254.4161
Ep: 26, Reward: 626.0699, Test: 712.3436, Avg: 271.3764
Ep: 27, Reward: 846.2649, Test: 679.4152, Avg: 285.9492
Ep: 28, Reward: 809.2058, Test: 596.2502, Avg: 296.6492
Ep: 29, Reward: 734.0440, Test: 668.8732, Avg: 309.0567
Ep: 30, Reward: 515.7338, Test: 578.0823, Avg: 317.7349
Ep: 31, Reward: 507.8636, Test: 496.9632, Avg: 323.3358
Ep: 32, Reward: 654.6505, Test: 426.8894, Avg: 326.4738
Ep: 33, Reward: 543.6567, Test: 435.5039, Avg: 329.6806
Ep: 34, Reward: 510.2551, Test: 615.9850, Avg: 337.8607
Ep: 35, Reward: 437.9779, Test: 395.0287, Avg: 339.4487
Ep: 36, Reward: 360.2662, Test: 558.0177, Avg: 345.3560
Ep: 37, Reward: 399.6231, Test: 282.9080, Avg: 343.7126
Ep: 38, Reward: 379.1860, Test: 304.6361, Avg: 342.7106
Ep: 39, Reward: 308.2723, Test: 256.7607, Avg: 340.5619
Ep: 40, Reward: 297.2192, Test: 159.1064, Avg: 336.1361
Ep: 41, Reward: 371.7488, Test: 490.3897, Avg: 339.8088
Ep: 42, Reward: 441.2145, Test: 224.3662, Avg: 337.1241
Ep: 43, Reward: 415.6070, Test: 488.1761, Avg: 340.5571
Ep: 44, Reward: 470.5932, Test: 269.6196, Avg: 338.9807
Ep: 45, Reward: 327.4210, Test: 272.3695, Avg: 337.5327
Ep: 46, Reward: 382.9298, Test: 573.9060, Avg: 342.5619
Ep: 47, Reward: 418.0044, Test: 556.1565, Avg: 347.0118
Ep: 48, Reward: 483.1066, Test: 672.6665, Avg: 353.6578
Ep: 49, Reward: 700.2421, Test: 568.7575, Avg: 357.9598
Ep: 50, Reward: 643.1358, Test: 389.7280, Avg: 358.5827
Ep: 51, Reward: 393.1512, Test: 291.6884, Avg: 357.2963
Ep: 52, Reward: 390.5152, Test: 251.1913, Avg: 355.2943
Ep: 53, Reward: 363.1322, Test: 95.2244, Avg: 350.4782
Ep: 54, Reward: 478.6983, Test: 336.5041, Avg: 350.2241
Ep: 55, Reward: 428.2843, Test: 168.4563, Avg: 346.9782
Ep: 56, Reward: 374.8252, Test: 541.1367, Avg: 350.3845
Ep: 57, Reward: 390.3322, Test: 318.9990, Avg: 349.8434
Ep: 58, Reward: 465.3993, Test: 301.3474, Avg: 349.0214
