Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter0/
Ep: 0, Reward: -24.8437, Test: -39.1797, Avg: -39.1797
Ep: 1, Reward: -31.0358, Test: -78.0465, Avg: -58.6131
Ep: 2, Reward: -72.1742, Test: -76.3462, Avg: -64.5241
Ep: 3, Reward: -76.2055, Test: -64.9535, Avg: -64.6315
Ep: 4, Reward: -66.8540, Test: -75.5535, Avg: -66.8159
Ep: 5, Reward: -69.8579, Test: -65.4874, Avg: -66.5945
Ep: 6, Reward: -71.8393, Test: -68.7420, Avg: -66.9013
Ep: 7, Reward: -75.4830, Test: -68.6672, Avg: -67.1220
Ep: 8, Reward: -66.0095, Test: -51.4913, Avg: -65.3853
Ep: 9, Reward: -54.0539, Test: -40.4411, Avg: -62.8908
Ep: 10, Reward: -46.2664, Test: -45.3182, Avg: -61.2933
Ep: 11, Reward: -34.5596, Test: -33.5924, Avg: -58.9849
Ep: 12, Reward: -19.0662, Test: 17.0016, Avg: -53.1398
Ep: 13, Reward: -25.5202, Test: 0.4791, Avg: -49.3099
Ep: 14, Reward: -8.7688, Test: -17.7516, Avg: -47.2060
Ep: 15, Reward: 1.8749, Test: 23.6925, Avg: -42.7748
Ep: 16, Reward: 56.6919, Test: 90.0296, Avg: -34.9628
Ep: 17, Reward: 130.0080, Test: 46.0036, Avg: -30.4647
Ep: 18, Reward: 88.5938, Test: 182.2945, Avg: -19.2668
Ep: 19, Reward: 144.1120, Test: 94.0277, Avg: -13.6021
Ep: 20, Reward: 138.2252, Test: 211.2032, Avg: -2.8971
Ep: 21, Reward: 328.9568, Test: 213.9130, Avg: 6.9579
Ep: 22, Reward: 249.0503, Test: 308.4104, Avg: 20.0645
Ep: 23, Reward: 377.6988, Test: 298.6196, Avg: 31.6710
Ep: 24, Reward: 407.7006, Test: 475.6535, Avg: 49.4303
Ep: 25, Reward: 457.8843, Test: 534.0398, Avg: 68.0691
Ep: 26, Reward: 527.3019, Test: 403.4875, Avg: 80.4920
Ep: 27, Reward: 523.4972, Test: 597.7453, Avg: 98.9654
Ep: 28, Reward: 548.3817, Test: 504.6723, Avg: 112.9553
Ep: 29, Reward: 402.1703, Test: 563.1246, Avg: 127.9609
Ep: 30, Reward: 390.7245, Test: 376.6522, Avg: 135.9832
Ep: 31, Reward: 314.0462, Test: 264.9754, Avg: 140.0142
Ep: 32, Reward: 343.7335, Test: 207.0936, Avg: 142.0469
Ep: 33, Reward: 271.2895, Test: 541.8476, Avg: 153.8058
Ep: 34, Reward: 404.5474, Test: 394.6804, Avg: 160.6879
Ep: 35, Reward: 438.6400, Test: 500.5210, Avg: 170.1277
Ep: 36, Reward: 509.1715, Test: 442.4504, Avg: 177.4878
Ep: 37, Reward: 632.7864, Test: 532.3390, Avg: 186.8260
Ep: 38, Reward: 435.9907, Test: 562.7808, Avg: 196.4658
Ep: 39, Reward: 524.0085, Test: 470.8631, Avg: 203.3258
Ep: 40, Reward: 463.8659, Test: 733.7239, Avg: 216.2623
Ep: 41, Reward: 445.3388, Test: 631.2566, Avg: 226.1431
Ep: 42, Reward: 473.3933, Test: 644.6379, Avg: 235.8756
Ep: 43, Reward: 522.9791, Test: 458.3286, Avg: 240.9313
Ep: 44, Reward: 259.8906, Test: 96.8073, Avg: 237.7286
Ep: 45, Reward: 268.8185, Test: 174.9647, Avg: 236.3641
Ep: 46, Reward: 158.4705, Test: 186.6605, Avg: 235.3066
Ep: 47, Reward: 147.8638, Test: 221.1948, Avg: 235.0126
Ep: 48, Reward: 214.4433, Test: 134.2554, Avg: 232.9563
Ep: 49, Reward: 277.7263, Test: 386.4331, Avg: 236.0259
Ep: 50, Reward: 205.0784, Test: 24.9756, Avg: 231.8876
Ep: 51, Reward: 137.7970, Test: 166.5998, Avg: 230.6321
Ep: 52, Reward: 236.9421, Test: 162.5738, Avg: 229.3480
Ep: 53, Reward: 228.6736, Test: 126.0706, Avg: 227.4354
Ep: 54, Reward: 128.8099, Test: 120.7714, Avg: 225.4961
Ep: 55, Reward: 109.0373, Test: 68.9570, Avg: 222.7007
Ep: 56, Reward: 42.7452, Test: 39.2948, Avg: 219.4831
Ep: 57, Reward: 76.3606, Test: 123.5666, Avg: 217.8294
Ep: 58, Reward: 119.1049, Test: 153.4884, Avg: 216.7388
Ep: 59, Reward: 138.8305, Test: 293.5619, Avg: 218.0192
Ep: 60, Reward: 113.4613, Test: 245.8830, Avg: 218.4760
Ep: 61, Reward: 207.3666, Test: 201.2961, Avg: 218.1989
Ep: 62, Reward: 281.6660, Test: 448.1688, Avg: 221.8492
Ep: 63, Reward: 467.6606, Test: 409.9564, Avg: 224.7884
Ep: 64, Reward: 356.5433, Test: 672.4951, Avg: 231.6762
Ep: 65, Reward: 522.0558, Test: 587.4880, Avg: 237.0673
Ep: 66, Reward: 453.4343, Test: 608.0017, Avg: 242.6036
Ep: 67, Reward: 563.2877, Test: 445.6453, Avg: 245.5895
Ep: 68, Reward: 418.3552, Test: 485.5574, Avg: 249.0673
Ep: 69, Reward: 447.7070, Test: 503.6318, Avg: 252.7040
Ep: 70, Reward: 336.4035, Test: 142.4003, Avg: 251.1504
Ep: 71, Reward: 207.0273, Test: 140.4512, Avg: 249.6129
Ep: 72, Reward: 195.7750, Test: 354.9723, Avg: 251.0562
Ep: 73, Reward: 263.4621, Test: 300.0992, Avg: 251.7189
Ep: 74, Reward: 329.6236, Test: 256.9263, Avg: 251.7884
Ep: 75, Reward: 280.1084, Test: 283.1924, Avg: 252.2016
