Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 67, Reward: 801.4557, Test: 665.6126 [225.03], Avg: 544.0735 (0.10)
Ep: 68, Reward: 602.2093, Test: 746.5203 [205.34], Avg: 547.0075 (0.10)
Ep: 69, Reward: 726.3068, Test: 633.6492 [217.62], Avg: 548.2452 (0.10)
Ep: 70, Reward: 661.5769, Test: 649.7194 [160.20], Avg: 549.6745 (0.10)
Ep: 71, Reward: 687.8464, Test: 627.2112 [278.23], Avg: 550.7514 (0.10)
Ep: 72, Reward: 563.8880, Test: 514.1372 [262.35], Avg: 550.2498 (0.10)
Ep: 73, Reward: 594.0995, Test: 538.6881 [238.07], Avg: 550.0936 (0.10)
Ep: 74, Reward: 448.3088, Test: 437.1386 [156.12], Avg: 548.5875 (0.10)
Ep: 75, Reward: 529.2413, Test: 512.6465 [282.39], Avg: 548.1146 (0.10)
Ep: 76, Reward: 670.4825, Test: 615.1372 [202.18], Avg: 548.9850 (0.10)
Ep: 77, Reward: 710.3427, Test: 584.0963 [228.05], Avg: 549.4352 (0.10)
Ep: 78, Reward: 554.9011, Test: 607.4048 [179.85], Avg: 550.1689 (0.10)
Ep: 79, Reward: 625.0038, Test: 575.3330 [222.17], Avg: 550.4835 (0.10)
Ep: 80, Reward: 554.0086, Test: 519.3784 [116.14], Avg: 550.0995 (0.10)
Ep: 81, Reward: 465.4948, Test: 454.0866 [160.12], Avg: 548.9286 (0.10)
Ep: 82, Reward: 608.9963, Test: 490.2371 [155.38], Avg: 548.2215 (0.10)
Ep: 83, Reward: 563.9582, Test: 471.1059 [250.10], Avg: 547.3034 (0.10)
Ep: 84, Reward: 506.5713, Test: 481.7989 [147.97], Avg: 546.5328 (0.10)
Ep: 85, Reward: 522.8143, Test: 352.3742 [154.26], Avg: 544.2751 (0.10)
Ep: 86, Reward: 507.8479, Test: 437.0258 [186.96], Avg: 543.0424 (0.10)
Ep: 87, Reward: 427.3119, Test: 243.1633 [142.08], Avg: 539.6347 (0.10)
Ep: 88, Reward: 345.8715, Test: 420.1606 [132.31], Avg: 538.2923 (0.10)
Ep: 89, Reward: 387.7009, Test: 456.0130 [175.58], Avg: 537.3780 (0.10)
Ep: 90, Reward: 486.1689, Test: 395.4416 [215.80], Avg: 535.8183 (0.10)
Ep: 91, Reward: 472.3402, Test: 439.3236 [182.78], Avg: 534.7694 (0.10)
Ep: 92, Reward: 402.8524, Test: 583.3107 [225.01], Avg: 535.2914 (0.10)
Ep: 93, Reward: 503.1274, Test: 580.8261 [238.67], Avg: 535.7758 (0.10)
Ep: 94, Reward: 482.0631, Test: 489.3729 [262.41], Avg: 535.2874 (0.10)
Ep: 95, Reward: 507.6952, Test: 355.6092 [187.34], Avg: 533.4157 (0.10)
Ep: 96, Reward: 515.8207, Test: 689.4935 [240.37], Avg: 535.0248 (0.10)
Ep: 97, Reward: 539.1445, Test: 472.1113 [217.98], Avg: 534.3828 (0.10)
Ep: 98, Reward: 685.3066, Test: 613.0631 [187.66], Avg: 535.1775 (0.10)
Ep: 99, Reward: 576.3569, Test: 632.5166 [232.97], Avg: 536.1509 (0.10)
Ep: 100, Reward: 558.8825, Test: 520.8786 [233.33], Avg: 541.7253 (0.10)
Ep: 101, Reward: 497.5494, Test: 532.3992 [189.46], Avg: 547.0602 (0.10)
Ep: 102, Reward: 452.6462, Test: 436.3325 [174.73], Avg: 550.8900 (0.10)
Ep: 103, Reward: 424.9372, Test: 539.0148 [237.09], Avg: 555.3401 (0.10)
Ep: 104, Reward: 516.1764, Test: 389.3273 [144.22], Avg: 555.7227 (0.10)
Ep: 105, Reward: 495.3012, Test: 414.8612 [272.16], Avg: 555.4876 (0.10)
Ep: 106, Reward: 589.6522, Test: 551.5986 [220.27], Avg: 558.3973 (0.10)
Ep: 107, Reward: 566.2044, Test: 508.6284 [267.53], Avg: 559.1940 (0.10)
Ep: 108, Reward: 622.2410, Test: 558.1779 [219.31], Avg: 560.2676 (0.10)
Ep: 109, Reward: 640.7850, Test: 475.9259 [192.00], Avg: 559.9231 (0.10)
Ep: 110, Reward: 538.6324, Test: 670.6479 [137.89], Avg: 561.6983 (0.10)
Ep: 111, Reward: 513.2141, Test: 431.5391 [186.51], Avg: 561.2774 (0.10)
Ep: 112, Reward: 529.0798, Test: 525.5352 [153.06], Avg: 560.4627 (0.10)
Ep: 113, Reward: 493.9459, Test: 528.3325 [188.41], Avg: 559.0592 (0.10)
