Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 60, Reward: -52.2076, Test: -60.8722 [15.301424558999324], Avg: -53.5591 (0.1000)
Ep: 61, Reward: -61.7805, Test: -55.1408 [13.233139851126822], Avg: -53.5846 (0.1000)
Ep: 62, Reward: -58.1330, Test: -56.6433 [11.116017665145797], Avg: -53.6332 (0.1000)
Ep: 63, Reward: -59.5050, Test: -61.5695 [16.342380881171103], Avg: -53.7572 (0.1000)
Ep: 64, Reward: -57.1231, Test: -62.6003 [20.38956726813098], Avg: -53.8932 (0.1000)
Ep: 65, Reward: -52.2482, Test: -65.5362 [10.682422532979974], Avg: -54.0696 (0.1000)
Ep: 66, Reward: -65.2262, Test: -65.4721 [13.483966991703689], Avg: -54.2398 (0.1000)
Ep: 67, Reward: -48.9216, Test: -60.1467 [22.458232779554937], Avg: -54.3267 (0.1000)
Ep: 68, Reward: -64.4887, Test: -51.5740 [14.180801745214094], Avg: -54.2868 (0.1000)
Ep: 69, Reward: -60.4688, Test: -67.0669 [11.486260653798876], Avg: -54.4694 (0.1000)
Ep: 70, Reward: -56.1650, Test: -63.7727 [15.478524935897594], Avg: -54.6004 (0.1000)
Ep: 71, Reward: -50.6659, Test: -74.3054 [53.53606474410637], Avg: -54.8741 (0.1000)
Ep: 72, Reward: -61.0861, Test: -41.9778 [29.978950016583013], Avg: -54.6974 (0.1000)
Ep: 73, Reward: -46.3505, Test: -50.6942 [19.78281227220241], Avg: -54.6433 (0.1000)
Ep: 74, Reward: -57.4509, Test: -62.5568 [22.678475297102004], Avg: -54.7488 (0.1000)
Ep: 75, Reward: -50.2310, Test: -48.8723 [30.176446134512716], Avg: -54.6715 (0.1000)
Ep: 76, Reward: -57.2177, Test: -66.8801 [33.26385658530493], Avg: -54.8301 (0.1000)
Ep: 77, Reward: -40.5685, Test: -42.0221 [13.598408217814708], Avg: -54.6659 (0.1000)
Ep: 78, Reward: -43.8571, Test: -53.3109 [43.078835780395764], Avg: -54.6487 (0.1000)
Ep: 79, Reward: -46.9614, Test: -61.1464 [21.562877995606907], Avg: -54.7299 (0.1000)
Ep: 80, Reward: -44.8551, Test: -34.8669 [26.929101362994558], Avg: -54.4847 (0.1000)
Ep: 81, Reward: -57.2619, Test: -57.1378 [21.27763379591825], Avg: -54.5171 (0.1000)
Ep: 82, Reward: -48.6669, Test: -58.2870 [19.046520774176482], Avg: -54.5625 (0.1000)
Ep: 83, Reward: -65.5817, Test: -51.6275 [18.895164771736326], Avg: -54.5275 (0.1000)
Ep: 84, Reward: -65.0392, Test: -49.6930 [25.96703474259011], Avg: -54.4707 (0.1000)
Ep: 85, Reward: -57.9362, Test: -55.1901 [45.834405508782666], Avg: -54.4790 (0.1000)
Ep: 86, Reward: -50.6098, Test: -53.7347 [25.411992559255598], Avg: -54.4705 (0.1000)
Ep: 87, Reward: -43.0844, Test: -51.4316 [22.468424297022413], Avg: -54.4359 (0.1000)
Ep: 88, Reward: -56.3280, Test: -54.5083 [13.405390273560602], Avg: -54.4368 (0.1000)
Ep: 89, Reward: -45.1675, Test: -61.2405 [15.096047146785565], Avg: -54.5124 (0.1000)
Ep: 90, Reward: -38.1335, Test: -42.9893 [25.21183507657634], Avg: -54.3857 (0.1000)
Ep: 91, Reward: -49.0009, Test: -49.3217 [17.97898268241297], Avg: -54.3307 (0.1000)
Ep: 92, Reward: -42.4952, Test: -47.9062 [20.54270230312654], Avg: -54.2616 (0.1000)
Ep: 93, Reward: -57.4245, Test: -55.3752 [27.068107224543198], Avg: -54.2735 (0.1000)
Ep: 94, Reward: -55.9942, Test: -43.9937 [23.450067519792842], Avg: -54.1652 (0.1000)
Ep: 95, Reward: -40.1077, Test: -42.5307 [18.4991994109818], Avg: -54.0440 (0.1000)
Ep: 96, Reward: -45.1613, Test: -57.4994 [19.212244794800124], Avg: -54.0797 (0.1000)
Ep: 97, Reward: -60.8078, Test: -62.7600 [12.951202513289182], Avg: -54.1682 (0.1000)
Ep: 98, Reward: -72.5448, Test: -61.5674 [57.07081551568985], Avg: -54.2430 (0.1000)
Ep: 99, Reward: -55.3374, Test: -58.4029 [22.394087028481387], Avg: -54.2846 (0.1000)
Ep: 100, Reward: -42.4541, Test: -45.1800 [22.78829855604907], Avg: -54.3932 (0.1000)
Ep: 101, Reward: -35.1359, Test: -53.7617 [20.186966017268997], Avg: -54.5450 (0.1000)
Ep: 102, Reward: -27.4727, Test: -36.8191 [37.903921947073194], Avg: -54.4452 (0.1000)
Ep: 103, Reward: -34.2163, Test: -49.6813 [32.73585291718559], Avg: -54.5515 (0.1000)
Ep: 104, Reward: -44.0595, Test: -43.3586 [17.18464786274005], Avg: -54.4387 (0.1000)
Ep: 105, Reward: -47.2664, Test: -54.8415 [15.625533340782527], Avg: -54.5110 (0.1000)
Ep: 106, Reward: -51.6491, Test: -61.8679 [9.505494530974628], Avg: -54.5000 (0.1000)
Ep: 107, Reward: -51.3029, Test: -39.2372 [30.26560848638354], Avg: -54.2662 (0.1000)
Ep: 108, Reward: -49.3793, Test: -28.3516 [35.99476299417147], Avg: -54.1710 (0.1000)
Ep: 109, Reward: -33.1739, Test: -28.5323 [32.00276841480142], Avg: -54.1985 (0.1000)
Ep: 110, Reward: -23.4250, Test: -41.3641 [26.90078218560533], Avg: -54.0836 (0.1000)
Ep: 111, Reward: -39.1837, Test: -25.4946 [38.11003390491151], Avg: -53.9028 (0.1000)
Ep: 112, Reward: -12.4701, Test: -22.7584 [34.00223170632273], Avg: -53.7727 (0.1000)
Ep: 113, Reward: -13.4297, Test: -30.7664 [26.773049025625397], Avg: -53.7041 (0.1000)
Ep: 114, Reward: -29.3063, Test: -11.4849 [48.28282963426548], Avg: -53.3688 (0.1000)
Ep: 115, Reward: -38.2678, Test: -7.9119 [42.805865764042665], Avg: -52.9500 (0.1000)
