Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter0/
Ep: 23, Reward: -65.3522, Test: -75.5141 [2.43], Avg: -28.7222 (0.1000)
Ep: 24, Reward: -71.1890, Test: -73.1367 [5.90], Avg: -30.4988 (0.1000)
Ep: 25, Reward: -69.3181, Test: -68.3269 [6.87], Avg: -31.9537 (0.1000)
Ep: 26, Reward: -73.6744, Test: -66.3216 [24.27], Avg: -33.2266 (0.1000)
Ep: 27, Reward: -56.8221, Test: -66.5475 [20.21], Avg: -34.4167 (0.1000)
Ep: 28, Reward: -61.1354, Test: -26.7158 [59.94], Avg: -34.1511 (0.1000)
Ep: 29, Reward: -45.9666, Test: -33.2834 [52.93], Avg: -34.1222 (0.1000)
Ep: 30, Reward: -8.0659, Test: -11.1858 [39.87], Avg: -33.3823 (0.1000)
Ep: 31, Reward: -4.1172, Test: -65.8685 [46.69], Avg: -34.3975 (0.1000)
Ep: 32, Reward: -50.6302, Test: -42.9081 [21.52], Avg: -34.6554 (0.1000)
Ep: 33, Reward: -42.5807, Test: -42.9429 [38.92], Avg: -34.8991 (0.1000)
Ep: 34, Reward: -21.0045, Test: -76.6465 [31.94], Avg: -36.0919 (0.1000)
Ep: 35, Reward: -66.7778, Test: -54.7414 [31.63], Avg: -36.6100 (0.1000)
Ep: 36, Reward: -67.8255, Test: -53.8958 [22.96], Avg: -37.0771 (0.1000)
Ep: 37, Reward: -47.2672, Test: -45.0320 [43.70], Avg: -37.2865 (0.1000)
Ep: 38, Reward: -63.8374, Test: -24.9330 [34.79], Avg: -36.9697 (0.1000)
Ep: 39, Reward: -43.1480, Test: -38.9143 [25.61], Avg: -37.0183 (0.1000)
Ep: 40, Reward: -51.1282, Test: -60.9507 [20.16], Avg: -37.6021 (0.1000)
Ep: 41, Reward: -35.1597, Test: 3.3917 [78.19], Avg: -36.6260 (0.1000)
Ep: 42, Reward: 5.6841, Test: 1.8079 [77.96], Avg: -35.7322 (0.1000)
Ep: 43, Reward: 6.7252, Test: 20.3589 [103.11], Avg: -34.4574 (0.1000)
Ep: 44, Reward: 29.0446, Test: -2.0810 [53.27], Avg: -33.7379 (0.1000)
Ep: 45, Reward: -15.2827, Test: 29.5724 [51.21], Avg: -32.3616 (0.1000)
Ep: 46, Reward: 37.4404, Test: 24.6175 [76.36], Avg: -31.1493 (0.1000)
Ep: 47, Reward: 69.5892, Test: 100.1289 [170.17], Avg: -28.4143 (0.1000)
Ep: 48, Reward: 37.3686, Test: 125.1109 [67.17], Avg: -25.2812 (0.1000)
Ep: 49, Reward: 169.0596, Test: 96.1594 [106.52], Avg: -22.8524 (0.1000)
Ep: 50, Reward: 136.6094, Test: 70.2352 [105.61], Avg: -21.0271 (0.1000)
Ep: 51, Reward: 61.8303, Test: 65.0630 [68.60], Avg: -19.3715 (0.1000)
Ep: 52, Reward: 47.5729, Test: 90.4852 [99.78], Avg: -17.2988 (0.1000)
Ep: 53, Reward: 78.5770, Test: 235.8357 [112.60], Avg: -12.6111 (0.1000)
Ep: 54, Reward: 140.0313, Test: 163.3983 [153.34], Avg: -9.4109 (0.1000)
Ep: 55, Reward: 164.8356, Test: 109.1402 [106.01], Avg: -7.2939 (0.1000)
Ep: 56, Reward: 186.9530, Test: 177.8180 [99.98], Avg: -4.0464 (0.1000)
Ep: 57, Reward: 189.5969, Test: 190.4662 [138.68], Avg: -0.6927 (0.1000)
Ep: 58, Reward: 218.5447, Test: 168.8227 [118.96], Avg: 2.1804 (0.1000)
Ep: 59, Reward: 173.6609, Test: 170.1479 [111.21], Avg: 4.9799 (0.1000)
Ep: 60, Reward: 160.0107, Test: 92.4453 [93.40], Avg: 6.4138 (0.1000)
Ep: 61, Reward: 97.4719, Test: 136.4364 [120.85], Avg: 8.5109 (0.1000)
Ep: 62, Reward: 166.9426, Test: 160.9125 [97.32], Avg: 10.9300 (0.1000)
Ep: 63, Reward: 173.2169, Test: 79.0032 [92.46], Avg: 11.9936 (0.1000)
Ep: 64, Reward: 107.3991, Test: 218.6977 [198.58], Avg: 15.1737 (0.1000)
Ep: 65, Reward: 131.3884, Test: 88.0729 [77.86], Avg: 16.2782 (0.1000)
Ep: 66, Reward: 143.2356, Test: 177.1318 [101.73], Avg: 18.6790 (0.1000)
Ep: 67, Reward: 143.0851, Test: 153.3001 [106.88], Avg: 20.6587 (0.1000)
Ep: 68, Reward: 164.0313, Test: 102.3835 [92.78], Avg: 21.8432 (0.1000)
Ep: 69, Reward: 135.5631, Test: 101.7997 [89.86], Avg: 22.9854 (0.1000)
Ep: 70, Reward: 139.9994, Test: 44.3276 [62.35], Avg: 23.2860 (0.1000)
Ep: 71, Reward: 155.9249, Test: 276.9373 [242.80], Avg: 26.8089 (0.1000)
Ep: 72, Reward: 371.1570, Test: 500.1504 [245.29], Avg: 33.2931 (0.1000)
Ep: 73, Reward: 345.0117, Test: 351.1276 [255.15], Avg: 37.5881 (0.1000)
Ep: 74, Reward: 345.6573, Test: 363.2368 [77.15], Avg: 41.9301 (0.1000)
Ep: 75, Reward: 334.7042, Test: 225.4800 [112.25], Avg: 44.3452 (0.1000)
Ep: 76, Reward: 291.6788, Test: 392.4715 [183.88], Avg: 48.8663 (0.1000)
Ep: 77, Reward: 391.9581, Test: 367.7961 [180.17], Avg: 52.9552 (0.1000)
Ep: 78, Reward: 325.3692, Test: 293.2278 [113.69], Avg: 55.9966 (0.1000)
Ep: 79, Reward: 226.3959, Test: 208.9602 [157.82], Avg: 57.9087 (0.1000)
Ep: 80, Reward: 121.4144, Test: 223.1429 [143.13], Avg: 59.9486 (0.1000)
Ep: 81, Reward: 172.7193, Test: 89.3140 [74.54], Avg: 60.3067 (0.1000)
Ep: 82, Reward: 44.9439, Test: 87.7785 [75.79], Avg: 60.6377 (0.1000)
Ep: 83, Reward: 139.2009, Test: 55.3089 [79.57], Avg: 60.5743 (0.1000)
Ep: 84, Reward: 98.0019, Test: 202.9738 [139.82], Avg: 62.2495 (0.1000)
Ep: 85, Reward: 178.0316, Test: 152.0771 [124.47], Avg: 63.2940 (0.1000)
Ep: 86, Reward: 195.9067, Test: 164.6885 [147.23], Avg: 64.4595 (0.1000)
Ep: 87, Reward: 189.8734, Test: 259.4859 [120.27], Avg: 66.6757 (0.1000)
Ep: 88, Reward: 264.0181, Test: 384.6103 [93.42], Avg: 70.2480 (0.1000)
Ep: 89, Reward: 210.9493, Test: 546.7481 [262.06], Avg: 75.5425 (0.1000)
Ep: 90, Reward: 353.7812, Test: 336.0003 [60.34], Avg: 78.4046 (0.1000)
Ep: 91, Reward: 265.3355, Test: 193.1002 [148.15], Avg: 79.6513 (0.1000)
Ep: 92, Reward: 235.4090, Test: 261.1510 [118.19], Avg: 81.6029 (0.1000)
Ep: 93, Reward: 309.3155, Test: 186.7865 [127.68], Avg: 82.7219 (0.1000)
Ep: 94, Reward: 253.0165, Test: 347.9178 [185.96], Avg: 85.5134 (0.1000)
Ep: 95, Reward: 365.5833, Test: 372.3243 [101.04], Avg: 88.5011 (0.1000)
Ep: 96, Reward: 357.5792, Test: 539.8309 [226.40], Avg: 93.1539 (0.1000)
Ep: 97, Reward: 499.6353, Test: 272.8259 [95.27], Avg: 94.9873 (0.1000)
Ep: 98, Reward: 251.7389, Test: 431.2034 [204.12], Avg: 98.3834 (0.1000)
Ep: 99, Reward: 484.6324, Test: 530.0442 [227.36], Avg: 102.7001 (0.1000)
Ep: 100, Reward: 570.1349, Test: 482.4837 [148.09], Avg: 107.7953 (0.1000)
Ep: 101, Reward: 505.8934, Test: 547.4206 [233.90], Avg: 113.7141 (0.1000)
Ep: 102, Reward: 628.6485, Test: 698.8239 [174.02], Avg: 121.1906 (0.1000)
Ep: 103, Reward: 481.8338, Test: 544.0169 [257.83], Avg: 126.9572 (0.1000)
Ep: 104, Reward: 453.3473, Test: 415.9849 [161.98], Avg: 131.2549 (0.1000)
Ep: 105, Reward: 439.6825, Test: 431.9815 [202.03], Avg: 135.7496 (0.1000)
Ep: 106, Reward: 444.1685, Test: 536.8079 [258.37], Avg: 141.3235 (0.1000)
Ep: 107, Reward: 741.6092, Test: 742.4212 [119.75], Avg: 149.0570 (0.1000)
Ep: 108, Reward: 688.3507, Test: 485.0894 [269.41], Avg: 154.0290 (0.1000)
Ep: 109, Reward: 548.1593, Test: 551.0221 [171.29], Avg: 159.9441 (0.1000)
Ep: 110, Reward: 622.3624, Test: 649.8723 [228.90], Avg: 166.5615 (0.1000)
Ep: 111, Reward: 600.8243, Test: 527.4006 [271.35], Avg: 171.9623 (0.1000)
Ep: 112, Reward: 545.8908, Test: 535.3905 [291.35], Avg: 177.9494 (0.1000)
Ep: 113, Reward: 664.0261, Test: 608.0825 [215.35], Avg: 184.2677 (0.1000)
Ep: 114, Reward: 581.9447, Test: 551.7714 [180.73], Avg: 190.1438 (0.1000)
Ep: 115, Reward: 623.8086, Test: 417.3868 [161.21], Avg: 194.5239 (0.1000)
Ep: 116, Reward: 495.0693, Test: 650.1739 [218.76], Avg: 200.6626 (0.1000)
Ep: 117, Reward: 576.9915, Test: 596.5191 [163.09], Avg: 206.8920 (0.1000)
Ep: 118, Reward: 583.9966, Test: 757.1048 [219.42], Avg: 214.3853 (0.1000)
Ep: 119, Reward: 782.2974, Test: 640.7482 [228.00], Avg: 221.1323 (0.1000)
Ep: 120, Reward: 611.9380, Test: 558.5665 [228.85], Avg: 227.0039 (0.1000)
Ep: 121, Reward: 575.9876, Test: 479.1446 [173.10], Avg: 232.2276 (0.1000)
Ep: 122, Reward: 505.4026, Test: 434.2097 [160.51], Avg: 237.2625 (0.1000)
Ep: 123, Reward: 507.8152, Test: 481.5491 [228.83], Avg: 242.8331 (0.1000)
Ep: 124, Reward: 438.3276, Test: 328.6447 [125.14], Avg: 246.8509 (0.1000)
Ep: 125, Reward: 341.0619, Test: 289.7813 [117.07], Avg: 250.4320 (0.1000)
Ep: 126, Reward: 314.5334, Test: 423.5068 [123.44], Avg: 255.3303 (0.1000)
Ep: 127, Reward: 345.3493, Test: 258.2079 [75.56], Avg: 258.5778 (0.1000)
Ep: 128, Reward: 310.7330, Test: 536.2894 [282.56], Avg: 264.2079 (0.1000)
Ep: 129, Reward: 365.4103, Test: 307.2249 [167.87], Avg: 267.6130 (0.1000)
Ep: 130, Reward: 260.4552, Test: 198.7082 [154.99], Avg: 269.7119 (0.1000)
Ep: 131, Reward: 285.2044, Test: 353.3476 [168.61], Avg: 273.9041 (0.1000)
Ep: 132, Reward: 345.2179, Test: 256.7954 [95.41], Avg: 276.9011 (0.1000)
Ep: 133, Reward: 322.2417, Test: 308.0172 [210.10], Avg: 280.4107 (0.1000)
Ep: 134, Reward: 403.1447, Test: 400.0275 [279.46], Avg: 285.1775 (0.1000)
Ep: 135, Reward: 355.8311, Test: 344.3192 [178.59], Avg: 289.1681 (0.1000)
Ep: 136, Reward: 435.3131, Test: 318.7396 [113.53], Avg: 292.8944 (0.1000)
Ep: 137, Reward: 416.9724, Test: 432.4523 [128.49], Avg: 297.6693 (0.1000)
Ep: 138, Reward: 437.7326, Test: 321.9997 [127.18], Avg: 301.1386 (0.1000)
Ep: 139, Reward: 279.3459, Test: 279.0470 [97.08], Avg: 304.3182 (0.1000)
Ep: 140, Reward: 282.6760, Test: 243.7401 [131.50], Avg: 307.3651 (0.1000)
Ep: 141, Reward: 267.4825, Test: 206.0208 [143.29], Avg: 309.3914 (0.1000)
Ep: 142, Reward: 197.4362, Test: 190.1526 [140.00], Avg: 311.2748 (0.1000)
Ep: 143, Reward: 288.3233, Test: 227.1688 [139.30], Avg: 313.3429 (0.1000)
Ep: 144, Reward: 138.3080, Test: 87.1075 [103.95], Avg: 314.2348 (0.1000)
Ep: 145, Reward: 163.2486, Test: 110.7073 [205.41], Avg: 315.0462 (0.1000)
Ep: 146, Reward: 47.1636, Test: 14.7966 [36.36], Avg: 314.9480 (0.1000)
Ep: 147, Reward: 32.5669, Test: 79.8102 [103.55], Avg: 314.7448 (0.1000)
Ep: 148, Reward: 18.1885, Test: 132.4244 [126.91], Avg: 314.8179 (0.1000)
Ep: 149, Reward: 57.2232, Test: 183.2407 [148.67], Avg: 315.6887 (0.1000)
Ep: 150, Reward: 180.6908, Test: 118.7582 [178.12], Avg: 316.1740 (0.1000)
Ep: 151, Reward: 115.3385, Test: 123.8330 [111.86], Avg: 316.7617 (0.1000)
Ep: 152, Reward: 155.1518, Test: 177.7682 [118.08], Avg: 317.6345 (0.1000)
Ep: 153, Reward: 190.6366, Test: 163.5212 [115.89], Avg: 316.9113 (0.1000)
Ep: 154, Reward: 274.4335, Test: 248.5858 [206.48], Avg: 317.7632 (0.1000)
Ep: 155, Reward: 284.7505, Test: 259.9580 [189.74], Avg: 319.2714 (0.1000)
Ep: 156, Reward: 248.9565, Test: 347.0902 [136.33], Avg: 320.9641 (0.1000)
Ep: 157, Reward: 298.1871, Test: 322.0278 [130.12], Avg: 322.2797 (0.1000)
Ep: 158, Reward: 364.4969, Test: 214.0928 [204.95], Avg: 322.7324 (0.1000)
Ep: 159, Reward: 313.6899, Test: 309.9376 [249.72], Avg: 324.1303 (0.1000)
Ep: 160, Reward: 350.0483, Test: 317.8002 [217.58], Avg: 326.3839 (0.1000)
Ep: 161, Reward: 298.0371, Test: 256.3943 [131.03], Avg: 327.5835 (0.1000)
Ep: 162, Reward: 254.8324, Test: 268.5591 [87.62], Avg: 328.6599 (0.1000)
Ep: 163, Reward: 184.2840, Test: 254.4295 [175.98], Avg: 330.4142 (0.1000)
Ep: 164, Reward: 306.3725, Test: 167.2792 [124.78], Avg: 329.9000 (0.1000)
Ep: 165, Reward: 270.8876, Test: 321.5827 [139.89], Avg: 332.2351 (0.1000)
Ep: 166, Reward: 150.8712, Test: 141.7868 [116.47], Avg: 331.8817 (0.1000)
Ep: 167, Reward: 186.3754, Test: 270.2076 [129.22], Avg: 333.0507 (0.1000)
Ep: 168, Reward: 319.8471, Test: 296.0142 [171.30], Avg: 334.9870 (0.1000)
Ep: 169, Reward: 210.1877, Test: 205.8139 [105.13], Avg: 336.0272 (0.1000)
Ep: 170, Reward: 234.2185, Test: 308.6346 [205.13], Avg: 338.6702 (0.1000)
Ep: 171, Reward: 318.4930, Test: 281.9304 [150.81], Avg: 338.7202 (0.1000)
Ep: 172, Reward: 356.6726, Test: 368.3583 [191.09], Avg: 337.4023 (0.1000)
Ep: 173, Reward: 328.3968, Test: 445.1996 [263.57], Avg: 338.3430 (0.1000)
Ep: 174, Reward: 458.5518, Test: 681.3501 [174.54], Avg: 341.5241 (0.1000)
Ep: 175, Reward: 551.5532, Test: 544.3407 [268.44], Avg: 344.7127 (0.1000)
Ep: 176, Reward: 441.4591, Test: 475.0393 [232.49], Avg: 345.5384 (0.1000)
Ep: 177, Reward: 421.9799, Test: 447.9074 [278.63], Avg: 346.3395 (0.1000)
Ep: 178, Reward: 494.4649, Test: 374.4702 [202.20], Avg: 347.1519 (0.1000)
Ep: 179, Reward: 402.6244, Test: 276.3514 [179.79], Avg: 347.8258 (0.1000)
Ep: 180, Reward: 387.4550, Test: 364.8346 [187.96], Avg: 349.2428 (0.1000)
Ep: 181, Reward: 283.8990, Test: 308.8045 [209.26], Avg: 351.4377 (0.1000)
Ep: 182, Reward: 345.0514, Test: 595.5392 [215.48], Avg: 356.5153 (0.1000)
Ep: 183, Reward: 589.7553, Test: 483.9453 [279.51], Avg: 360.8016 (0.1000)
Ep: 184, Reward: 545.7059, Test: 433.0109 [267.35], Avg: 363.1020 (0.1000)
Ep: 185, Reward: 474.2453, Test: 424.3503 [236.95], Avg: 365.8247 (0.1000)
Ep: 186, Reward: 427.8157, Test: 467.4836 [304.73], Avg: 368.8527 (0.1000)
Ep: 187, Reward: 455.6466, Test: 340.2753 [280.39], Avg: 369.6606 (0.1000)
Ep: 188, Reward: 377.8504, Test: 482.7231 [246.13], Avg: 370.6417 (0.1000)
Ep: 189, Reward: 441.3629, Test: 415.8690 [219.33], Avg: 369.3329 (0.1000)
Ep: 190, Reward: 585.1944, Test: 379.0269 [274.65], Avg: 369.7632 (0.1000)
Ep: 191, Reward: 556.2454, Test: 580.9069 [313.38], Avg: 373.6413 (0.1000)
Ep: 192, Reward: 599.7392, Test: 656.4588 [256.20], Avg: 377.5943 (0.1000)
Ep: 193, Reward: 582.3691, Test: 434.5615 [251.01], Avg: 380.0721 (0.1000)
Ep: 194, Reward: 537.2956, Test: 479.1405 [216.95], Avg: 381.3843 (0.1000)
Ep: 195, Reward: 438.5810, Test: 352.9011 [206.17], Avg: 381.1901 (0.1000)
Ep: 196, Reward: 381.5909, Test: 459.8809 [316.89], Avg: 380.3906 (0.1000)
Ep: 197, Reward: 485.7050, Test: 535.9291 [276.45], Avg: 383.0216 (0.1000)
Ep: 198, Reward: 509.2602, Test: 566.5738 [210.54], Avg: 384.3753 (0.1000)
Ep: 199, Reward: 499.0498, Test: 599.1673 [268.89], Avg: 385.0665 (0.1000)
Ep: 200, Reward: 446.5918, Test: 431.0801 [247.27], Avg: 384.5525 (0.1000)
Ep: 201, Reward: 479.1927, Test: 512.9311 [291.18], Avg: 384.2076 (0.1000)
Ep: 202, Reward: 532.7730, Test: 582.6118 [210.33], Avg: 383.0455 (0.1000)
Ep: 203, Reward: 381.7784, Test: 377.0819 [221.90], Avg: 381.3761 (0.1000)
Ep: 204, Reward: 478.8529, Test: 262.0264 [200.39], Avg: 379.8366 (0.1000)
Ep: 205, Reward: 318.4507, Test: 368.4159 [156.07], Avg: 379.2009 (0.1000)
Ep: 206, Reward: 273.4941, Test: 522.5256 [195.89], Avg: 379.0581 (0.1000)
Ep: 207, Reward: 312.9466, Test: 501.4298 [234.36], Avg: 376.6482 (0.1000)
Ep: 208, Reward: 463.1500, Test: 542.4221 [282.43], Avg: 377.2215 (0.1000)
Ep: 209, Reward: 381.1853, Test: 378.5268 [243.77], Avg: 375.4965 (0.1000)
Ep: 210, Reward: 446.8570, Test: 542.7859 [134.45], Avg: 374.4257 (0.1000)
Ep: 211, Reward: 513.0592, Test: 410.5443 [300.59], Avg: 373.2571 (0.1000)
Ep: 212, Reward: 483.6854, Test: 442.9451 [252.59], Avg: 372.3327 (0.1000)
Ep: 213, Reward: 500.4256, Test: 565.3098 [233.70], Avg: 371.9049 (0.1000)
Ep: 214, Reward: 542.7707, Test: 665.6338 [232.59], Avg: 373.0436 (0.1000)
Ep: 215, Reward: 684.5842, Test: 702.9992 [134.36], Avg: 375.8997 (0.1000)
Ep: 216, Reward: 648.8648, Test: 650.7772 [196.06], Avg: 375.9057 (0.1000)
Ep: 217, Reward: 735.1568, Test: 658.0765 [237.56], Avg: 376.5213 (0.1000)
Ep: 218, Reward: 551.7181, Test: 560.6105 [172.56], Avg: 374.5563 (0.1000)
Ep: 219, Reward: 551.7186, Test: 525.4604 [296.69], Avg: 373.4035 (0.1000)
Ep: 220, Reward: 596.4295, Test: 671.3630 [169.08], Avg: 374.5314 (0.1000)
Ep: 221, Reward: 510.1437, Test: 387.4047 [285.20], Avg: 373.6140 (0.1000)
Ep: 222, Reward: 696.9197, Test: 551.6933 [197.52], Avg: 374.7889 (0.1000)
Ep: 223, Reward: 721.2195, Test: 610.5236 [250.66], Avg: 376.0786 (0.1000)
Ep: 224, Reward: 593.8408, Test: 713.1130 [185.17], Avg: 379.9233 (0.1000)
Ep: 225, Reward: 605.7313, Test: 675.7225 [161.58], Avg: 383.7827 (0.1000)
Ep: 226, Reward: 614.2106, Test: 778.5265 [159.35], Avg: 387.3329 (0.1000)
Ep: 227, Reward: 635.8693, Test: 677.8961 [158.85], Avg: 391.5298 (0.1000)
Ep: 228, Reward: 605.7287, Test: 707.5277 [179.28], Avg: 393.2422 (0.1000)
Ep: 229, Reward: 637.7796, Test: 569.6009 [305.30], Avg: 395.8659 (0.1000)
Ep: 230, Reward: 698.7957, Test: 701.5488 [81.12], Avg: 400.8943 (0.1000)
Ep: 231, Reward: 788.2634, Test: 785.8695 [183.55], Avg: 405.2196 (0.1000)
Ep: 232, Reward: 824.6107, Test: 677.0029 [167.92], Avg: 409.4216 (0.1000)
Ep: 233, Reward: 791.9500, Test: 704.8926 [192.12], Avg: 413.3904 (0.1000)
Ep: 234, Reward: 746.6233, Test: 541.9538 [281.44], Avg: 414.8096 (0.1000)
Ep: 235, Reward: 644.3694, Test: 598.8655 [175.32], Avg: 417.3551 (0.1000)
Ep: 236, Reward: 514.6596, Test: 499.0447 [210.47], Avg: 419.1582 (0.1000)
Ep: 237, Reward: 509.2095, Test: 570.0305 [196.39], Avg: 420.5339 (0.1000)
Ep: 238, Reward: 483.6580, Test: 514.1625 [243.25], Avg: 422.4556 (0.1000)
Ep: 239, Reward: 446.3798, Test: 538.6818 [208.47], Avg: 425.0519 (0.1000)
Ep: 240, Reward: 539.9072, Test: 471.9050 [260.94], Avg: 427.3336 (0.1000)
Ep: 241, Reward: 473.3330, Test: 371.4719 [224.35], Avg: 428.9881 (0.1000)
Ep: 242, Reward: 442.9118, Test: 416.0497 [223.63], Avg: 431.2470 (0.1000)
Ep: 243, Reward: 498.1232, Test: 435.8106 [190.71], Avg: 433.3335 (0.1000)
Ep: 244, Reward: 530.5996, Test: 334.6451 [120.36], Avg: 435.8088 (0.1000)
Ep: 245, Reward: 382.8870, Test: 349.8339 [197.69], Avg: 438.2001 (0.1000)
Ep: 246, Reward: 394.0739, Test: 221.2459 [170.38], Avg: 440.2646 (0.1000)
Ep: 247, Reward: 476.7693, Test: 455.8150 [264.98], Avg: 444.0246 (0.1000)
Ep: 248, Reward: 460.7525, Test: 349.1962 [198.05], Avg: 446.1924 (0.1000)
Ep: 249, Reward: 447.7547, Test: 430.3555 [225.38], Avg: 448.6635 (0.1000)
