Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter0/
Ep: 0, Reward: -29.4054, Test: -27.0403 [13.39], Avg: -27.0403 (0.7783)
Ep: 1, Reward: -31.0836, Test: -44.4627 [5.86], Avg: -35.7515 (0.6058)
Ep: 2, Reward: -48.4335, Test: -48.8276 [8.23], Avg: -40.1102 (0.4715)
Ep: 3, Reward: -51.4709, Test: -32.6382 [16.39], Avg: -38.2422 (0.3670)
Ep: 4, Reward: -26.0882, Test: -13.7877 [22.53], Avg: -33.3513 (0.2856)
Ep: 5, Reward: -40.5781, Test: -17.4887 [25.72], Avg: -30.7075 (0.2223)
Ep: 6, Reward: -11.1986, Test: -20.5794 [19.79], Avg: -29.2607 (0.1730)
Ep: 7, Reward: -17.2980, Test: -30.9344 [30.81], Avg: -29.4699 (0.1347)
Ep: 8, Reward: -34.7021, Test: -12.1026 [72.74], Avg: -27.5402 (0.1048)
Ep: 9, Reward: -28.5314, Test: -40.4872 [35.66], Avg: -28.8349 (0.1000)
Ep: 10, Reward: -37.1316, Test: -11.8717 [51.14], Avg: -27.2928 (0.1000)
Ep: 11, Reward: 8.7336, Test: -12.6770 [53.83], Avg: -26.0748 (0.1000)
Ep: 12, Reward: -26.1278, Test: -63.3263 [19.66], Avg: -28.9403 (0.1000)
Ep: 13, Reward: -46.1154, Test: -23.7406 [47.73], Avg: -28.5689 (0.1000)
Ep: 14, Reward: -21.1075, Test: -35.8404 [31.95], Avg: -29.0536 (0.1000)
Ep: 15, Reward: -6.7062, Test: -20.6209 [44.22], Avg: -28.5266 (0.1000)
Ep: 16, Reward: -25.7322, Test: 36.3014 [69.73], Avg: -24.7132 (0.1000)
Ep: 17, Reward: 1.7872, Test: -26.4256 [32.50], Avg: -24.8083 (0.1000)
Ep: 18, Reward: -24.3014, Test: 7.7836 [38.03], Avg: -23.0930 (0.1000)
Ep: 19, Reward: -10.5267, Test: -33.9556 [30.74], Avg: -23.6361 (0.1000)
Ep: 20, Reward: -44.9859, Test: -28.5958 [26.24], Avg: -23.8723 (0.1000)
Ep: 21, Reward: -28.9327, Test: -43.2284 [32.29], Avg: -24.7521 (0.1000)
Ep: 22, Reward: -60.5110, Test: -69.2736 [7.99], Avg: -26.6878 (0.1000)
