Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 67, Reward: -12.9166, Test: 231.4329 [222.43], Avg: 59.6502 (0.50)
Ep: 68, Reward: 5.9667, Test: 377.6715 [256.85], Avg: 60.5368 (0.49)
Ep: 69, Reward: -26.3969, Test: 310.8234 [169.95], Avg: 61.6845 (0.49)
Ep: 70, Reward: -30.4293, Test: 229.0865 [112.46], Avg: 62.4583 (0.48)
Ep: 71, Reward: 14.5413, Test: 270.4303 [209.53], Avg: 62.4367 (0.48)
Ep: 72, Reward: 27.6584, Test: 290.6454 [103.07], Avg: 64.1509 (0.48)
Ep: 73, Reward: 8.0476, Test: 255.4861 [167.84], Avg: 64.4684 (0.47)
Ep: 74, Reward: 33.8962, Test: 332.8878 [233.46], Avg: 64.9345 (0.47)
Ep: 75, Reward: -3.8363, Test: 306.5725 [89.66], Avg: 66.9342 (0.46)
Ep: 76, Reward: 21.9702, Test: 204.1607 [104.53], Avg: 67.3589 (0.46)
Ep: 77, Reward: -1.2435, Test: 331.1873 [172.25], Avg: 68.5330 (0.45)
Ep: 78, Reward: -4.3967, Test: 270.2491 [188.41], Avg: 68.7013 (0.45)
Ep: 79, Reward: 11.7851, Test: 226.9687 [141.77], Avg: 68.9075 (0.44)
Ep: 80, Reward: 8.8243, Test: 417.8532 [153.53], Avg: 71.3201 (0.44)
Ep: 81, Reward: -13.3915, Test: 182.8245 [111.50], Avg: 71.3201 (0.43)
Ep: 82, Reward: 53.5164, Test: 248.0087 [148.59], Avg: 71.6586 (0.43)
Ep: 83, Reward: 44.1184, Test: 370.4873 [215.97], Avg: 72.6450 (0.43)
Ep: 84, Reward: 53.4446, Test: 374.3096 [133.29], Avg: 74.6258 (0.42)
Ep: 85, Reward: 12.7131, Test: 193.7280 [98.72], Avg: 74.8629 (0.42)
Ep: 86, Reward: 46.3362, Test: 269.9619 [199.02], Avg: 74.8178 (0.41)
Ep: 87, Reward: -2.7623, Test: 304.4217 [146.73], Avg: 75.7596 (0.41)
Ep: 88, Reward: -14.9995, Test: 228.3714 [170.78], Avg: 75.5555 (0.40)
Ep: 89, Reward: 27.6603, Test: 291.6607 [142.79], Avg: 76.3700 (0.40)
Ep: 90, Reward: 14.7111, Test: 298.3964 [198.12], Avg: 76.6328 (0.40)
Ep: 91, Reward: 15.3812, Test: 262.0456 [105.81], Avg: 77.4980 (0.39)
Ep: 92, Reward: 59.0990, Test: 282.7498 [146.89], Avg: 78.1256 (0.39)
Ep: 93, Reward: 39.7699, Test: 252.9008 [141.96], Avg: 78.4747 (0.38)
Ep: 94, Reward: 20.5114, Test: 245.7502 [112.96], Avg: 79.0464 (0.38)
Ep: 95, Reward: 12.8877, Test: 295.7759 [109.18], Avg: 80.1668 (0.38)
Ep: 96, Reward: 34.8548, Test: 336.5083 [143.13], Avg: 81.3339 (0.37)
Ep: 97, Reward: -6.9446, Test: 220.9491 [107.88], Avg: 81.6578 (0.37)
Ep: 98, Reward: 57.4532, Test: 267.5381 [108.96], Avg: 82.4347 (0.37)
Ep: 99, Reward: 39.3992, Test: 333.3097 [142.56], Avg: 83.5178 (0.36)
