Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -68.7381, Test: -85.9682 [1.66], Avg: -87.6245 (0.99)
Ep: 1, Reward: -54.4781, Test: -86.4609 [1.41], Avg: -87.7458 (0.98)
Ep: 2, Reward: -61.7479, Test: -84.0670 [2.68], Avg: -87.4133 (0.97)
Ep: 3, Reward: -60.9496, Test: -85.6272 [1.66], Avg: -87.3810 (0.96)
Ep: 4, Reward: -49.6985, Test: -85.8816 [1.98], Avg: -87.4769 (0.95)
Ep: 5, Reward: -41.6655, Test: -83.4833 [6.78], Avg: -87.9405 (0.94)
Ep: 6, Reward: -48.3812, Test: -79.3074 [6.55], Avg: -87.6424 (0.93)
Ep: 7, Reward: -64.8079, Test: -79.4858 [4.63], Avg: -87.2010 (0.92)
Ep: 8, Reward: -59.3839, Test: -45.3979 [11.14], Avg: -83.7936 (0.91)
Ep: 9, Reward: -57.5839, Test: -47.0674 [23.34], Avg: -82.4547 (0.90)
Ep: 10, Reward: -47.9821, Test: -16.1962 [35.08], Avg: -79.6203 (0.90)
Ep: 11, Reward: -60.6373, Test: -79.6933 [1.05], Avg: -79.7142 (0.89)
Ep: 12, Reward: -45.4649, Test: -22.3148 [17.86], Avg: -76.6727 (0.88)
Ep: 13, Reward: -60.5479, Test: 109.7565 [93.77], Avg: -70.0544 (0.87)
Ep: 14, Reward: -56.7405, Test: -43.1006 [15.22], Avg: -69.2722 (0.86)
Ep: 15, Reward: -43.8858, Test: 75.1177 [104.87], Avg: -66.8019 (0.85)
Ep: 16, Reward: -51.5058, Test: 39.6332 [49.57], Avg: -63.4569 (0.84)
Ep: 17, Reward: -53.2360, Test: 8.3125 [24.59], Avg: -60.8360 (0.83)
Ep: 18, Reward: -56.0653, Test: 16.7964 [36.54], Avg: -58.6730 (0.83)
Ep: 19, Reward: -40.3552, Test: 5.3163 [33.61], Avg: -57.1542 (0.82)
Ep: 20, Reward: -51.4880, Test: 35.3412 [38.11], Avg: -54.5645 (0.81)
Ep: 21, Reward: -60.9722, Test: 53.5433 [58.81], Avg: -52.3236 (0.80)
Ep: 22, Reward: -48.6975, Test: 81.3954 [79.92], Avg: -49.9843 (0.79)
Ep: 23, Reward: -52.5717, Test: 138.7153 [124.16], Avg: -47.2953 (0.79)
Ep: 24, Reward: -59.8221, Test: 43.1135 [79.28], Avg: -46.8503 (0.78)
Ep: 25, Reward: -55.7292, Test: 64.3860 [76.39], Avg: -45.5100 (0.77)
Ep: 26, Reward: -56.6109, Test: 65.5490 [70.86], Avg: -44.0213 (0.76)
Ep: 27, Reward: -59.0012, Test: 23.6113 [44.67], Avg: -43.2014 (0.75)
Ep: 28, Reward: -45.7493, Test: 202.2286 [74.81], Avg: -37.3178 (0.75)
Ep: 29, Reward: -50.3532, Test: 118.4545 [99.14], Avg: -35.4299 (0.74)
Ep: 30, Reward: -58.9480, Test: 4.3455 [16.91], Avg: -34.6922 (0.73)
Ep: 31, Reward: -63.2882, Test: 174.6151 [57.64], Avg: -29.9525 (0.72)
Ep: 32, Reward: -33.1427, Test: 28.7646 [14.10], Avg: -28.6003 (0.72)
Ep: 33, Reward: -41.9898, Test: 191.0926 [126.72], Avg: -25.8660 (0.71)
Ep: 34, Reward: -42.6117, Test: 175.2190 [134.99], Avg: -23.9776 (0.70)
Ep: 35, Reward: -45.8936, Test: 298.1183 [94.97], Avg: -17.6685 (0.70)
Ep: 36, Reward: -65.5678, Test: 298.4348 [81.95], Avg: -11.3401 (0.69)
Ep: 37, Reward: -53.5885, Test: 176.5629 [135.60], Avg: -9.9637 (0.68)
Ep: 38, Reward: -48.2807, Test: 120.5632 [124.73], Avg: -9.8151 (0.68)
Ep: 39, Reward: -35.8849, Test: 184.4064 [112.45], Avg: -7.7708 (0.67)
Ep: 40, Reward: -35.7368, Test: 88.2593 [125.96], Avg: -8.5007 (0.66)
Ep: 41, Reward: -39.8791, Test: 162.5938 [125.98], Avg: -7.4266 (0.66)
Ep: 42, Reward: -44.8994, Test: 37.3479 [61.87], Avg: -7.8241 (0.65)
Ep: 43, Reward: -32.0827, Test: 122.5765 [104.47], Avg: -7.2348 (0.64)
Ep: 44, Reward: -35.2942, Test: 61.1319 [47.42], Avg: -6.7693 (0.64)
Ep: 45, Reward: -45.5338, Test: 43.3943 [16.03], Avg: -6.0273 (0.63)
Ep: 46, Reward: -43.4039, Test: 75.5167 [75.86], Avg: -5.9065 (0.62)
Ep: 47, Reward: -39.9019, Test: 160.3758 [108.66], Avg: -4.7059 (0.62)
Ep: 48, Reward: -51.4334, Test: 146.3586 [119.34], Avg: -4.0586 (0.61)
Ep: 49, Reward: -37.0919, Test: 82.4009 [99.94], Avg: -4.3282 (0.61)
Ep: 50, Reward: -24.3707, Test: 51.8218 [59.73], Avg: -4.3984 (0.60)
Ep: 51, Reward: -26.9524, Test: 209.5530 [149.14], Avg: -3.1520 (0.59)
Ep: 52, Reward: -38.1104, Test: 177.8257 [91.25], Avg: -1.4589 (0.59)
Ep: 53, Reward: -26.4125, Test: 219.7642 [112.38], Avg: 0.5567 (0.58)
Ep: 54, Reward: -4.4653, Test: 200.3791 [69.02], Avg: 2.9349 (0.58)
Ep: 55, Reward: -38.2164, Test: 222.9339 [135.04], Avg: 4.4521 (0.57)
Ep: 56, Reward: -25.5924, Test: 197.1329 [92.14], Avg: 6.2160 (0.56)
Ep: 57, Reward: -15.8448, Test: 161.3012 [86.23], Avg: 7.4032 (0.56)
Ep: 58, Reward: -25.3370, Test: 174.7063 [85.61], Avg: 8.7878 (0.55)
Ep: 59, Reward: -15.3059, Test: 173.8713 [91.72], Avg: 10.0104 (0.55)
Ep: 60, Reward: -28.2083, Test: 320.8046 [101.42], Avg: 13.4427 (0.54)
Ep: 61, Reward: -24.8058, Test: 268.1650 [78.20], Avg: 16.2899 (0.54)
Ep: 62, Reward: -37.1489, Test: 203.8742 [77.01], Avg: 18.0451 (0.53)
Ep: 63, Reward: -29.2896, Test: 239.3961 [126.23], Avg: 19.5314 (0.53)
Ep: 64, Reward: -14.3750, Test: 220.5921 [127.08], Avg: 20.6696 (0.52)
Ep: 65, Reward: -12.1102, Test: 57.8299 [26.74], Avg: 20.8275 (0.52)
