Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -61.5238, Test: -64.7650 [17.92], Avg: -82.6802 (0.980)
Ep: 1, Reward: -63.3408, Test: -62.6280 [16.90], Avg: -81.1020 (0.960)
Ep: 2, Reward: -55.0360, Test: -66.5601 [14.14], Avg: -80.9678 (0.941)
Ep: 3, Reward: -66.6610, Test: -43.3643 [27.88], Avg: -78.5378 (0.922)
Ep: 4, Reward: -52.8481, Test: -55.2788 [14.96], Avg: -76.8776 (0.904)
Ep: 5, Reward: -48.9259, Test: -57.3426 [13.60], Avg: -75.8888 (0.886)
Ep: 6, Reward: -44.8244, Test: -57.8967 [18.92], Avg: -76.0214 (0.868)
Ep: 7, Reward: -43.8406, Test: -51.0550 [16.30], Avg: -74.9376 (0.851)
Ep: 8, Reward: -50.9926, Test: -50.9716 [12.43], Avg: -73.6557 (0.834)
Ep: 9, Reward: -60.7999, Test: -61.2718 [24.40], Avg: -74.8569 (0.817)
Ep: 10, Reward: -58.7681, Test: -55.3177 [27.69], Avg: -75.5982 (0.801)
Ep: 11, Reward: -55.0356, Test: -58.5166 [20.77], Avg: -75.9052 (0.785)
Ep: 12, Reward: -46.3692, Test: -66.6158 [39.47], Avg: -78.2266 (0.769)
Ep: 13, Reward: -54.1393, Test: -59.5941 [16.92], Avg: -78.1043 (0.754)
Ep: 14, Reward: -45.9626, Test: -43.1752 [21.39], Avg: -77.2016 (0.739)
Ep: 15, Reward: -48.3264, Test: -54.6697 [23.03], Avg: -77.2327 (0.724)
Ep: 16, Reward: -56.4359, Test: -54.8806 [29.63], Avg: -77.6605 (0.709)
Ep: 17, Reward: -59.8939, Test: -51.1612 [29.17], Avg: -77.8087 (0.695)
Ep: 18, Reward: -53.9300, Test: -56.8873 [34.68], Avg: -78.5329 (0.681)
Ep: 19, Reward: -40.0448, Test: -53.6833 [21.91], Avg: -78.3862 (0.668)
Ep: 20, Reward: -33.5039, Test: -41.1328 [42.35], Avg: -78.6290 (0.654)
Ep: 21, Reward: -54.0684, Test: -36.1636 [33.38], Avg: -78.2159 (0.641)
Ep: 22, Reward: -40.0947, Test: -54.0707 [28.48], Avg: -78.4043 (0.628)
Ep: 23, Reward: -39.2395, Test: -25.4809 [33.67], Avg: -77.6022 (0.616)
Ep: 24, Reward: -31.1214, Test: -28.0926 [45.51], Avg: -77.4423 (0.603)
Ep: 25, Reward: -40.3809, Test: -34.0431 [24.92], Avg: -76.7314 (0.591)
Ep: 26, Reward: -22.7748, Test: 5.1645 [37.53], Avg: -75.0882 (0.580)
Ep: 27, Reward: 1.3504, Test: -22.4608 [41.00], Avg: -74.6728 (0.568)
Ep: 28, Reward: -30.5070, Test: -25.2592 [37.82], Avg: -74.2731 (0.557)
Ep: 29, Reward: -14.8425, Test: -27.4422 [42.20], Avg: -74.1189 (0.545)
Ep: 30, Reward: -30.8899, Test: -37.0076 [38.92], Avg: -74.1772 (0.535)
Ep: 31, Reward: -41.8533, Test: -39.4959 [35.35], Avg: -74.1981 (0.524)
Ep: 32, Reward: -46.7061, Test: -37.5955 [35.10], Avg: -74.1527 (0.513)
Ep: 33, Reward: -29.9952, Test: -36.3925 [50.82], Avg: -74.5368 (0.503)
Ep: 34, Reward: -31.6955, Test: -26.7911 [31.52], Avg: -74.0732 (0.493)
Ep: 35, Reward: -36.6115, Test: -39.4518 [30.07], Avg: -73.9468 (0.483)
Ep: 36, Reward: -30.7360, Test: -44.4449 [18.67], Avg: -73.6541 (0.474)
Ep: 37, Reward: -47.8968, Test: -29.9164 [33.63], Avg: -73.3881 (0.464)
Ep: 38, Reward: -27.1378, Test: -30.9944 [27.48], Avg: -73.0057 (0.455)
Ep: 39, Reward: -23.2848, Test: -15.2650 [46.78], Avg: -72.7317 (0.446)
Ep: 40, Reward: -1.8424, Test: 1.7889 [47.29], Avg: -72.0675 (0.437)
Ep: 41, Reward: 22.8787, Test: 15.7959 [62.94], Avg: -71.4741 (0.428)
Ep: 42, Reward: -5.1712, Test: 70.4609 [85.00], Avg: -70.1500 (0.419)
Ep: 43, Reward: 48.0240, Test: 67.0051 [116.74], Avg: -69.6861 (0.411)
Ep: 44, Reward: 48.4854, Test: 74.1387 [128.83], Avg: -69.3528 (0.403)
Ep: 45, Reward: 31.5220, Test: 32.4034 [91.75], Avg: -69.1353 (0.395)
Ep: 46, Reward: 73.5925, Test: 63.4577 [141.78], Avg: -69.3307 (0.387)
Ep: 47, Reward: 18.7295, Test: 136.5575 [128.61], Avg: -67.7207 (0.379)
Ep: 48, Reward: 94.6947, Test: 25.4198 [102.55], Avg: -67.9127 (0.372)
Ep: 49, Reward: 58.4727, Test: 103.4841 [160.79], Avg: -67.7005 (0.364)
Ep: 50, Reward: 51.8414, Test: 55.7368 [120.43], Avg: -67.6416 (0.357)
Ep: 51, Reward: 67.6754, Test: 103.0346 [131.06], Avg: -66.8798 (0.350)
Ep: 52, Reward: 61.5191, Test: 29.0279 [66.59], Avg: -66.3266 (0.343)
