Iteration 1
Ep: 0-115, Best score: 879.1280, Min: 575.0833, Avg: 742.5382
Ep: 0-114, Best score: 833.5615, Min: 593.5235, Avg: 737.4007
Ep: 0-113, Best score: 810.5425, Min: 592.3863, Avg: 707.4991
Ep: 0-112, Best score: 827.2248, Min: 555.6161, Avg: 715.3105
Ep: 0-111, Best score: 854.0612, Min: 368.0254, Avg: 686.7521
Ep: 0-110, Best score: 817.3995, Min: 484.8559, Avg: 705.1364
Ep: 0-109, Best score: 759.1290, Min: 399.1768, Avg: 634.2368
Ep: 0-108, Best score: 832.6739, Min: 483.9696, Avg: 707.7099
Ep: 0-107, Best score: 868.0916, Min: 532.3498, Avg: 704.9730
Ep: 0-106, Best score: 866.5107, Min: 536.2065, Avg: 722.2785
Ep: 0-105, Best score: 859.1773, Min: 570.9872, Avg: 732.2821
Ep: 0-104, Best score: 886.2014, Min: 572.8622, Avg: 744.7373
Ep: 0-103, Best score: 870.1080, Min: 438.7783, Avg: 749.9061
Ep: 0-102, Best score: 868.3325, Min: 496.8106, Avg: 728.2091
Ep: 0-101, Best score: 821.1682, Min: 658.8349, Avg: 757.7662
Ep: 0-100, Best score: 868.3618, Min: 634.0895, Avg: 747.2415
Ep: 0-99, Best score: 854.7089, Min: 638.7781, Avg: 767.3944
Ep: 0-98, Best score: 884.5775, Min: 639.3586, Avg: 728.9896
Ep: 0-97, Best score: 870.1756, Min: 540.8308, Avg: 733.0117
Ep: 0-96, Best score: 869.8090, Min: 607.2124, Avg: 753.9749
Ep: 0-95, Best score: 886.5440, Min: 559.8295, Avg: 758.7948
Ep: 0-94, Best score: 896.3153, Min: 651.2856, Avg: 742.0174
Ep: 0-93, Best score: 866.1159, Min: 580.5432, Avg: 734.6499
Ep: 0-92, Best score: 862.4433, Min: 433.6343, Avg: 743.4286
Ep: 0-91, Best score: 882.5887, Min: 565.0816, Avg: 749.1778
Ep: 0-90, Best score: 881.8683, Min: 550.4330, Avg: 750.4142
Ep: 0-89, Best score: 902.8874, Min: 645.2330, Avg: 800.3196
Ep: 0-88, Best score: 864.2302, Min: 589.2063, Avg: 756.0766
Ep: 0-87, Best score: 876.9687, Min: 652.7495, Avg: 765.2687
Ep: 0-86, Best score: 886.7190, Min: 610.4098, Avg: 760.3311
Ep: 0-85, Best score: 882.5541, Min: 519.8715, Avg: 718.6512
Ep: 0-84, Best score: 875.9819, Min: 385.5687, Avg: 678.2594
Ep: 0-83, Best score: 849.5943, Min: 499.3285, Avg: 715.7348
Ep: 0-82, Best score: 810.0120, Min: 527.4494, Avg: 663.4108
Ep: 0-81, Best score: 791.0826, Min: 633.9787, Avg: 726.6184
Ep: 0-80, Best score: 795.3822, Min: 587.8091, Avg: 699.4721
Ep: 0-79, Best score: 879.7910, Min: 602.6911, Avg: 721.5680
Ep: 0-78, Best score: 832.4139, Min: 555.4870, Avg: 733.6131
Ep: 0-77, Best score: 881.5022, Min: 582.2506, Avg: 719.0844
Ep: 0-76, Best score: 809.1805, Min: 594.3560, Avg: 702.3974
Ep: 0-75, Best score: 863.7784, Min: 508.7771, Avg: 727.3589
Ep: 0-74, Best score: 795.3606, Min: 653.5930, Avg: 718.7352
Ep: 0-73, Best score: 841.9781, Min: 553.9166, Avg: 695.7857
Ep: 0-72, Best score: 831.4906, Min: 539.9278, Avg: 722.7927
Ep: 0-71, Best score: 851.2387, Min: 586.0305, Avg: 746.5991
Ep: 0-70, Best score: 894.4828, Min: 629.3058, Avg: 764.6045
Ep: 0-69, Best score: 840.6950, Min: 491.9402, Avg: 744.7822
Ep: 0-68, Best score: 856.5275, Min: 661.2661, Avg: 768.9555
Ep: 0-67, Best score: 884.8079, Min: 614.1517, Avg: 744.6613
Ep: 0-66, Best score: 831.4036, Min: 595.8424, Avg: 745.2186
Ep: 0-65, Best score: 843.7890, Min: 674.0382, Avg: 748.2044
Ep: 0-64, Best score: 811.7949, Min: 511.1226, Avg: 718.1325
Ep: 0-63, Best score: 875.5748, Min: 652.1477, Avg: 770.6769
Ep: 0-62, Best score: 873.7748, Min: 537.8762, Avg: 734.2574
Ep: 0-61, Best score: 879.7408, Min: 608.0215, Avg: 791.6254
Ep: 0-60, Best score: 885.4649, Min: 633.5163, Avg: 781.9236
Ep: 0-59, Best score: 867.1926, Min: 626.9906, Avg: 775.4100
Ep: 0-58, Best score: 847.1658, Min: 567.5430, Avg: 768.4000
Ep: 0-57, Best score: 856.9061, Min: 704.9469, Avg: 786.0810
Ep: 0-56, Best score: 891.1780, Min: 707.1396, Avg: 802.0518
Ep: 0-55, Best score: 881.2678, Min: 640.9318, Avg: 792.7246
Ep: 0-54, Best score: 899.8187, Min: 717.5203, Avg: 810.6268
Ep: 0-53, Best score: 890.1187, Min: 693.3707, Avg: 806.0894
Ep: 0-52, Best score: 870.2717, Min: 756.8535, Avg: 814.8144
Ep: 0-51, Best score: 875.2011, Min: 658.7776, Avg: 793.4571
Ep: 0-50, Best score: 894.5706, Min: 697.4341, Avg: 812.2375
Ep: 0-49, Best score: 888.2406, Min: 731.6861, Avg: 821.4448
Ep: 0-48, Best score: 853.4865, Min: 630.5867, Avg: 782.8549
Ep: 0-47, Best score: 859.1258, Min: 713.2961, Avg: 803.9388
Ep: 0-46, Best score: 874.4878, Min: 644.4977, Avg: 775.1148
Ep: 0-45, Best score: 874.6088, Min: 694.4227, Avg: 802.1000
