Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -41.6003, Test: -40.0746 [4.34], Avg: -44.4112 (0.997)
Ep: 1, Reward: -40.7988, Test: -40.3939 [5.03], Avg: -44.9161 (0.994)
Ep: 2, Reward: -38.6666, Test: -33.7381 [6.11], Avg: -43.2253 (0.991)
Ep: 3, Reward: -38.9872, Test: -35.6299 [8.10], Avg: -43.3511 (0.988)
Ep: 4, Reward: -33.7061, Test: -32.1203 [3.38], Avg: -41.7812 (0.985)
Ep: 5, Reward: -31.9645, Test: -30.9929 [5.18], Avg: -40.8461 (0.982)
Ep: 6, Reward: -27.2597, Test: -29.8132 [5.71], Avg: -40.0852 (0.979)
Ep: 7, Reward: -30.1193, Test: -33.9059 [4.12], Avg: -39.8282 (0.976)
Ep: 8, Reward: -30.1887, Test: -23.1099 [8.27], Avg: -38.8892 (0.973)
Ep: 9, Reward: -27.6866, Test: -30.2401 [8.18], Avg: -38.8421 (0.970)
Ep: 10, Reward: -25.6816, Test: -25.2647 [12.13], Avg: -38.7102 (0.967)
Ep: 11, Reward: -29.3192, Test: -41.3935 [13.11], Avg: -40.0260 (0.965)
Ep: 12, Reward: -30.6437, Test: -34.0959 [14.05], Avg: -40.6509 (0.962)
Ep: 13, Reward: -41.6502, Test: -42.6617 [14.14], Avg: -41.8043 (0.959)
Ep: 14, Reward: -48.3995, Test: -45.1541 [15.53], Avg: -43.0631 (0.956)
Ep: 15, Reward: -50.7973, Test: -61.7569 [10.15], Avg: -44.8660 (0.953)
Ep: 16, Reward: -58.1876, Test: -46.1057 [13.99], Avg: -45.7619 (0.950)
Ep: 17, Reward: -50.2978, Test: -56.3278 [10.02], Avg: -46.9055 (0.947)
Ep: 18, Reward: -43.1564, Test: -50.0748 [23.12], Avg: -48.2891 (0.945)
Ep: 19, Reward: -40.0512, Test: -27.1734 [12.40], Avg: -47.8532 (0.942)
Ep: 20, Reward: -13.2444, Test: -33.9289 [33.31], Avg: -48.7764 (0.939)
Ep: 21, Reward: -61.1527, Test: -2.4544 [55.25], Avg: -49.1824 (0.936)
Ep: 22, Reward: -35.9234, Test: -25.2076 [63.31], Avg: -50.8925 (0.933)
Ep: 23, Reward: -11.6495, Test: 8.3279 [114.94], Avg: -53.2143 (0.930)
Ep: 24, Reward: 8.6606, Test: 59.3488 [63.82], Avg: -51.2647 (0.928)
Ep: 25, Reward: 35.4431, Test: -1.9310 [85.25], Avg: -52.6461 (0.925)
Ep: 26, Reward: 75.1937, Test: 48.1929 [151.41], Avg: -54.5192 (0.922)
Ep: 27, Reward: 67.5856, Test: 151.8821 [119.07], Avg: -51.4003 (0.919)
Ep: 28, Reward: 53.3083, Test: 82.1373 [109.53], Avg: -50.5724 (0.917)
Ep: 29, Reward: 104.3629, Test: 52.4529 [52.35], Avg: -48.8832 (0.914)
Ep: 30, Reward: 107.3460, Test: 124.5346 [145.23], Avg: -47.9740 (0.911)
Ep: 31, Reward: 162.6832, Test: 219.1082 [113.87], Avg: -43.1862 (0.908)
Ep: 32, Reward: 216.5419, Test: 419.3246 [242.29], Avg: -36.5128 (0.906)
Ep: 33, Reward: 375.0214, Test: 386.3917 [200.13], Avg: -29.9607 (0.903)
Ep: 34, Reward: 383.2398, Test: 304.8040 [118.37], Avg: -23.7780 (0.900)
Ep: 35, Reward: 336.0331, Test: 493.6527 [175.06], Avg: -14.2676 (0.897)
Ep: 36, Reward: 290.1352, Test: 239.7161 [147.22], Avg: -11.3822 (0.895)
Ep: 37, Reward: 270.0069, Test: 246.1103 [72.35], Avg: -6.5101 (0.892)
Ep: 38, Reward: 260.9161, Test: 151.9059 [112.62], Avg: -5.3357 (0.889)
Ep: 39, Reward: 224.3908, Test: 235.6657 [145.88], Avg: -2.9576 (0.887)
Ep: 40, Reward: 223.9162, Test: 306.7469 [138.01], Avg: 1.2300 (0.884)
Ep: 41, Reward: 266.9236, Test: 230.6556 [116.46], Avg: 3.9195 (0.881)
Ep: 42, Reward: 227.3325, Test: 200.3853 [95.32], Avg: 6.2717 (0.879)
Ep: 43, Reward: 190.2922, Test: 114.0486 [101.81], Avg: 6.4073 (0.876)
Ep: 44, Reward: 171.3289, Test: 192.2205 [143.42], Avg: 7.3493 (0.874)
Ep: 45, Reward: 196.0643, Test: 202.0061 [80.29], Avg: 9.8355 (0.871)
Ep: 46, Reward: 174.2910, Test: 204.8271 [145.91], Avg: 10.8798 (0.868)
Ep: 47, Reward: 136.8620, Test: 265.6383 [92.90], Avg: 14.2519 (0.863)
Ep: 48, Reward: 177.4955, Test: 188.7916 [119.01], Avg: 15.3852 (0.861)
Ep: 49, Reward: 234.4514, Test: 154.0408 [101.19], Avg: 16.1345 (0.858)
Ep: 50, Reward: 198.6752, Test: 60.3709 [60.60], Avg: 15.8136 (0.855)
Ep: 51, Reward: 133.3938, Test: 210.4536 [80.17], Avg: 18.0150 (0.853)
Ep: 52, Reward: 118.2010, Test: 140.1227 [97.54], Avg: 18.4786 (0.850)
Ep: 53, Reward: 117.7221, Test: 152.3048 [102.53], Avg: 19.0581 (0.848)
Ep: 54, Reward: 172.0711, Test: 138.3278 [125.50], Avg: 18.9448 (0.845)
Ep: 55, Reward: 133.1146, Test: 142.1848 [122.17], Avg: 18.9639 (0.843)
Ep: 56, Reward: 228.5632, Test: 231.4544 [68.39], Avg: 21.4921 (0.840)
Ep: 57, Reward: 188.2895, Test: 222.5007 [74.98], Avg: 23.6649 (0.835)
Ep: 58, Reward: 188.9441, Test: 198.5240 [90.25], Avg: 25.0989 (0.830)
Ep: 59, Reward: 222.2029, Test: 157.6250 [144.49], Avg: 24.8996 (0.828)
Ep: 60, Reward: 246.8198, Test: 53.8903 [82.16], Avg: 24.0279 (0.825)
Ep: 61, Reward: 266.3322, Test: 207.8871 [93.37], Avg: 25.4874 (0.818)
Ep: 62, Reward: 267.4154, Test: 227.5554 [107.98], Avg: 26.9808 (0.815)
Ep: 63, Reward: 205.9754, Test: 193.7629 [100.07], Avg: 28.0232 (0.813)
