Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 67, Reward: -69.7802, Test: -64.6261 [12.57], Avg: -65.7481 (0.82)
Ep: 68, Reward: -51.9093, Test: -59.2158 [11.21], Avg: -65.8158 (0.81)
Ep: 69, Reward: -58.9530, Test: -59.3481 [15.73], Avg: -65.9482 (0.81)
Ep: 70, Reward: -58.9778, Test: -67.5343 [13.47], Avg: -66.1602 (0.81)
Ep: 71, Reward: -60.9032, Test: -62.3045 [10.67], Avg: -66.2549 (0.81)
Ep: 72, Reward: -56.4048, Test: -54.4616 [25.43], Avg: -66.4416 (0.80)
Ep: 73, Reward: -68.8810, Test: -55.0639 [20.49], Avg: -66.5648 (0.80)
Ep: 74, Reward: -57.6603, Test: -55.1335 [24.28], Avg: -66.7361 (0.80)
Ep: 75, Reward: -44.7188, Test: -69.1607 [35.74], Avg: -67.2383 (0.80)
Ep: 76, Reward: -65.9330, Test: -74.7855 [33.52], Avg: -67.7716 (0.79)
Ep: 77, Reward: -67.5789, Test: -68.0587 [35.80], Avg: -68.2343 (0.79)
Ep: 78, Reward: -63.2727, Test: -52.4092 [49.98], Avg: -68.6667 (0.79)
Ep: 79, Reward: -74.7196, Test: -60.2940 [32.07], Avg: -68.9629 (0.79)
Ep: 80, Reward: -63.1743, Test: -48.5146 [34.94], Avg: -69.1418 (0.78)
Ep: 81, Reward: -46.4630, Test: -45.0567 [40.59], Avg: -69.3430 (0.78)
Ep: 82, Reward: -63.9773, Test: -57.7567 [17.35], Avg: -69.4125 (0.78)
Ep: 83, Reward: -56.6194, Test: -23.1751 [36.25], Avg: -69.2936 (0.78)
Ep: 84, Reward: -51.5538, Test: -59.3121 [11.83], Avg: -69.3153 (0.77)
Ep: 85, Reward: -48.6852, Test: -30.5926 [25.64], Avg: -69.1631 (0.77)
Ep: 86, Reward: -44.9449, Test: -51.5134 [19.56], Avg: -69.1851 (0.77)
Ep: 87, Reward: -33.5847, Test: -32.1514 [71.77], Avg: -69.5799 (0.77)
Ep: 88, Reward: -38.7222, Test: -42.2837 [52.17], Avg: -69.8593 (0.77)
Ep: 89, Reward: -18.4156, Test: -23.3011 [35.78], Avg: -69.7396 (0.76)
Ep: 90, Reward: -29.1688, Test: -23.2043 [48.91], Avg: -69.7657 (0.76)
Ep: 91, Reward: -22.9098, Test: -39.8052 [81.28], Avg: -70.3235 (0.76)
Ep: 92, Reward: 22.7631, Test: -4.1001 [78.22], Avg: -70.4525 (0.76)
Ep: 93, Reward: 35.8871, Test: 61.1580 [121.10], Avg: -70.3406 (0.75)
Ep: 94, Reward: 67.3383, Test: 77.1927 [115.90], Avg: -70.0077 (0.75)
Ep: 95, Reward: 59.9835, Test: 106.5262 [161.25], Avg: -69.8485 (0.75)
Ep: 96, Reward: 110.2447, Test: 83.5740 [130.88], Avg: -69.6162 (0.75)
Ep: 97, Reward: 132.7628, Test: 95.6258 [157.32], Avg: -69.5353 (0.74)
Ep: 98, Reward: 189.6479, Test: 209.7413 [197.17], Avg: -68.7060 (0.74)
Ep: 99, Reward: 254.8337, Test: 292.3211 [194.74], Avg: -67.0431 (0.74)
Ep: 100, Reward: 269.7316, Test: 168.6556 [154.45], Avg: -66.4961 (0.74)
Ep: 101, Reward: 242.1129, Test: 233.0528 [203.52], Avg: -65.7620 (0.74)
Ep: 102, Reward: 375.4718, Test: 412.7309 [190.88], Avg: -63.1353 (0.73)
Ep: 103, Reward: 388.3626, Test: 281.9091 [220.95], Avg: -62.1155 (0.73)
Ep: 104, Reward: 405.8944, Test: 355.9420 [286.97], Avg: -61.0213 (0.73)
Ep: 105, Reward: 606.0424, Test: 527.4804 [197.28], Avg: -57.3443 (0.73)
Ep: 106, Reward: 384.8388, Test: 598.3141 [296.63], Avg: -53.9218 (0.73)
Ep: 107, Reward: 608.0998, Test: 508.1980 [233.05], Avg: -50.7374 (0.72)
Ep: 108, Reward: 474.7647, Test: 623.8698 [177.77], Avg: -45.8005 (0.72)
Ep: 109, Reward: 558.8589, Test: 570.8918 [269.53], Avg: -42.2893 (0.72)
Ep: 110, Reward: 484.0437, Test: 592.7306 [251.67], Avg: -38.4254 (0.72)
Ep: 111, Reward: 499.7212, Test: 478.2734 [214.09], Avg: -35.2976 (0.71)
Ep: 112, Reward: 562.3920, Test: 521.4361 [276.99], Avg: -32.3781 (0.71)
Ep: 113, Reward: 518.0625, Test: 269.2640 [165.13], Avg: -30.8772 (0.71)
Ep: 114, Reward: 482.2784, Test: 581.1749 [183.70], Avg: -26.4057 (0.71)
Ep: 115, Reward: 618.0736, Test: 437.4875 [190.56], Avg: -23.3444 (0.71)
Ep: 116, Reward: 471.9683, Test: 417.8097 [178.66], Avg: -20.3324 (0.70)
Ep: 117, Reward: 463.7711, Test: 581.0575 [221.07], Avg: -16.0797 (0.70)
Ep: 118, Reward: 491.3786, Test: 660.0159 [178.20], Avg: -10.6596 (0.70)
Ep: 119, Reward: 519.9804, Test: 504.1458 [158.00], Avg: -6.5226 (0.70)
Ep: 120, Reward: 408.5636, Test: 445.0096 [149.68], Avg: -2.9223 (0.70)
Ep: 121, Reward: 464.3251, Test: 467.2834 [155.83], Avg: 0.7988 (0.69)
Ep: 122, Reward: 419.7456, Test: 318.2376 [170.94], Avg: 2.8725 (0.69)
Ep: 123, Reward: 455.1288, Test: 515.9704 [282.86], Avg: 5.8387 (0.69)
Ep: 124, Reward: 398.5684, Test: 282.4180 [153.38], Avg: 7.7546 (0.69)
Ep: 125, Reward: 455.3494, Test: 507.2621 [255.10], Avg: 10.9112 (0.68)
Ep: 126, Reward: 452.1570, Test: 445.7206 [169.45], Avg: 14.3544 (0.68)
Ep: 127, Reward: 534.7388, Test: 428.6917 [257.57], Avg: 16.7583 (0.68)
Ep: 128, Reward: 477.5760, Test: 321.8612 [204.21], Avg: 18.5966 (0.68)
Ep: 129, Reward: 476.5092, Test: 404.2024 [202.04], Avg: 21.2862 (0.68)
Ep: 130, Reward: 497.3903, Test: 422.3319 [205.99], Avg: 24.1433 (0.67)
Ep: 131, Reward: 442.2602, Test: 478.9891 [203.58], Avg: 27.6465 (0.67)
Ep: 132, Reward: 426.6673, Test: 440.8341 [183.11], Avg: 30.9150 (0.67)
Ep: 133, Reward: 356.2636, Test: 442.2007 [272.08], Avg: 33.3535 (0.67)
Ep: 134, Reward: 435.6268, Test: 485.6292 [168.26], Avg: 37.2546 (0.67)
Ep: 135, Reward: 490.6338, Test: 377.5963 [200.32], Avg: 39.7617 (0.66)
Ep: 136, Reward: 530.5235, Test: 409.1851 [145.21], Avg: 43.1216 (0.66)
Ep: 137, Reward: 486.2299, Test: 484.8077 [223.99], Avg: 46.4228 (0.66)
Ep: 138, Reward: 381.7071, Test: 496.3206 [231.93], Avg: 49.7541 (0.66)
Ep: 139, Reward: 440.2347, Test: 317.7520 [235.27], Avg: 51.3147 (0.66)
Ep: 140, Reward: 454.5648, Test: 427.4194 [227.39], Avg: 54.0282 (0.65)
Ep: 141, Reward: 348.4684, Test: 465.7017 [203.81], Avg: 57.4080 (0.65)
Ep: 142, Reward: 431.1877, Test: 378.4758 [217.30], Avg: 59.7734 (0.65)
Ep: 143, Reward: 404.8353, Test: 424.4013 [173.13], Avg: 63.0202 (0.64)
Ep: 144, Reward: 498.1594, Test: 438.9687 [246.75], Avg: 65.7095 (0.64)
Ep: 145, Reward: 434.9164, Test: 377.7440 [231.10], Avg: 67.9317 (0.64)
Ep: 146, Reward: 426.7322, Test: 386.7506 [255.49], Avg: 70.0096 (0.64)
Ep: 147, Reward: 440.6690, Test: 307.2346 [139.62], Avg: 72.4681 (0.64)
Ep: 148, Reward: 487.6374, Test: 393.4554 [155.57], Avg: 75.6499 (0.63)
Ep: 149, Reward: 434.9579, Test: 438.7728 [129.68], Avg: 79.4922 (0.63)
Ep: 150, Reward: 484.4700, Test: 528.4375 [153.48], Avg: 84.0460 (0.63)
Ep: 151, Reward: 411.4228, Test: 573.1739 [260.37], Avg: 87.8963 (0.63)
Ep: 152, Reward: 395.8566, Test: 359.8600 [109.49], Avg: 91.1665 (0.63)
Ep: 153, Reward: 397.4414, Test: 341.2968 [204.35], Avg: 93.2787 (0.62)
Ep: 154, Reward: 365.0101, Test: 332.9597 [262.02], Avg: 94.7928 (0.62)
Ep: 155, Reward: 304.0781, Test: 382.1221 [228.35], Avg: 97.0679 (0.62)
Ep: 156, Reward: 464.0990, Test: 343.7610 [127.13], Avg: 100.0366 (0.62)
Ep: 157, Reward: 381.6312, Test: 310.7949 [84.32], Avg: 103.0707 (0.62)
Ep: 158, Reward: 316.2554, Test: 345.0421 [123.86], Avg: 106.0446 (0.61)
Ep: 159, Reward: 440.1605, Test: 390.7770 [157.49], Avg: 109.1391 (0.61)
Ep: 160, Reward: 363.8020, Test: 361.5002 [137.32], Avg: 112.1764 (0.61)
Ep: 161, Reward: 460.2971, Test: 321.7574 [180.74], Avg: 114.3508 (0.61)
Ep: 162, Reward: 385.5919, Test: 323.0668 [174.51], Avg: 116.6154 (0.61)
Ep: 163, Reward: 284.8742, Test: 200.7927 [177.11], Avg: 117.6666 (0.60)
Ep: 164, Reward: 290.6065, Test: 334.5771 [208.28], Avg: 119.6649 (0.60)
Ep: 165, Reward: 297.5935, Test: 295.6035 [143.28], Avg: 121.9214 (0.60)
Ep: 166, Reward: 318.1723, Test: 308.2486 [159.48], Avg: 124.0749 (0.60)
Ep: 167, Reward: 399.2892, Test: 386.5297 [176.75], Avg: 126.9447 (0.60)
Ep: 168, Reward: 426.6169, Test: 327.6775 [169.22], Avg: 129.2335 (0.59)
Ep: 169, Reward: 298.3020, Test: 279.3117 [171.15], Avg: 131.0659 (0.59)
Ep: 170, Reward: 299.3732, Test: 302.4099 [194.74], Avg: 132.9527 (0.59)
Ep: 171, Reward: 484.0209, Test: 160.2895 [201.33], Avg: 133.2720 (0.59)
Ep: 172, Reward: 450.5247, Test: 249.7711 [175.70], Avg: 134.8115 (0.59)
Ep: 173, Reward: 341.6887, Test: 251.6227 [143.32], Avg: 136.6502 (0.59)
Ep: 174, Reward: 308.4510, Test: 358.0692 [171.36], Avg: 139.3114 (0.58)
Ep: 175, Reward: 317.9711, Test: 266.6025 [200.66], Avg: 141.0199 (0.58)
Ep: 176, Reward: 355.6483, Test: 359.2343 [211.04], Avg: 143.5849 (0.58)
Ep: 177, Reward: 330.8258, Test: 305.5875 [168.80], Avg: 145.9913 (0.58)
Ep: 178, Reward: 312.1262, Test: 330.4256 [180.58], Avg: 148.5136 (0.58)
Ep: 179, Reward: 319.2254, Test: 342.6474 [144.47], Avg: 151.4191 (0.58)
Ep: 180, Reward: 347.6144, Test: 305.7843 [171.67], Avg: 153.5947 (0.57)
Ep: 181, Reward: 425.5992, Test: 259.7429 [116.29], Avg: 155.8857 (0.57)
Ep: 182, Reward: 258.2654, Test: 235.5815 [204.36], Avg: 156.9490 (0.57)
Ep: 183, Reward: 335.4817, Test: 329.4809 [193.48], Avg: 158.9033 (0.57)
Ep: 184, Reward: 347.6194, Test: 231.5455 [120.57], Avg: 160.7244 (0.57)
Ep: 185, Reward: 340.9773, Test: 298.9672 [204.35], Avg: 162.2329 (0.56)
Ep: 186, Reward: 376.9767, Test: 480.0067 [180.50], Avg: 165.9388 (0.56)
Ep: 187, Reward: 372.8256, Test: 440.4159 [194.82], Avg: 169.4340 (0.56)
Ep: 188, Reward: 364.7426, Test: 341.5264 [197.63], Avg: 171.8176 (0.56)
Ep: 189, Reward: 354.3220, Test: 336.6968 [165.68], Avg: 174.1186 (0.56)
Ep: 190, Reward: 332.1114, Test: 318.5317 [214.14], Avg: 175.8836 (0.55)
Ep: 191, Reward: 423.1242, Test: 417.5943 [213.55], Avg: 179.1349 (0.55)
Ep: 192, Reward: 329.8496, Test: 295.2597 [164.90], Avg: 181.2617 (0.55)
Ep: 193, Reward: 343.6345, Test: 368.9276 [215.43], Avg: 183.3961 (0.55)
Ep: 194, Reward: 375.3919, Test: 330.3775 [309.04], Avg: 183.9966 (0.55)
Ep: 195, Reward: 338.9679, Test: 253.8481 [128.20], Avg: 185.8003 (0.55)
Ep: 196, Reward: 378.5936, Test: 471.3576 [233.71], Avg: 188.6499 (0.55)
Ep: 197, Reward: 423.3018, Test: 475.5666 [245.35], Avg: 191.5691 (0.54)
Ep: 198, Reward: 391.3370, Test: 421.8034 [211.42], Avg: 193.5473 (0.54)
Ep: 199, Reward: 463.8320, Test: 366.6653 [159.32], Avg: 194.6449 (0.54)
Ep: 200, Reward: 423.0922, Test: 377.1126 [255.95], Avg: 195.7144 (0.54)
Ep: 201, Reward: 404.1900, Test: 261.7343 [181.97], Avg: 196.2167 (0.54)
