Iteration 0
Ep: 0-199, Best score: -26.0563, Min: -42.7481, Avg: -35.4960
Ep: 0-198, Best score: -19.1176, Min: -36.1702, Avg: -29.9950
Ep: 0-197, Best score: -13.6691, Min: -37.9310, Avg: -27.0840
Ep: 0-196, Best score: -35.0649, Min: -49.8525, Avg: -41.1137
Ep: 0-195, Best score: -3.2258, Min: -49.1525, Avg: -29.4882
Ep: 0-194, Best score: -27.0833, Min: -39.1635, Avg: -34.0534
Ep: 0-193, Best score: -36.1022, Min: -42.1222, Avg: -39.7228
Ep: 0-192, Best score: -31.9728, Min: -45.0980, Avg: -37.7375
Ep: 0-191, Best score: -29.5775, Min: -55.7823, Avg: -43.8307
Ep: 0-190, Best score: -32.4759, Min: -58.6207, Avg: -44.9571
Ep: 0-189, Best score: -28.5714, Min: -56.1129, Avg: -38.1925
Ep: 0-188, Best score: 33.3333, Min: -42.1769, Avg: -18.4448
Ep: 0-187, Best score: -6.2500, Min: -37.2937, Avg: -26.2838
Ep: 0-186, Best score: 19.0476, Min: -56.5217, Avg: -15.0344
Ep: 0-185, Best score: 74.0614, Min: -7.8498, Avg: 17.0922
Ep: 0-184, Best score: 54.6053, Min: -4.5936, Avg: 20.1022
Ep: 0-183, Best score: 51.2346, Min: -19.0141, Avg: 17.4536
Ep: 0-182, Best score: 49.4253, Min: -14.6758, Avg: 19.5111
Ep: 0-181, Best score: 87.7395, Min: -18.7279, Avg: 21.0868
Ep: 0-180, Best score: 68.4588, Min: -50.5300, Avg: 17.1181
Ep: 0-179, Best score: 48.0144, Min: -31.4079, Avg: 0.3000
Ep: 0-178, Best score: 61.5120, Min: 11.8644, Avg: 43.2009
Ep: 0-177, Best score: 92.3077, Min: -14.4981, Avg: 42.2895
Ep: 0-176, Best score: 105.4264, Min: 2.3891, Avg: 46.1267
Ep: 0-175, Best score: 102.0548, Min: -33.8235, Avg: 53.1794
Ep: 0-174, Best score: 113.5231, Min: -21.7082, Avg: 47.7992
Ep: 0-173, Best score: 46.2585, Min: 10.6383, Avg: 23.4863
