Ep: 4-199, Best score: -22.2222, Min: -51.8072, Avg: -38.2438
Ep: 4-198, Best score: -12.2137, Min: -44.4444, Avg: -27.0910
Ep: 4-197, Best score: -25.1969, Min: -61.8056, Avg: -42.8025
Ep: 4-196, Best score: -26.0563, Min: -56.5217, Avg: -41.6598
Ep: 4-195, Best score: -21.8750, Min: -32.9073, Avg: -27.5234
Ep: 4-194, Best score: -31.4079, Min: -50.3106, Avg: -41.6637
Ep: 4-193, Best score: -42.5676, Min: -53.1250, Avg: -47.6883
Ep: 4-192, Best score: -39.0681, Min: -48.0969, Avg: -43.0020
Ep: 4-191, Best score: -44.2724, Min: -55.7196, Avg: -50.9035
Ep: 4-190, Best score: -38.6282, Min: -45.4545, Avg: -41.2971
Ep: 4-189, Best score: -38.3562, Min: -48.6301, Avg: -44.3132
Ep: 4-188, Best score: -47.1545, Min: -54.8611, Avg: -51.2734
Ep: 4-187, Best score: -23.9130, Min: -64.0719, Avg: -47.5153
Ep: 4-186, Best score: -35.6061, Min: -59.3220, Avg: -46.9870
Ep: 4-185, Best score: -25.0000, Min: -57.2954, Avg: -43.2528
Ep: 4-184, Best score: -34.3066, Min: -68.9655, Avg: -45.5158
Ep: 4-183, Best score: -34.0278, Min: -56.9892, Avg: -42.7431
Ep: 4-182, Best score: -25.5319, Min: -48.1481, Avg: -37.9307
Ep: 4-181, Best score: -30.5556, Min: -69.3878, Avg: -48.4046
Ep: 4-180, Best score: -43.6090, Min: -59.5016, Avg: -50.8219
Ep: 4-179, Best score: -47.3684, Min: -62.4573, Avg: -52.7551
Ep: 4-178, Best score: -44.0559, Min: -56.2290, Avg: -48.7397
Ep: 4-177, Best score: -35.0649, Min: -59.1195, Avg: -48.1493
Ep: 4-176, Best score: -25.4902, Min: -48.7179, Avg: -38.6012
Ep: 4-175, Best score: -29.2929, Min: -47.3684, Avg: -39.8648
Ep: 4-174, Best score: -29.6296, Min: -46.0317, Avg: -37.8603
Ep: 4-173, Best score: -9.7473, Min: -40.9594, Avg: -28.4135
Ep: 4-172, Best score: -11.9718, Min: -41.1765, Avg: -28.0649
Ep: 4-171, Best score: -19.8473, Min: -39.5973, Avg: -30.4436
Ep: 4-170, Best score: -20.0000, Min: -48.2201, Avg: -38.7474
Ep: 4-169, Best score: -33.7979, Min: -52.8620, Avg: -43.7656
Ep: 4-168, Best score: -18.9189, Min: -48.8189, Avg: -31.9913
Ep: 4-167, Best score: -16.6667, Min: -53.4884, Avg: -35.0615
Ep: 4-166, Best score: -21.7687, Min: -42.0849, Avg: -35.4257
Ep: 4-165, Best score: -18.8312, Min: -48.1481, Avg: -38.2458
Ep: 4-164, Best score: -17.6030, Min: -32.5513, Avg: -25.6168
Ep: 4-163, Best score: -19.1919, Min: -43.3333, Avg: -31.7914
Ep: 4-162, Best score: -3.2258, Min: -31.7406, Avg: -18.8397
Ep: 4-161, Best score: -11.8644, Min: -42.5676, Avg: -31.2501
Ep: 4-160, Best score: 1.9608, Min: -29.3286, Avg: -12.0884
Ep: 4-159, Best score: -14.9798, Min: -40.7895, Avg: -27.1999
Ep: 4-158, Best score: 13.6364, Min: -46.5875, Avg: -13.2091
Ep: 4-157, Best score: -23.8754, Min: -36.9085, Avg: -32.6141
Ep: 4-156, Best score: -28.5714, Min: -47.6923, Avg: -38.6116
Ep: 4-155, Best score: 9.5406, Min: -36.6667, Avg: -21.9345
Ep: 4-154, Best score: -20.1521, Min: -36.6667, Avg: -29.2375
Ep: 4-153, Best score: 6.8966, Min: -29.2929, Avg: -20.1837
Ep: 4-152, Best score: -23.6948, Min: -32.0388, Avg: -27.5228
