Ep: 4-199, Best score: -63.57615894039809, Min: -81.1320754716978, Avg: -70.53853046449603
Ep: 4-198, Best score: -65.7534246575349, Min: -77.27272727272714, Avg: -69.88969934175454
Ep: 4-197, Best score: -49.80694980695044, Min: -77.35849056603756, Avg: -68.79781015051391
Ep: 4-196, Best score: -58.90410958904192, Min: -70.67448680351947, Avg: -62.04911546567798
Ep: 4-195, Best score: -50.35460992907865, Min: -57.44680851063895, Avg: -54.962492369445265
Ep: 4-194, Best score: -49.61240310077572, Min: -66.41791044776151, Avg: -56.5075783871347
Ep: 4-193, Best score: -40.29850746268715, Min: -70.58823529411787, Avg: -61.666970808568244
Ep: 4-192, Best score: -36.241610738255204, Min: -60.000000000000774, Avg: -51.28487494769642
Ep: 4-191, Best score: -33.33333333333377, Min: -61.67247386759659, Avg: -48.07237735355285
Ep: 4-190, Best score: -56.66666666666729, Min: -75.86206896551722, Avg: -62.43343794566759
Ep: 4-189, Best score: -42.85714285714343, Min: -70.09966777408671, Avg: -57.951829221238526
Ep: 4-188, Best score: -47.580645161291045, Min: -67.55162241887973, Avg: -57.21084577358481
Ep: 4-187, Best score: -45.25547445255518, Min: -62.199312714777506, Avg: -54.67331378931749
Ep: 4-186, Best score: -47.368421052632044, Min: -60.65573770491884, Avg: -52.916635715878115
Ep: 4-185, Best score: -40.350877192982786, Min: -52.702702702703185, Avg: -47.13311204271612
Ep: 4-184, Best score: -42.02898550724657, Min: -57.236842105263904, Avg: -48.09638374137625
Ep: 4-183, Best score: 9.929078014184507, Min: -46.0317460317465, Avg: -25.80292983705698
Ep: 4-182, Best score: 18.518518518517574, Min: -49.15254237288181, Avg: -25.234465156316812
Ep: 4-181, Best score: 16.788321167883474, Min: -53.73665480427083, Avg: -26.646431951796302
Ep: 4-180, Best score: 7.4074074074075895, Min: -64.05228758169993, Avg: -29.141489821848467
Ep: 4-179, Best score: -11.439114391143729, Min: -60.725075528701474, Avg: -43.48907615379661
Ep: 4-178, Best score: 28.301886792452184, Min: -48.170731707317834, Avg: -25.07679962689553
Ep: 4-177, Best score: 14.478114478114483, Min: -33.579335793358524, Avg: -9.249254485619554
Ep: 4-176, Best score: 166.6666666666689, Min: 18.03278688524547, Avg: 68.05146349038506
