Ep: 0-199, Best score: -27.3356, Min: -52.3810, Avg: -36.2120
Ep: 0-198, Best score: -28.3276, Min: -55.1282, Avg: -40.4732
Ep: 0-197, Best score: -19.4631, Min: -41.5584, Avg: -33.6251
Ep: 0-196, Best score: -6.0150, Min: -44.8819, Avg: -26.9572
Ep: 0-195, Best score: -35.7143, Min: -41.7808, Avg: -38.0516
Ep: 0-194, Best score: -0.7937, Min: -65.6250, Avg: -37.8820
Ep: 0-193, Best score: -43.6275, Min: -58.7629, Avg: -50.8539
Ep: 0-192, Best score: -17.1975, Min: -36.5559, Avg: -29.0384
Ep: 0-191, Best score: -30.9211, Min: -66.3609, Avg: -48.8604
Ep: 0-190, Best score: -17.9104, Min: -50.3311, Avg: -37.4422
Ep: 0-189, Best score: -25.3731, Min: -45.1613, Avg: -37.6334
Ep: 0-188, Best score: -18.3673, Min: -48.8818, Avg: -32.6989
Ep: 0-187, Best score: 1.8868, Min: -42.5676, Avg: -20.4909
Ep: 0-186, Best score: -0.3831, Min: -52.8986, Avg: -25.4416
Ep: 0-185, Best score: -14.2857, Min: -46.3722, Avg: -27.0658
Ep: 0-184, Best score: -2.6217, Min: -42.0732, Avg: -22.7988
Ep: 0-183, Best score: -18.3673, Min: -28.3388, Avg: -23.2331
Ep: 0-182, Best score: 0.6711, Min: -66.0494, Avg: -25.9803
Ep: 0-181, Best score: -7.5342, Min: -48.9796, Avg: -23.3560
Ep: 0-180, Best score: -10.7143, Min: -51.8519, Avg: -26.8785
Ep: 0-179, Best score: 13.6364, Min: -35.8974, Avg: -12.6687
Ep: 0-178, Best score: -10.5431, Min: -30.1587, Avg: -18.7451
Ep: 0-177, Best score: -30.0699, Min: -60.1449, Avg: -38.6465
Ep: 0-176, Best score: -32.6923, Min: -68.7500, Avg: -50.5705
Ep: 0-175, Best score: -18.5668, Min: -54.6828, Avg: -33.4073
Ep: 0-174, Best score: -36.0902, Min: -54.2254, Avg: -45.1632
Ep: 0-173, Best score: -20.7547, Min: -43.1438, Avg: -30.0875
Ep: 0-172, Best score: 5.0955, Min: -66.8874, Avg: -29.8077
Ep: 0-171, Best score: -36.4548, Min: -41.8605, Avg: -39.0740
Ep: 0-170, Best score: -27.2031, Min: -35.5932, Avg: -32.2193
Ep: 0-169, Best score: -26.7399, Min: -62.8378, Avg: -41.6002
Ep: 0-168, Best score: -25.6506, Min: -61.0895, Avg: -37.3764
Ep: 0-167, Best score: 0.3236, Min: -62.2093, Avg: -30.8891
Ep: 0-166, Best score: 5.2632, Min: -55.3265, Avg: -26.8237
Ep: 0-165, Best score: 45.9075, Min: -38.9313, Avg: 9.1874
Ep: 0-164, Best score: -48.0969, Min: -60.5634, Avg: -53.0403
Ep: 0-163, Best score: -23.9544, Min: -48.2759, Avg: -35.8466
Ep: 0-162, Best score: 6.1093, Min: -57.8947, Avg: -38.9339
Ep: 0-161, Best score: -7.8014, Min: -57.0552, Avg: -35.2866
Ep: 0-160, Best score: -25.0000, Min: -48.5531, Avg: -32.5714
Ep: 0-159, Best score: -24.1379, Min: -45.2055, Avg: -31.8204
Ep: 0-158, Best score: 5.0725, Min: -50.1661, Avg: -32.0138
