Iteration 0
Ep: 0-115, Best score: 642.8413, Min: 289.9231, Avg: 441.1308
Ep: 0-114, Best score: 591.5788, Min: 319.3291, Avg: 435.7339
Ep: 0-113, Best score: 562.6538, Min: 293.7201, Avg: 412.9745
Ep: 0-112, Best score: 632.6269, Min: 206.1289, Avg: 417.6115
Ep: 0-111, Best score: 705.7860, Min: 212.0109, Avg: 470.3681
Ep: 0-110, Best score: 638.8006, Min: 236.2389, Avg: 438.7498
Ep: 0-109, Best score: 590.0027, Min: 271.1251, Avg: 422.2738
Ep: 0-108, Best score: 562.9391, Min: 248.8778, Avg: 410.4724
Ep: 0-107, Best score: 569.2519, Min: 249.4912, Avg: 414.9164
Ep: 0-106, Best score: 716.2785, Min: 177.5318, Avg: 413.4972
Ep: 0-105, Best score: 627.7044, Min: 336.2390, Avg: 495.5366
Ep: 0-104, Best score: 580.3270, Min: 267.1687, Avg: 437.9996
Ep: 0-103, Best score: 555.9851, Min: 364.0962, Avg: 467.9469
Ep: 0-102, Best score: 615.9233, Min: 251.1682, Avg: 423.4914
Ep: 0-101, Best score: 643.6403, Min: 106.1654, Avg: 409.7764
Ep: 0-100, Best score: 638.1992, Min: 218.0635, Avg: 398.6135
Ep: 0-99, Best score: 657.8275, Min: 191.8151, Avg: 452.8151
Ep: 0-98, Best score: 511.9799, Min: 198.7217, Avg: 374.1583
Ep: 0-97, Best score: 538.9868, Min: 267.3364, Avg: 401.0034
Ep: 0-96, Best score: 536.3172, Min: 308.2106, Avg: 414.3581
Ep: 0-95, Best score: 640.8736, Min: 248.9708, Avg: 442.8768
Ep: 0-94, Best score: 588.8611, Min: 331.4565, Avg: 454.3444
Ep: 0-93, Best score: 658.2277, Min: 284.6137, Avg: 453.5375
Ep: 0-92, Best score: 633.6245, Min: 279.4314, Avg: 430.8056
Ep: 0-91, Best score: 683.0053, Min: 283.2699, Avg: 485.9958
Ep: 0-90, Best score: 722.7023, Min: 250.7586, Avg: 483.3770
Ep: 0-89, Best score: 628.3835, Min: 204.7349, Avg: 472.6423
Ep: 0-88, Best score: 697.5992, Min: 335.6392, Avg: 468.8239
Ep: 0-87, Best score: 685.0618, Min: 257.7575, Avg: 438.0918
Ep: 0-86, Best score: 653.2570, Min: 303.5794, Avg: 531.0794
Ep: 0-85, Best score: 646.4174, Min: 261.2020, Avg: 445.2505
Ep: 0-84, Best score: 546.8541, Min: 362.2875, Avg: 457.7215
Ep: 0-83, Best score: 619.9197, Min: 349.9818, Avg: 493.1815
Ep: 0-82, Best score: 764.4803, Min: 390.7937, Avg: 542.0631
Ep: 0-81, Best score: 684.7106, Min: 381.9817, Avg: 523.3614
Ep: 0-80, Best score: 598.0079, Min: 361.4411, Avg: 490.7236
Ep: 0-79, Best score: 675.3991, Min: 382.2709, Avg: 491.8435
Ep: 0-78, Best score: 643.9531, Min: 340.9701, Avg: 504.8021
Ep: 0-77, Best score: 614.7591, Min: 371.5837, Avg: 481.2567
Ep: 0-76, Best score: 613.5483, Min: 345.9929, Avg: 523.7396
Ep: 0-75, Best score: 694.5403, Min: 261.5932, Avg: 492.6220
Ep: 0-74, Best score: 688.3061, Min: 375.7661, Avg: 509.0420
Ep: 0-73, Best score: 606.5727, Min: 300.6388, Avg: 460.5191
Ep: 0-72, Best score: 656.0999, Min: 372.6514, Avg: 510.5349
Ep: 0-71, Best score: 648.3204, Min: 272.8366, Avg: 499.2862
Ep: 0-70, Best score: 664.2214, Min: 410.7971, Avg: 537.9112
Ep: 0-69, Best score: 625.5326, Min: 371.3724, Avg: 496.9056
Ep: 0-68, Best score: 638.8817, Min: 397.4267, Avg: 494.3927
Ep: 0-67, Best score: 682.5720, Min: 288.6894, Avg: 530.0417
Ep: 0-66, Best score: 735.3705, Min: 420.0266, Avg: 552.8669
Ep: 0-65, Best score: 593.2055, Min: 227.1819, Avg: 472.5971
Ep: 0-64, Best score: 611.2893, Min: 349.9981, Avg: 452.9242
Ep: 0-63, Best score: 771.4587, Min: 417.5020, Avg: 541.6337
Ep: 0-62, Best score: 731.5098, Min: 387.2994, Avg: 532.5609
Ep: 0-61, Best score: 690.5010, Min: 307.2296, Avg: 542.4549
Ep: 0-60, Best score: 674.6447, Min: 256.6711, Avg: 497.8030
Ep: 0-59, Best score: 597.4801, Min: 336.7528, Avg: 481.5673
Ep: 0-58, Best score: 716.9706, Min: 283.1832, Avg: 477.4523
Ep: 0-57, Best score: 696.1538, Min: 343.0381, Avg: 496.4125
Ep: 0-56, Best score: 591.6283, Min: 286.5864, Avg: 495.0585
Ep: 0-55, Best score: 588.5203, Min: 290.2713, Avg: 467.4018
Ep: 0-54, Best score: 647.3208, Min: 406.5315, Avg: 509.1376
Ep: 0-53, Best score: 627.7955, Min: 381.6276, Avg: 507.4699
Ep: 0-52, Best score: 733.3023, Min: 331.9055, Avg: 463.7326
Ep: 0-51, Best score: 605.5529, Min: 383.7483, Avg: 492.1719
Ep: 0-50, Best score: 573.4629, Min: 333.0476, Avg: 469.8681
Ep: 0-49, Best score: 648.7523, Min: 238.8923, Avg: 502.1923
Ep: 0-48, Best score: 623.3649, Min: 319.0919, Avg: 475.0698
Ep: 0-47, Best score: 648.8373, Min: 378.5946, Avg: 503.8384
Ep: 0-46, Best score: 697.1149, Min: 348.6641, Avg: 528.5153
Ep: 0-45, Best score: 640.0095, Min: 324.2347, Avg: 500.0114
Ep: 0-44, Best score: 689.3190, Min: 342.4868, Avg: 507.9111
Ep: 0-43, Best score: 674.1536, Min: 344.5174, Avg: 475.4963
Ep: 0-42, Best score: 665.5136, Min: 342.7534, Avg: 499.9294
Ep: 0-41, Best score: 633.1368, Min: 287.9049, Avg: 460.5443
Ep: 0-40, Best score: 667.0337, Min: 297.6995, Avg: 493.7927
Ep: 0-39, Best score: 761.0043, Min: 366.8402, Avg: 526.7683
Ep: 0-38, Best score: 666.5956, Min: 327.7068, Avg: 503.0431
Ep: 0-37, Best score: 649.7598, Min: 335.3525, Avg: 492.5371
Ep: 0-36, Best score: 683.5990, Min: 220.8851, Avg: 459.4396
Ep: 0-35, Best score: 662.4782, Min: 294.0480, Avg: 477.5165
Ep: 0-34, Best score: 633.4839, Min: 209.4384, Avg: 507.8449
Ep: 0-33, Best score: 667.1032, Min: 236.0564, Avg: 475.6064
