Ep: 0-199, Best score: -15.5405, Min: -37.2937, Avg: -28.1166
Ep: 0-198, Best score: -18.1495, Min: -45.7364, Avg: -29.3563
Ep: 0-197, Best score: -16.3880, Min: -55.7823, Avg: -28.5351
Ep: 0-196, Best score: -17.7632, Min: -32.4759, Avg: -27.5132
Ep: 0-195, Best score: -2.2556, Min: -62.7119, Avg: -33.1514
Ep: 0-194, Best score: -3.8462, Min: -47.1698, Avg: -27.4896
Ep: 0-193, Best score: -3.7037, Min: -39.3939, Avg: -21.9302
Ep: 0-192, Best score: -6.2500, Min: -46.1279, Avg: -26.8729
Ep: 0-191, Best score: -5.5118, Min: -33.0855, Avg: -22.1656
Ep: 0-190, Best score: -4.3825, Min: -41.3681, Avg: -24.0242
Ep: 0-189, Best score: -17.5627, Min: -50.0000, Avg: -37.4091
Ep: 0-188, Best score: -9.4488, Min: -48.7179, Avg: -32.7123
Ep: 0-187, Best score: -13.6213, Min: -45.3925, Avg: -32.9443
Ep: 0-186, Best score: -20.2658, Min: -50.5814, Avg: -30.5375
Ep: 0-185, Best score: -12.0521, Min: -43.1818, Avg: -27.4398
Ep: 0-184, Best score: 6.1644, Min: -65.1899, Avg: -30.6708
Ep: 0-183, Best score: -4.7619, Min: -82.4561, Avg: -54.6691
Ep: 0-182, Best score: 9.9656, Min: -68.1979, Avg: -22.2985
Ep: 0-181, Best score: -41.1765, Min: -77.1242, Avg: -58.8673
Ep: 0-180, Best score: 20.4380, Min: -64.6643, Avg: -22.1899
Ep: 0-179, Best score: -6.2500, Min: -59.4096, Avg: -24.2250
Ep: 0-178, Best score: -42.2383, Min: -64.5390, Avg: -55.4258
Ep: 0-177, Best score: -27.2727, Min: -63.5036, Avg: -47.0137
Ep: 0-176, Best score: -9.0909, Min: -67.7419, Avg: -34.7211
Ep: 0-175, Best score: -29.8246, Min: -71.7314, Avg: -53.4830
Ep: 0-174, Best score: -4.4369, Min: -71.5302, Avg: -35.3539
Ep: 0-173, Best score: -25.0000, Min: -65.1899, Avg: -47.7703
Ep: 0-172, Best score: -39.6226, Min: -52.7273, Avg: -44.2492
Ep: 0-171, Best score: -19.7531, Min: -79.2388, Avg: -53.1326
Ep: 0-170, Best score: -19.1176, Min: -79.7297, Avg: -62.4486
Ep: 0-169, Best score: -46.0227, Min: -74.1379, Avg: -61.3906
Ep: 0-168, Best score: -24.5902, Min: -74.8428, Avg: -60.5581
