Ep: 0-415, Best score: -1.5873, Min: -79.3103, Avg: -43.4476
Ep: 0-414, Best score: -2.9851, Min: -53.8462, Avg: -26.3817
Ep: 0-413, Best score: -17.5258, Min: -42.2383, Avg: -25.9884
Ep: 0-412, Best score: -14.7541, Min: -41.8182, Avg: -32.3001
Ep: 0-411, Best score: 3.6585, Min: -52.5547, Avg: -16.2682
Ep: 0-410, Best score: -0.3559, Min: -80.1325, Avg: -32.5561
Ep: 0-409, Best score: 9.4340, Min: -73.2441, Avg: -26.4604
Ep: 0-408, Best score: -1.8868, Min: -77.4920, Avg: -26.2550
Ep: 0-407, Best score: 8.8710, Min: -75.0890, Avg: -27.0351
Ep: 0-406, Best score: -2.0979, Min: -38.3260, Avg: -20.8728
Ep: 0-405, Best score: -6.8966, Min: -54.3974, Avg: -26.8544
Ep: 0-404, Best score: -13.1944, Min: -67.5325, Avg: -27.8755
Ep: 0-403, Best score: 8.3032, Min: -48.1481, Avg: -16.8000
Ep: 0-402, Best score: -15.0327, Min: -51.2195, Avg: -35.1823
Ep: 0-401, Best score: 2.8369, Min: -36.7589, Avg: -14.8825
Ep: 0-400, Best score: 8.1081, Min: -38.7755, Avg: -17.4965
Ep: 0-399, Best score: -0.0000, Min: -38.7755, Avg: -23.1272
Ep: 0-398, Best score: 6.5574, Min: -47.3684, Avg: -24.9165
Ep: 0-397, Best score: -1.1407, Min: -45.0549, Avg: -16.0422
Ep: 0-396, Best score: -6.5744, Min: -45.6522, Avg: -24.4917
Ep: 0-395, Best score: 5.6604, Min: -10.3943, Avg: -4.3569
Ep: 0-394, Best score: -3.9146, Min: -49.6644, Avg: -19.6044
Ep: 0-393, Best score: -10.1124, Min: -48.1707, Avg: -29.5321
Ep: 0-392, Best score: -9.7222, Min: -42.4920, Avg: -25.8651
Ep: 0-391, Best score: -5.1095, Min: -41.1765, Avg: -22.7005
Ep: 0-390, Best score: 8.6142, Min: -50.8772, Avg: -26.6027
Ep: 0-389, Best score: 2.1898, Min: -45.5782, Avg: -17.0139
Ep: 0-388, Best score: 9.0909, Min: -23.3716, Avg: -3.8021
Ep: 0-387, Best score: -3.1142, Min: -40.1408, Avg: -30.3951
Ep: 0-386, Best score: 4.8951, Min: -52.8620, Avg: -17.1769
Ep: 0-385, Best score: 2.7397, Min: -7.9755, Avg: -1.6383
Ep: 0-384, Best score: 11.1111, Min: -74.2647, Avg: -35.8833
Ep: 0-383, Best score: 6.8966, Min: -43.2177, Avg: -16.1999
Ep: 0-382, Best score: 5.6106, Min: -56.6667, Avg: -17.6134
Ep: 0-381, Best score: 8.8710, Min: -33.3333, Avg: -12.0322
Ep: 0-380, Best score: 14.6953, Min: -8.5174, Avg: -1.0096
Ep: 0-379, Best score: -4.4118, Min: -37.9562, Avg: -17.4541
Ep: 0-378, Best score: 11.5242, Min: -47.1947, Avg: -20.4143
Ep: 0-377, Best score: 5.4422, Min: -38.1818, Avg: -6.4749
Ep: 0-376, Best score: 6.3830, Min: -42.4460, Avg: -23.5795
Ep: 0-375, Best score: 11.9403, Min: -15.8576, Avg: -4.6481
Ep: 0-374, Best score: 11.5108, Min: -46.9697, Avg: -20.6561
Ep: 0-373, Best score: 12.2807, Min: -8.1967, Avg: 3.9794
Ep: 0-372, Best score: 16.4384, Min: -47.3684, Avg: -5.7521
Ep: 0-371, Best score: 2.0408, Min: -21.3115, Avg: -4.6273
Ep: 0-370, Best score: 17.0213, Min: -51.3678, Avg: -17.0819
Ep: 0-369, Best score: 14.2857, Min: -42.8571, Avg: -3.0696
Ep: 0-368, Best score: 10.7143, Min: -28.3276, Avg: -6.8554
Ep: 0-367, Best score: -0.3021, Min: -15.3094, Avg: -9.3010
Ep: 0-366, Best score: 8.1081, Min: -40.4762, Avg: -15.8465
Ep: 0-365, Best score: 5.7692, Min: -29.5775, Avg: -8.7541
Ep: 0-364, Best score: 6.5831, Min: -6.4516, Avg: 2.6076
Ep: 0-363, Best score: 16.3636, Min: -46.9965, Avg: -17.5324
Ep: 0-362, Best score: 17.0213, Min: -19.7324, Avg: -1.4044
Ep: 0-361, Best score: 9.5890, Min: -43.4629, Avg: -16.2627
Ep: 0-360, Best score: 8.5526, Min: -45.6869, Avg: -21.7443
Ep: 0-359, Best score: 9.4891, Min: -37.5000, Avg: -8.0792
Ep: 0-358, Best score: 7.6389, Min: -44.0299, Avg: -12.4304
Ep: 0-357, Best score: -4.9180, Min: -42.9530, Avg: -23.5288
Ep: 0-356, Best score: 5.4422, Min: -48.6301, Avg: -16.0681
Ep: 0-355, Best score: 21.6730, Min: -52.3810, Avg: -21.0915
Ep: 0-354, Best score: 24.5421, Min: -36.4548, Avg: -11.9709
Ep: 0-353, Best score: 19.5219, Min: -33.9623, Avg: -6.7450
Ep: 0-352, Best score: 4.6931, Min: -14.3836, Avg: -2.6693
Ep: 0-351, Best score: -19.0031, Min: -42.0732, Avg: -31.5618
Ep: 0-350, Best score: 17.4089, Min: -48.8818, Avg: -18.9032
Ep: 0-349, Best score: -18.2390, Min: -45.0549, Avg: -37.4201
Ep: 0-348, Best score: -23.0769, Min: -47.1947, Avg: -38.7655
Ep: 0-347, Best score: 6.8702, Min: -32.2034, Avg: -15.3045
Ep: 0-346, Best score: -19.1919, Min: -78.1818, Avg: -38.8266
Ep: 0-345, Best score: -13.7380, Min: -48.5294, Avg: -36.6537
Ep: 0-344, Best score: -3.7037, Min: -25.4237, Avg: -14.1415
Ep: 0-343, Best score: -15.0327, Min: -48.9796, Avg: -31.6419
Ep: 0-342, Best score: 10.3448, Min: -60.6557, Avg: -20.2777
Ep: 0-341, Best score: -12.7273, Min: -81.3665, Avg: -43.7027
Ep: 0-340, Best score: -8.4249, Min: -33.3333, Avg: -24.3505
Ep: 0-339, Best score: -20.4545, Min: -56.3953, Avg: -36.6062
Ep: 0-338, Best score: 8.6957, Min: -22.5092, Avg: -10.1454
Ep: 0-337, Best score: 8.6142, Min: -39.3939, Avg: -20.0395
Ep: 0-336, Best score: -32.2581, Min: -46.1279, Avg: -38.6271
Ep: 0-335, Best score: -27.5362, Min: -46.6192, Avg: -38.6066
Ep: 0-334, Best score: -32.4324, Min: -50.6579, Avg: -40.8603
Ep: 0-333, Best score: -36.3958, Min: -53.7367, Avg: -43.9427
Ep: 0-332, Best score: -29.2605, Min: -49.4949, Avg: -38.2203
Ep: 0-331, Best score: -27.2727, Min: -60.9375, Avg: -44.1707
Ep: 0-330, Best score: -12.8631, Min: -55.1724, Avg: -38.5375
Ep: 0-329, Best score: -16.6667, Min: -51.8519, Avg: -34.0331
Ep: 0-328, Best score: 6.2271, Min: -47.7352, Avg: -27.4812
Ep: 0-327, Best score: -30.5994, Min: -77.3585, Avg: -47.5010
Ep: 0-326, Best score: -31.1594, Min: -39.8734, Avg: -35.3744
Ep: 0-325, Best score: -2.0270, Min: -58.9552, Avg: -35.2200
Ep: 0-324, Best score: 39.1941, Min: -58.0153, Avg: -13.7325
Ep: 0-323, Best score: 6.1224, Min: -69.2308, Avg: -38.3065
Ep: 0-322, Best score: -1.1407, Min: -40.9938, Avg: -20.1835
Ep: 0-321, Best score: -18.4397, Min: -56.3758, Avg: -39.0973
Ep: 0-320, Best score: -25.0936, Min: -50.1779, Avg: -37.9039
Ep: 0-319, Best score: -23.6364, Min: -70.9091, Avg: -41.2207
Ep: 0-318, Best score: -26.7399, Min: -69.9248, Avg: -41.1157
Ep: 0-317, Best score: 11.9403, Min: -37.5000, Avg: -18.9773
Ep: 0-316, Best score: 7.6389, Min: -76.5625, Avg: -32.7130
Ep: 0-315, Best score: -28.3747, Min: -36.2416, Avg: -30.9107
Ep: 0-314, Best score: -34.0278, Min: -48.6301, Avg: -39.6502
Ep: 0-313, Best score: -31.2715, Min: -52.0295, Avg: -41.0820
Ep: 0-312, Best score: -10.0719, Min: -34.4828, Avg: -24.6757
Ep: 0-311, Best score: -25.5319, Min: -42.4242, Avg: -33.2701
Ep: 0-310, Best score: -25.0000, Min: -45.3925, Avg: -36.9129
Ep: 0-309, Best score: -35.3741, Min: -51.5571, Avg: -46.0263
Ep: 0-308, Best score: -41.7476, Min: -62.3824, Avg: -51.2333
Ep: 0-307, Best score: -31.9728, Min: -38.1107, Avg: -34.4752
Ep: 0-306, Best score: -20.5298, Min: -37.9085, Avg: -27.8046
Ep: 0-305, Best score: 8.7719, Min: -52.5223, Avg: -27.5960
Ep: 0-304, Best score: -33.7979, Min: -80.7692, Avg: -58.0023
Ep: 0-303, Best score: -19.6141, Min: -46.9697, Avg: -34.7704
Ep: 0-302, Best score: -30.9211, Min: -50.1916, Avg: -39.2922
Ep: 0-301, Best score: -21.0526, Min: -54.0984, Avg: -35.3875
Ep: 0-300, Best score: -39.4904, Min: -77.6119, Avg: -58.3846
Ep: 0-299, Best score: -23.0769, Min: -36.6197, Avg: -29.5602
