Ep: 0-61, Best score: -16.8080, Min: -47.9083, Avg: -35.7895
Ep: 0-60, Best score: -26.2874, Min: -46.1391, Avg: -36.6878
Ep: 0-59, Best score: -18.8134, Min: -47.9128, Avg: -32.6809
Ep: 0-58, Best score: -23.4050, Min: -38.8173, Avg: -31.1205
Ep: 0-57, Best score: -21.8038, Min: -40.1417, Avg: -29.2351
Ep: 0-56, Best score: -19.2316, Min: -55.4299, Avg: -31.2357
Ep: 0-55, Best score: -19.4108, Min: -44.0836, Avg: -30.4847
Ep: 0-54, Best score: -24.4148, Min: -45.6996, Avg: -31.6065
Ep: 0-53, Best score: -20.5241, Min: -37.6477, Avg: -30.1482
Ep: 0-52, Best score: -12.6010, Min: -39.8017, Avg: -25.5728
Ep: 0-51, Best score: -19.6103, Min: -60.3960, Avg: -29.5203
Ep: 0-50, Best score: -17.3202, Min: -41.9984, Avg: -26.5101
Ep: 0-49, Best score: -17.5157, Min: -45.2759, Avg: -32.8770
Ep: 0-48, Best score: -18.5127, Min: -57.2550, Avg: -33.5513
Ep: 0-47, Best score: -17.3911, Min: -40.8685, Avg: -30.1249
Ep: 0-46, Best score: -19.0921, Min: -54.4261, Avg: -35.1291
Ep: 0-45, Best score: -21.5493, Min: -54.8876, Avg: -34.9249
Ep: 0-45, Best score: -21.5493, Min: -54.8876, Avg: -34.9249
Ep: 0-44, Best score: -22.5329, Min: -50.3794, Avg: -38.5787
Ep: 0-43, Best score: -22.8796, Min: -55.8692, Avg: -37.2125
Ep: 0-42, Best score: -26.0401, Min: -47.3123, Avg: -37.1125
Ep: 0-41, Best score: -15.5100, Min: -52.9331, Avg: -34.2533
Ep: 0-40, Best score: -21.4616, Min: -54.8223, Avg: -35.7930
Ep: 0-39, Best score: -20.3999, Min: -50.3768, Avg: -33.3936
Ep: 0-38, Best score: -19.2577, Min: -49.4615, Avg: -33.7190
Ep: 0-37, Best score: -21.4606, Min: -54.4055, Avg: -32.9482
Ep: 0-36, Best score: -20.8618, Min: -56.0063, Avg: -35.2539
Ep: 0-35, Best score: -19.6751, Min: -57.2967, Avg: -37.4528
Ep: 0-34, Best score: -28.6899, Min: -48.0303, Avg: -35.1075
Ep: 0-33, Best score: -24.0969, Min: -51.6132, Avg: -37.0991
Ep: 0-32, Best score: -10.0041, Min: -59.3974, Avg: -33.8067
Ep: 0-31, Best score: -21.4796, Min: -54.3283, Avg: -31.4722
Ep: 0-30, Best score: -20.4530, Min: -52.9456, Avg: -35.6253
Ep: 0-29, Best score: -16.6774, Min: -48.3128, Avg: -29.0808
Ep: 0-28, Best score: -19.2692, Min: -40.0942, Avg: -30.0261
Ep: 0-27, Best score: -17.1534, Min: -49.6534, Avg: -34.8857
Ep: 0-26, Best score: -18.8319, Min: -49.9861, Avg: -32.6730
Ep: 0-25, Best score: -18.9608, Min: -46.9421, Avg: -34.3383
Ep: 0-24, Best score: -18.4263, Min: -48.5025, Avg: -30.5258
Ep: 0-23, Best score: -19.1182, Min: -51.4586, Avg: -34.5057
Ep: 0-22, Best score: -19.5356, Min: -54.6598, Avg: -33.1143
Ep: 0-21, Best score: -16.6741, Min: -42.0324, Avg: -32.3343
Ep: 0-20, Best score: -21.6004, Min: -50.5765, Avg: -32.2025
Ep: 0-19, Best score: -18.4300, Min: -49.4228, Avg: -32.7865
Ep: 0-43, Best score: -22.8796, Min: -55.8692, Avg: -37.2125
Ep: 0-42, Best score: -26.0401, Min: -47.3123, Avg: -37.1125
Ep: 0-41, Best score: -15.5100, Min: -52.9331, Avg: -34.2533
Ep: 0-40, Best score: -21.4616, Min: -54.8223, Avg: -35.7930
Ep: 0-20, Best score: -21.6004, Min: -50.5765, Avg: -32.2025
Ep: 0-19, Best score: -18.4300, Min: -49.4228, Avg: -32.7865
Ep: 0-43, Best score: -22.8796, Min: -55.8692, Avg: -37.2125
Ep: 0-42, Best score: -26.0401, Min: -47.3123, Avg: -37.1125
Ep: 0-41, Best score: -15.5100, Min: -52.9331, Avg: -34.2533
Ep: 0-40, Best score: -21.4616, Min: -54.8223, Avg: -35.7930
Ep: 0-39, Best score: -20.3999, Min: -50.3768, Avg: -33.3936
Ep: 0-38, Best score: -19.2577, Min: -49.4615, Avg: -33.7190
Ep: 0-37, Best score: -21.4606, Min: -54.4055, Avg: -32.9482
Ep: 0-36, Best score: -20.8618, Min: -56.0063, Avg: -35.2539
Ep: 0-39, Best score: -20.3999, Min: -50.3768, Avg: -33.3936
Ep: 0-38, Best score: -19.2577, Min: -49.4615, Avg: -33.7190
Ep: 0-37, Best score: -21.4606, Min: -54.4055, Avg: -32.9482
Ep: 0-36, Best score: -20.8618, Min: -56.0063, Avg: -35.2539
Ep: 0-35, Best score: -19.6751, Min: -57.2967, Avg: -37.4528
Ep: 0-34, Best score: -28.6899, Min: -48.0303, Avg: -35.1075
Ep: 0-33, Best score: -24.0969, Min: -51.6132, Avg: -37.0991
Ep: 0-32, Best score: -10.0041, Min: -59.3974, Avg: -33.8067
Ep: 0-31, Best score: -21.4796, Min: -54.3283, Avg: -31.4722
Ep: 0-60, Best score: -26.2874, Min: -46.1391, Avg: -36.6878
Ep: 0-59, Best score: -18.8134, Min: -47.9128, Avg: -32.6809
Ep: 0-58, Best score: -23.4050, Min: -38.8173, Avg: -31.1205
Ep: 0-57, Best score: -21.8038, Min: -40.1417, Avg: -29.2351
Ep: 0-56, Best score: -19.2316, Min: -55.4299, Avg: -31.2357
Ep: 0-55, Best score: -19.4108, Min: -44.0836, Avg: -30.4847
Ep: 0-23, Best score: -19.1182, Min: -51.4586, Avg: -34.5057
Ep: 0-22, Best score: -19.5356, Min: -54.6598, Avg: -33.1143
Ep: 0-21, Best score: -16.6741, Min: -42.0324, Avg: -32.3343
Ep: 0-20, Best score: -21.6004, Min: -50.5765, Avg: -32.2025
Ep: 0-19, Best score: -18.4300, Min: -49.4228, Avg: -32.7865
Ep: 0-43, Best score: -22.8796, Min: -55.8692, Avg: -37.2125
Ep: 0-42, Best score: -26.0401, Min: -47.3123, Avg: -37.1125
Ep: 0-41, Best score: -15.5100, Min: -52.9331, Avg: -34.2533
Ep: 0-40, Best score: -21.4616, Min: -54.8223, Avg: -35.7930
Ep: 0-53, Best score: -20.5241, Min: -37.6477, Avg: -30.1482
Ep: 0-52, Best score: -12.6010, Min: -39.8017, Avg: -25.5728
Ep: 0-51, Best score: -19.6103, Min: -60.3960, Avg: -29.5203
Ep: 0-50, Best score: -17.3202, Min: -41.9984, Avg: -26.5101
Ep: 0-20, Best score: -21.6004, Min: -50.5765, Avg: -32.2025
Ep: 0-19, Best score: -18.4300, Min: -49.4228, Avg: -32.7865
Ep: 0-43, Best score: -22.8796, Min: -55.8692, Avg: -37.2125
Ep: 0-42, Best score: -26.0401, Min: -47.3123, Avg: -37.1125
Ep: 0-41, Best score: -15.5100, Min: -52.9331, Avg: -34.2533
Ep: 0-40, Best score: -21.4616, Min: -54.8223, Avg: -35.7930
Ep: 0-53, Best score: -20.5241, Min: -37.6477, Avg: -30.1482
Ep: 0-52, Best score: -12.6010, Min: -39.8017, Avg: -25.5728
Ep: 0-51, Best score: -19.6103, Min: -60.3960, Avg: -29.5203
Ep: 0-50, Best score: -17.3202, Min: -41.9984, Avg: -26.5101
Ep: 0-49, Best score: -17.5157, Min: -45.2759, Avg: -32.8770
Ep: 0-49, Best score: -17.5157, Min: -45.2759, Avg: -32.8770
Ep: 0-48, Best score: -18.5127, Min: -57.2550, Avg: -33.5513
Ep: 0-47, Best score: -17.3911, Min: -40.8685, Avg: -30.1249
Ep: 0-46, Best score: -19.0921, Min: -54.4261, Avg: -35.1291
Ep: 0-39, Best score: -20.3999, Min: -50.3768, Avg: -33.3936
Ep: 0-38, Best score: -19.2577, Min: -49.4615, Avg: -33.7190
Ep: 0-37, Best score: -21.4606, Min: -54.4055, Avg: -32.9482
Ep: 0-36, Best score: -20.8618, Min: -56.0063, Avg: -35.2539
Ep: 0-35, Best score: -19.6751, Min: -57.2967, Avg: -37.4528
Ep: 0-34, Best score: -28.6899, Min: -48.0303, Avg: -35.1075
Ep: 0-33, Best score: -24.0969, Min: -51.6132, Avg: -37.0991
Ep: 0-32, Best score: -10.0041, Min: -59.3974, Avg: -33.8067
Ep: 0-56, Best score: -19.2316, Min: -55.4299, Avg: -31.2357
Ep: 0-55, Best score: -19.4108, Min: -44.0836, Avg: -30.4847
Ep: 0-54, Best score: -24.4148, Min: -45.6996, Avg: -31.6065
Ep: 0-53, Best score: -20.5241, Min: -37.6477, Avg: -30.1482
Ep: 0-52, Best score: -12.6010, Min: -39.8017, Avg: -25.5728
Ep: 0-51, Best score: -19.6103, Min: -60.3960, Avg: -29.5203
Ep: 0-50, Best score: -17.3202, Min: -41.9984, Avg: -26.5101
Ep: 0-49, Best score: -17.5157, Min: -45.2759, Avg: -32.8770
Ep: 0-30, Best score: -20.4530, Min: -52.9456, Avg: -35.6253
Ep: 0-29, Best score: -16.6774, Min: -48.3128, Avg: -29.0808
Ep: 0-28, Best score: -19.2692, Min: -40.0942, Avg: -30.0261
Ep: 0-27, Best score: -17.1534, Min: -49.6534, Avg: -34.8857
Ep: 0-26, Best score: -18.8319, Min: -49.9861, Avg: -32.6730
Ep: 0-25, Best score: -18.9608, Min: -46.9421, Avg: -34.3383
Ep: 0-24, Best score: -18.4263, Min: -48.5025, Avg: -30.5258
Ep: 0-23, Best score: -19.1182, Min: -51.4586, Avg: -34.5057
Ep: 0-22, Best score: -19.5356, Min: -54.6598, Avg: -33.1143
Ep: 0-21, Best score: -16.6741, Min: -42.0324, Avg: -32.3343
Ep: 0-20, Best score: -21.6004, Min: -50.5765, Avg: -32.2025
Ep: 0-32, Best score: -10.0041, Min: -59.3974, Avg: -33.8067
Ep: 0-56, Best score: -19.2316, Min: -55.4299, Avg: -31.2357
Ep: 0-55, Best score: -19.4108, Min: -44.0836, Avg: -30.4847
Ep: 0-54, Best score: -24.4148, Min: -45.6996, Avg: -31.6065
Ep: 0-53, Best score: -20.5241, Min: -37.6477, Avg: -30.1482
Ep: 0-52, Best score: -12.6010, Min: -39.8017, Avg: -25.5728
Ep: 0-51, Best score: -19.6103, Min: -60.3960, Avg: -29.5203
Ep: 0-50, Best score: -17.3202, Min: -41.9984, Avg: -26.5101
Ep: 0-46, Best score: -19.0921, Min: -54.4261, Avg: -35.1291
Ep: 0-45, Best score: -21.5493, Min: -54.8876, Avg: -34.9249
Ep: 0-44, Best score: -22.5329, Min: -50.3794, Avg: -38.5787
Ep: 0-43, Best score: -22.8796, Min: -55.8692, Avg: -37.2125
Ep: 0-42, Best score: -26.0401, Min: -47.3123, Avg: -37.1125
Ep: 0-41, Best score: -15.5100, Min: -52.9331, Avg: -34.2533
Ep: 0-40, Best score: -21.4616, Min: -54.8223, Avg: -35.7930
Ep: 0-39, Best score: -20.3999, Min: -50.3768, Avg: -33.3936
Ep: 0-38, Best score: -19.2577, Min: -49.4615, Avg: -33.7190
Ep: 0-37, Best score: -21.4606, Min: -54.4055, Avg: -32.9482
Ep: 0-36, Best score: -20.8618, Min: -56.0063, Avg: -35.2539
Ep: 0-35, Best score: -19.6751, Min: -57.2967, Avg: -37.4528
Ep: 0-34, Best score: -28.6899, Min: -48.0303, Avg: -35.1075
Ep: 0-33, Best score: -24.0969, Min: -51.6132, Avg: -37.0991
Ep: 0-32, Best score: -10.0041, Min: -59.3974, Avg: -33.8067
Ep: 0-31, Best score: -21.4796, Min: -54.3283, Avg: -31.4722
Ep: 0-30, Best score: -20.4530, Min: -52.9456, Avg: -35.6253
Ep: 0-29, Best score: -16.6774, Min: -48.3128, Avg: -29.0808
Ep: 0-28, Best score: -19.2692, Min: -40.0942, Avg: -30.0261
Ep: 0-27, Best score: -17.1534, Min: -49.6534, Avg: -34.8857
Ep: 0-26, Best score: -18.8319, Min: -49.9861, Avg: -32.6730
Ep: 0-25, Best score: -18.9608, Min: -46.9421, Avg: -34.3383
Ep: 0-24, Best score: -18.4263, Min: -48.5025, Avg: -30.5258
Ep: 0-23, Best score: -19.1182, Min: -51.4586, Avg: -34.5057
Ep: 0-22, Best score: -19.5356, Min: -54.6598, Avg: -33.1143
Ep: 0-21, Best score: -16.6741, Min: -42.0324, Avg: -32.3343
Ep: 0-20, Best score: -21.6004, Min: -50.5765, Avg: -32.2025
Ep: 0-19, Best score: -18.4300, Min: -49.4228, Avg: -32.7865
Ep: 0-43, Best score: -22.8796, Min: -55.8692, Avg: -37.2125
Ep: 0-42, Best score: -26.0401, Min: -47.3123, Avg: -37.1125
Ep: 0-41, Best score: -15.5100, Min: -52.9331, Avg: -34.2533
Ep: 0-40, Best score: -21.4616, Min: -54.8223, Avg: -35.7930
Ep: 0-20, Best score: -21.6004, Min: -50.5765, Avg: -32.2025
Ep: 0-19, Best score: -18.4300, Min: -49.4228, Avg: -32.7865
Ep: 0-43, Best score: -22.8796, Min: -55.8692, Avg: -37.2125
Ep: 0-42, Best score: -26.0401, Min: -47.3123, Avg: -37.1125
Ep: 0-41, Best score: -15.5100, Min: -52.9331, Avg: -34.2533
Ep: 0-40, Best score: -21.4616, Min: -54.8223, Avg: -35.7930
Ep: 0-39, Best score: -20.3999, Min: -50.3768, Avg: -33.3936
Ep: 0-38, Best score: -19.2577, Min: -49.4615, Avg: -33.7190
Ep: 0-37, Best score: -21.4606, Min: -54.4055, Avg: -32.9482
Ep: 0-36, Best score: -20.8618, Min: -56.0063, Avg: -35.2539
Ep: 0-39, Best score: -20.3999, Min: -50.3768, Avg: -33.3936
Ep: 0-38, Best score: -19.2577, Min: -49.4615, Avg: -33.7190
Ep: 0-37, Best score: -21.4606, Min: -54.4055, Avg: -32.9482
Ep: 0-36, Best score: -20.8618, Min: -56.0063, Avg: -35.2539
Ep: 0-35, Best score: -19.6751, Min: -57.2967, Avg: -37.4528
Ep: 0-34, Best score: -28.6899, Min: -48.0303, Avg: -35.1075
Ep: 0-33, Best score: -24.0969, Min: -51.6132, Avg: -37.0991
Ep: 0-32, Best score: -10.0041, Min: -59.3974, Avg: -33.8067
Ep: 0-31, Best score: -21.4796, Min: -54.3283, Avg: -31.4722
Ep: 0-60, Best score: -26.2874, Min: -46.1391, Avg: -36.6878
Ep: 0-49, Best score: -17.5157, Min: -45.2759, Avg: -32.8770
Ep: 0-30, Best score: -20.4530, Min: -52.9456, Avg: -35.6253
Ep: 0-29, Best score: -16.6774, Min: -48.3128, Avg: -29.0808
Ep: 0-28, Best score: -19.2692, Min: -40.0942, Avg: -30.0261
Ep: 0-27, Best score: -17.1534, Min: -49.6534, Avg: -34.8857
Ep: 0-59, Best score: -18.8134, Min: -47.9128, Avg: -32.6809
Ep: 0-58, Best score: -23.4050, Min: -38.8173, Avg: -31.1205
Ep: 0-57, Best score: -21.8038, Min: -40.1417, Avg: -29.2351
Ep: 0-56, Best score: -19.2316, Min: -55.4299, Avg: -31.2357
Ep: 0-55, Best score: -19.4108, Min: -44.0836, Avg: -30.4847
Ep: 0-54, Best score: -24.4148, Min: -45.6996, Avg: -31.6065
Ep: 0-53, Best score: -20.5241, Min: -37.6477, Avg: -30.1482
Ep: 0-52, Best score: -12.6010, Min: -39.8017, Avg: -25.5728
Ep: 0-51, Best score: -19.6103, Min: -60.3960, Avg: -29.5203
Ep: 0-50, Best score: -17.3202, Min: -41.9984, Avg: -26.5101
Ep: 0-28, Best score: -19.2692, Min: -40.0942, Avg: -30.0261
Ep: 0-27, Best score: -17.1534, Min: -49.6534, Avg: -34.8857
Ep: 0-26, Best score: -18.8319, Min: -49.9861, Avg: -32.6730
Ep: 0-25, Best score: -18.9608, Min: -46.9421, Avg: -34.3383
Ep: 0-24, Best score: -18.4263, Min: -48.5025, Avg: -30.5258
Ep: 0-23, Best score: -19.1182, Min: -51.4586, Avg: -34.5057
Ep: 0-22, Best score: -19.5356, Min: -54.6598, Avg: -33.1143
Ep: 0-21, Best score: -16.6741, Min: -42.0324, Avg: -32.3343
Ep: 0-20, Best score: -21.6004, Min: -50.5765, Avg: -32.2025
Ep: 0-32, Best score: -10.0041, Min: -59.3974, Avg: -33.8067
Ep: 0-56, Best score: -19.2316, Min: -55.4299, Avg: -31.2357
Ep: 0-55, Best score: -19.4108, Min: -44.0836, Avg: -30.4847
Ep: 0-54, Best score: -24.4148, Min: -45.6996, Avg: -31.6065
Ep: 0-53, Best score: -20.5241, Min: -37.6477, Avg: -30.1482
Ep: 0-52, Best score: -12.6010, Min: -39.8017, Avg: -25.5728
Ep: 0-51, Best score: -19.6103, Min: -60.3960, Avg: -29.5203
Ep: 0-50, Best score: -17.3202, Min: -41.9984, Avg: -26.5101
Ep: 0-46, Best score: -19.0921, Min: -54.4261, Avg: -35.1291
Ep: 0-45, Best score: -21.5493, Min: -54.8876, Avg: -34.9249
Ep: 0-44, Best score: -22.5329, Min: -50.3794, Avg: -38.5787
Ep: 0-43, Best score: -22.8796, Min: -55.8692, Avg: -37.2125
Ep: 0-42, Best score: -26.0401, Min: -47.3123, Avg: -37.1125
Ep: 0-41, Best score: -15.5100, Min: -52.9331, Avg: -34.2533
Ep: 0-40, Best score: -21.4616, Min: -54.8223, Avg: -35.7930
Ep: 0-39, Best score: -20.3999, Min: -50.3768, Avg: -33.3936
Ep: 0-38, Best score: -19.2577, Min: -49.4615, Avg: -33.7190
Ep: 0-37, Best score: -21.4606, Min: -54.4055, Avg: -32.9482
Ep: 0-36, Best score: -20.8618, Min: -56.0063, Avg: -35.2539
Ep: 0-35, Best score: -19.6751, Min: -57.2967, Avg: -37.4528
Ep: 0-34, Best score: -28.6899, Min: -48.0303, Avg: -35.1075
Ep: 0-33, Best score: -24.0969, Min: -51.6132, Avg: -37.0991
Ep: 0-32, Best score: -10.0041, Min: -59.3974, Avg: -33.8067
Ep: 0-31, Best score: -21.4796, Min: -54.3283, Avg: -31.4722
Ep: 0-30, Best score: -20.4530, Min: -52.9456, Avg: -35.6253
Ep: 0-29, Best score: -16.6774, Min: -48.3128, Avg: -29.0808
Ep: 0-28, Best score: -19.2692, Min: -40.0942, Avg: -30.0261
Ep: 0-27, Best score: -17.1534, Min: -49.6534, Avg: -34.8857
Ep: 0-26, Best score: -18.8319, Min: -49.9861, Avg: -32.6730
Ep: 0-25, Best score: -18.9608, Min: -46.9421, Avg: -34.3383
Ep: 0-24, Best score: -18.4263, Min: -48.5025, Avg: -30.5258
Ep: 0-23, Best score: -19.1182, Min: -51.4586, Avg: -34.5057
Ep: 0-22, Best score: -19.5356, Min: -54.6598, Avg: -33.1143
Ep: 0-21, Best score: -16.6741, Min: -42.0324, Avg: -32.3343
Ep: 0-20, Best score: -21.6004, Min: -50.5765, Avg: -32.2025
Ep: 0-19, Best score: -18.4300, Min: -49.4228, Avg: -32.7865
Ep: 0-43, Best score: -22.8796, Min: -55.8692, Avg: -37.2125
Ep: 0-42, Best score: -26.0401, Min: -47.3123, Avg: -37.1125
