Iteration 1
Ep: 0-199, Best score: -36.2416, Min: -61.8056, Avg: -49.1339
Ep: 0-198, Best score: -27.3356, Min: -71.1538, Avg: -47.1851
Ep: 0-197, Best score: 18.1818, Min: -47.0199, Avg: -27.2550
Ep: 0-196, Best score: -30.6569, Min: -45.3925, Avg: -35.9952
Ep: 0-195, Best score: 16.5414, Min: -51.4925, Avg: -21.9593
Ep: 0-194, Best score: -23.0769, Min: -44.6367, Avg: -34.3267
Ep: 0-193, Best score: -21.1470, Min: -45.8599, Avg: -31.3610
Ep: 0-192, Best score: -14.6758, Min: -41.3490, Avg: -28.0785
Ep: 0-191, Best score: 28.6765, Min: -37.2694, Avg: -3.6188
Ep: 0-190, Best score: 5.2632, Min: -46.9388, Avg: -13.4972
Ep: 0-189, Best score: 34.6801, Min: -45.0172, Avg: -7.7688
Ep: 0-188, Best score: -3.1250, Min: -60.2649, Avg: -30.4415
Ep: 0-187, Best score: -14.9798, Min: -36.3057, Avg: -29.0314
Ep: 0-186, Best score: -35.5932, Min: -68.1979, Avg: -52.7405
Ep: 0-185, Best score: -21.3483, Min: -63.8989, Avg: -46.2453
Ep: 0-184, Best score: -42.9429, Min: -58.7302, Avg: -52.8367
Ep: 0-183, Best score: -41.1765, Min: -60.2649, Avg: -50.3373
Ep: 0-182, Best score: -23.0769, Min: -51.5152, Avg: -36.2596
Ep: 0-181, Best score: 6.9182, Min: -59.4203, Avg: -35.1035
Ep: 0-180, Best score: -1.0989, Min: -38.8489, Avg: -19.2755
Ep: 0-179, Best score: 2.0408, Min: -23.5880, Avg: -12.9707
Ep: 0-178, Best score: 34.6801, Min: -38.9831, Avg: -6.9525
Ep: 0-177, Best score: -16.6667, Min: -32.2034, Avg: -27.4875
Ep: 0-176, Best score: -4.5802, Min: -55.7823, Avg: -28.6185
Ep: 0-175, Best score: -9.0909, Min: -35.6061, Avg: -21.5894
Ep: 0-174, Best score: -3.7801, Min: -61.9048, Avg: -37.0419
Ep: 0-173, Best score: -8.7452, Min: -55.3265, Avg: -30.4225
Ep: 0-172, Best score: -13.1944, Min: -49.4949, Avg: -26.6685
Ep: 0-171, Best score: -20.0000, Min: -58.8235, Avg: -44.3676
Ep: 0-170, Best score: -14.2857, Min: -44.4444, Avg: -29.0301
Ep: 0-169, Best score: -0.6849, Min: -38.4058, Avg: -19.1627
Ep: 0-168, Best score: 28.2895, Min: -33.0986, Avg: -3.5738
Ep: 0-167, Best score: 91.1765, Min: -17.7215, Avg: 40.2098
Ep: 0-166, Best score: 12.4498, Min: -0.6623, Avg: 7.4757
Ep: 0-165, Best score: 20.5674, Min: -83.3887, Avg: -32.1120
Ep: 0-164, Best score: 4.4304, Min: -49.6644, Avg: -29.9370
Ep: 0-163, Best score: 48.5507, Min: -18.7500, Avg: 5.3761
Ep: 0-162, Best score: 36.2126, Min: -29.4872, Avg: 3.3920
Ep: 0-161, Best score: 84.1155, Min: -23.8754, Avg: 28.6178
Ep: 0-160, Best score: 94.8529, Min: -16.9960, Avg: 33.1420
Ep: 0-159, Best score: 69.0141, Min: 17.2414, Avg: 39.3897
Ep: 0-158, Best score: 85.8736, Min: 10.7011, Avg: 48.5864
Ep: 0-157, Best score: 88.4058, Min: 3.3210, Avg: 44.7329
Ep: 0-156, Best score: 103.7037, Min: -43.8202, Avg: 37.9906
Ep: 0-155, Best score: 47.7663, Min: 6.0071, Avg: 35.1007
Ep: 0-154, Best score: 59.6091, Min: 35.2313, Avg: 46.0744
Ep: 0-153, Best score: 59.0909, Min: -13.9073, Avg: 18.1068
Ep: 0-152, Best score: 157.9505, Min: 8.6142, Avg: 97.7303
Ep: 0-151, Best score: 98.7578, Min: 12.1795, Avg: 70.6740
Ep: 0-150, Best score: 149.2114, Min: 22.7437, Avg: 89.5071
Ep: 0-149, Best score: 254.5817, Min: 13.7931, Avg: 131.1281
Ep: 0-148, Best score: 224.5283, Min: -15.4930, Avg: 107.0786
Ep: 0-147, Best score: 257.6159, Min: 91.6376, Avg: 173.8751
Ep: 0-146, Best score: 228.8136, Min: 142.3077, Avg: 173.1078
Ep: 0-145, Best score: 250.8065, Min: 22.9508, Avg: 167.8549
Ep: 0-144, Best score: 293.1034, Min: 16.6667, Avg: 117.6864
Ep: 0-143, Best score: 111.9205, Min: -6.5421, Avg: 43.9393
Ep: 0-142, Best score: 158.3893, Min: -46.5409, Avg: 50.7056
Ep: 0-141, Best score: 182.3920, Min: -12.3377, Avg: 67.1568
Ep: 0-140, Best score: 63.2047, Min: 17.8344, Avg: 47.2479
Ep: 0-139, Best score: 185.7143, Min: 34.9481, Avg: 113.9875
Ep: 0-138, Best score: 146.9136, Min: 18.6441, Avg: 75.1857
Ep: 0-137, Best score: 111.2676, Min: -49.6644, Avg: 32.6072
Ep: 0-136, Best score: 222.3443, Min: -6.8493, Avg: 127.4873
Ep: 0-135, Best score: 166.6667, Min: 83.9465, Avg: 126.3788
Ep: 0-134, Best score: 148.9960, Min: 53.1250, Avg: 102.8822
Ep: 0-133, Best score: 193.1034, Min: 58.8235, Avg: 140.3695
Ep: 0-132, Best score: 105.6962, Min: 22.4490, Avg: 71.9957
Ep: 0-131, Best score: 253.3569, Min: 69.8718, Avg: 158.1838
Ep: 0-130, Best score: 89.6552, Min: 37.3239, Avg: 63.3706
Ep: 0-129, Best score: 132.5581, Min: -24.1877, Avg: 77.8440
Ep: 0-128, Best score: 154.6125, Min: -31.1594, Avg: 73.1131
Ep: 0-127, Best score: 215.2174, Min: 65.6250, Avg: 151.4972
Ep: 0-126, Best score: 206.5693, Min: 60.5839, Avg: 139.7448
Ep: 0-125, Best score: 288.3162, Min: -26.7516, Avg: 82.9928
Ep: 0-124, Best score: 134.3234, Min: 93.3333, Avg: 107.8459
Ep: 0-123, Best score: 146.2121, Min: 98.5294, Avg: 126.0972
Ep: 0-122, Best score: 218.9964, Min: 88.5522, Avg: 132.3279
Ep: 0-121, Best score: 176.3636, Min: 31.7568, Avg: 89.1944
Ep: 0-120, Best score: 202.0134, Min: 86.9159, Avg: 130.6741
Ep: 0-119, Best score: 269.4779, Min: 148.3221, Avg: 216.2873
Ep: 0-118, Best score: 172.7273, Min: 85.8407, Avg: 130.4972
Ep: 0-117, Best score: 133.4495, Min: 79.3103, Avg: 109.2827
Ep: 0-116, Best score: 157.5758, Min: 86.2745, Avg: 119.6431
Ep: 0-115, Best score: 109.3023, Min: 68.4211, Avg: 87.0801
Ep: 0-114, Best score: 145.5516, Min: 5.6106, Avg: 76.6310
Ep: 0-113, Best score: 124.9135, Min: 54.8822, Avg: 91.1319
Ep: 0-112, Best score: 180.1303, Min: -2.6217, Avg: 47.2356
Ep: 0-111, Best score: 111.6183, Min: 86.6667, Avg: 98.6708
Ep: 0-110, Best score: 157.0423, Min: 46.8531, Avg: 103.9109
Ep: 0-109, Best score: 119.0813, Min: 5.8020, Avg: 70.8641
Ep: 0-108, Best score: 114.0078, Min: -27.0833, Avg: 14.1116
Ep: 0-107, Best score: 106.7669, Min: -14.1791, Avg: 59.1881
Ep: 0-106, Best score: 85.6678, Min: 6.7961, Avg: 58.9152
Ep: 0-105, Best score: 128.6822, Min: 50.3497, Avg: 79.5316
Ep: 0-104, Best score: 43.3022, Min: -46.0317, Avg: 5.8302
Ep: 0-103, Best score: 145.6140, Min: -27.3927, Avg: 69.8716
Ep: 0-102, Best score: 142.4242, Min: 50.1706, Avg: 93.2443
Ep: 0-101, Best score: 114.7887, Min: -0.7634, Avg: 70.1047
Ep: 0-100, Best score: 115.4882, Min: 2.3891, Avg: 64.4361
Ep: 0-99, Best score: 96.0133, Min: 28.2051, Avg: 62.0525
Ep: 0-98, Best score: 111.0390, Min: 33.9869, Avg: 68.5750
Ep: 0-97, Best score: 80.9524, Min: 5.9603, Avg: 44.1141
Ep: 0-96, Best score: 93.4426, Min: 31.8681, Avg: 61.7973
Ep: 0-95, Best score: 54.1219, Min: -10.2564, Avg: 33.7217
Ep: 0-94, Best score: 48.6486, Min: -20.0000, Avg: 15.9164
Ep: 0-93, Best score: 131.9392, Min: 52.5974, Avg: 92.6719
Ep: 0-92, Best score: 173.6842, Min: 33.1058, Avg: 88.5461
Ep: 0-91, Best score: 174.3682, Min: 130.7692, Avg: 147.4827
Ep: 0-90, Best score: 117.3913, Min: 102.9520, Avg: 110.7716
Ep: 0-89, Best score: 135.9155, Min: 103.0075, Avg: 120.7191
Ep: 0-88, Best score: 150.8251, Min: 53.8462, Avg: 99.4444
Ep: 0-87, Best score: 140.4580, Min: 28.4047, Avg: 99.6618
Ep: 0-86, Best score: 127.9635, Min: 66.6667, Avg: 99.8783
Ep: 0-85, Best score: 156.0554, Min: 21.2121, Avg: 88.5232
Ep: 0-84, Best score: 148.2993, Min: 102.2161, Avg: 128.7387
Ep: 0-83, Best score: 189.4737, Min: 12.8527, Avg: 99.0632
Ep: 0-82, Best score: 161.6487, Min: 20.1201, Avg: 108.7284
Ep: 0-81, Best score: 123.3677, Min: 88.0878, Avg: 101.9205
Ep: 0-80, Best score: 189.4737, Min: 87.2910, Avg: 144.6078
Ep: 0-79, Best score: 98.7179, Min: 40.3509, Avg: 69.2021
Ep: 0-78, Best score: 104.8611, Min: 19.6581, Avg: 61.2255
Ep: 0-77, Best score: 116.4948, Min: 87.7256, Avg: 106.7252
Ep: 0-76, Best score: 67.9687, Min: -12.2257, Avg: 27.4606
Ep: 0-75, Best score: 184.7458, Min: 2.5641, Avg: 94.0188
Ep: 0-74, Best score: 111.3821, Min: 47.9290, Avg: 79.1104
Ep: 0-73, Best score: 126.6667, Min: 27.3885, Avg: 81.7110
Ep: 0-72, Best score: 155.2448, Min: -15.4930, Avg: 87.6879
Ep: 0-71, Best score: 137.5479, Min: 75.6757, Avg: 104.0904
Ep: 0-70, Best score: 86.1314, Min: 51.6245, Avg: 74.3764
Ep: 0-69, Best score: 133.8983, Min: 58.0645, Avg: 98.0533
Ep: 0-68, Best score: 99.2754, Min: 65.7303, Avg: 83.4484
