Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter0/
Ep: 0, Reward: -66.6252, Test: -82.8026, Avg: -82.8026
Ep: 1, Reward: -76.6644, Test: -82.3198, Avg: -82.5612
Ep: 2, Reward: -44.3987, Test: -77.7738, Avg: -80.9654
Ep: 3, Reward: -80.2610, Test: -75.1750, Avg: -79.5178
Ep: 4, Reward: -44.9763, Test: -77.8036, Avg: -79.1750
Ep: 5, Reward: -51.9045, Test: -77.5489, Avg: -78.9039
Ep: 6, Reward: -75.2550, Test: -81.3138, Avg: -79.2482
Ep: 7, Reward: -22.9863, Test: -81.1220, Avg: -79.4824
Ep: 8, Reward: -59.4890, Test: -88.7251, Avg: -80.5094
Ep: 9, Reward: -47.9594, Test: -82.0179, Avg: -80.6602
Ep: 10, Reward: -46.2153, Test: -78.7995, Avg: -80.4911
Ep: 11, Reward: -72.1253, Test: -80.4265, Avg: -80.4857
Ep: 12, Reward: -39.6054, Test: -72.8265, Avg: -79.8965
Ep: 13, Reward: -79.9518, Test: -75.2415, Avg: -79.5640
Ep: 14, Reward: -40.9127, Test: -82.8914, Avg: -79.7859
Ep: 15, Reward: -66.8099, Test: -81.1661, Avg: -79.8721
Ep: 16, Reward: -78.4413, Test: -65.4253, Avg: -79.0223
Ep: 17, Reward: -75.7859, Test: -42.6469, Avg: -77.0014
Ep: 18, Reward: -49.3867, Test: -32.1578, Avg: -74.6412
Ep: 19, Reward: -34.2856, Test: -62.1990, Avg: -74.0191
Ep: 20, Reward: -71.6092, Test: -54.9906, Avg: -73.1130
Ep: 21, Reward: -74.7320, Test: -69.0122, Avg: -72.9266
Ep: 22, Reward: -59.4043, Test: -69.2786, Avg: -72.7680
Ep: 23, Reward: -82.4983, Test: -71.8127, Avg: -72.7282
Ep: 24, Reward: -74.2893, Test: -75.2969, Avg: -72.8310
Ep: 25, Reward: -12.8057, Test: -79.9277, Avg: -73.1039
Ep: 26, Reward: -36.0922, Test: -77.9762, Avg: -73.2844
Ep: 27, Reward: -13.8537, Test: -83.5431, Avg: -73.6507
Ep: 28, Reward: -20.4495, Test: -22.0954, Avg: -71.8730
Ep: 29, Reward: -59.4590, Test: -4.8631, Avg: -69.6393
Ep: 30, Reward: -72.5901, Test: -30.0594, Avg: -68.3625
Ep: 31, Reward: 4.4666, Test: 1.8643, Avg: -66.1680
Ep: 32, Reward: -73.4616, Test: -48.8589, Avg: -65.6434
Ep: 33, Reward: -47.6018, Test: -21.0529, Avg: -64.3320
Ep: 34, Reward: -41.9844, Test: 45.6406, Avg: -61.1899
Ep: 35, Reward: -75.4106, Test: 268.9052, Avg: -52.0206
Ep: 36, Reward: -32.2568, Test: 197.9250, Avg: -45.2653
Ep: 37, Reward: -109.4856, Test: -58.0910, Avg: -45.6028
Ep: 38, Reward: -50.8733, Test: 204.8872, Avg: -39.1800
Ep: 39, Reward: -68.9031, Test: -34.8923, Avg: -39.0728
Ep: 40, Reward: -52.5524, Test: 10.6969, Avg: -37.8589
Ep: 41, Reward: -113.3552, Test: -15.7295, Avg: -37.3320
Ep: 42, Reward: -0.3312, Test: 327.6974, Avg: -28.8429
Ep: 43, Reward: -93.7875, Test: 232.3443, Avg: -22.9069
Ep: 44, Reward: 47.2487, Test: 292.2223, Avg: -15.9040
Ep: 45, Reward: -11.1042, Test: 356.0738, Avg: -7.8175
Ep: 46, Reward: -50.5896, Test: 114.1191, Avg: -5.2231
Ep: 47, Reward: -17.9806, Test: 297.8136, Avg: 1.0901
Ep: 48, Reward: 73.2831, Test: 453.9242, Avg: 10.3316
Ep: 49, Reward: 97.4445, Test: 102.6585, Avg: 12.1782
Ep: 50, Reward: 72.4604, Test: 153.0621, Avg: 14.9406
Ep: 51, Reward: 181.3385, Test: 306.0289, Avg: 20.5385
Ep: 52, Reward: 95.5273, Test: 68.9045, Avg: 21.4510
Ep: 53, Reward: 83.2023, Test: 150.0825, Avg: 23.8331
Ep: 54, Reward: 237.1645, Test: 259.8767, Avg: 28.1248
Ep: 55, Reward: 49.9610, Test: 78.6070, Avg: 29.0263
Ep: 56, Reward: 145.2945, Test: 221.9776, Avg: 32.4114
Ep: 57, Reward: 169.6425, Test: 264.7509, Avg: 36.4172
Ep: 58, Reward: 288.5883, Test: 218.4282, Avg: 39.5022
Ep: 59, Reward: 405.7967, Test: 105.7842, Avg: 40.6069
Ep: 60, Reward: 312.5172, Test: 279.0780, Avg: 44.5162
Ep: 61, Reward: 432.1199, Test: 361.0543, Avg: 49.6217
Ep: 62, Reward: 392.4573, Test: 420.8577, Avg: 55.5143
Ep: 63, Reward: 421.6517, Test: 381.7968, Avg: 60.6125
Ep: 64, Reward: 245.6527, Test: 300.3351, Avg: 64.3005
Ep: 65, Reward: 313.7777, Test: 484.8876, Avg: 70.6730
Ep: 66, Reward: 333.6496, Test: 332.4403, Avg: 74.5800
Ep: 67, Reward: 330.4666, Test: 458.8871, Avg: 80.2316
Ep: 68, Reward: 267.4973, Test: 415.9563, Avg: 85.0972
Ep: 69, Reward: 349.0389, Test: 323.4651, Avg: 88.5024
Ep: 70, Reward: 244.8215, Test: 537.6823, Avg: 94.8289
Ep: 71, Reward: 275.2681, Test: 411.9530, Avg: 99.2334
Ep: 72, Reward: 331.9352, Test: 448.9966, Avg: 104.0247
Ep: 73, Reward: 392.5646, Test: 222.9317, Avg: 105.6315
Ep: 74, Reward: 256.7920, Test: 532.9331, Avg: 111.3289
Ep: 75, Reward: 371.3398, Test: 412.5139, Avg: 115.2918
Ep: 76, Reward: 407.7648, Test: 388.8236, Avg: 118.8442
Ep: 77, Reward: 386.5581, Test: 453.5019, Avg: 123.1347
Ep: 78, Reward: 432.8797, Test: 424.1121, Avg: 126.9445
Ep: 79, Reward: 340.7485, Test: 482.8558, Avg: 131.3934
Ep: 80, Reward: 323.3496, Test: 515.8149, Avg: 136.1394
Ep: 81, Reward: 481.2881, Test: 409.0392, Avg: 139.4674
Ep: 82, Reward: 231.4781, Test: 354.6219, Avg: 142.0596
Ep: 83, Reward: 366.7468, Test: 317.0610, Avg: 144.1430
Ep: 84, Reward: 392.0451, Test: 209.3396, Avg: 144.9100
Ep: 85, Reward: 355.5259, Test: 509.4570, Avg: 149.1489
Ep: 86, Reward: 385.4293, Test: 357.8554, Avg: 151.5478
Ep: 87, Reward: 477.7779, Test: 322.2838, Avg: 153.4880
Ep: 88, Reward: 405.6969, Test: 310.7055, Avg: 155.2545
Ep: 89, Reward: 434.1553, Test: 312.1827, Avg: 156.9982
Ep: 90, Reward: 545.7788, Test: 356.7885, Avg: 159.1937
Ep: 91, Reward: 267.4221, Test: 533.5223, Avg: 163.2625
Ep: 92, Reward: 320.9155, Test: 244.4844, Avg: 164.1358
Ep: 93, Reward: 279.1617, Test: 352.9785, Avg: 166.1448
Ep: 94, Reward: 263.2166, Test: 283.9283, Avg: 167.3846
Ep: 95, Reward: 235.8428, Test: 217.1610, Avg: 167.9031
Ep: 96, Reward: 231.9317, Test: 475.4950, Avg: 171.0742
Ep: 97, Reward: 295.7372, Test: 165.9132, Avg: 171.0215
Ep: 98, Reward: 203.2230, Test: 461.5016, Avg: 173.9556
Ep: 99, Reward: 276.6281, Test: 297.4057, Avg: 175.1901
Ep: 100, Reward: 283.5180, Test: 220.3656, Avg: 178.2218
Ep: 101, Reward: 87.4996, Test: 309.0795, Avg: 182.1358
Ep: 102, Reward: 205.4628, Test: 169.0869, Avg: 184.6044
Ep: 103, Reward: 354.1530, Test: 365.1044, Avg: 189.0072
Ep: 104, Reward: 209.2888, Test: 223.0615, Avg: 192.0159
Ep: 105, Reward: 356.4082, Test: 255.5121, Avg: 195.3465
Ep: 106, Reward: 249.5991, Test: 349.0525, Avg: 199.6501
Ep: 107, Reward: 221.1151, Test: 258.5415, Avg: 203.0468
Ep: 108, Reward: 213.9597, Test: 279.0160, Avg: 206.7242
Ep: 109, Reward: 211.4520, Test: 197.0272, Avg: 209.5146
Ep: 110, Reward: 110.5936, Test: 118.1566, Avg: 211.4842
Ep: 111, Reward: 100.2861, Test: 49.4270, Avg: 212.7827
Ep: 112, Reward: 276.0100, Test: 173.1247, Avg: 215.2422
Ep: 113, Reward: 152.0862, Test: 288.4820, Avg: 218.8795
Ep: 114, Reward: 244.2823, Test: 276.7537, Avg: 222.4759
Ep: 115, Reward: 197.5252, Test: 327.1247, Avg: 226.5588
Ep: 116, Reward: 123.0703, Test: 91.9563, Avg: 228.1326
Ep: 117, Reward: 144.7664, Test: 267.6187, Avg: 231.2353
Ep: 118, Reward: 152.6499, Test: 238.4831, Avg: 233.9417
Ep: 119, Reward: 209.0426, Test: 186.7985, Avg: 236.4317
Ep: 120, Reward: 235.0450, Test: 220.9687, Avg: 239.1913
Ep: 121, Reward: 242.3347, Test: 252.9649, Avg: 242.4110
Ep: 122, Reward: 348.9810, Test: 248.2997, Avg: 245.5868
Ep: 123, Reward: 452.2203, Test: 390.8266, Avg: 250.2132
Ep: 124, Reward: 428.8210, Test: 330.3975, Avg: 254.2702
Ep: 125, Reward: 439.0766, Test: 290.7034, Avg: 257.9765
Ep: 126, Reward: 299.2303, Test: 611.7946, Avg: 264.8742
Ep: 127, Reward: 458.9260, Test: 283.6335, Avg: 268.5460
Ep: 128, Reward: 371.4983, Test: 339.9083, Avg: 272.1660
Ep: 129, Reward: 477.9531, Test: 166.6611, Avg: 273.8812
Ep: 130, Reward: 569.1827, Test: 499.5761, Avg: 279.1776
Ep: 131, Reward: 602.8018, Test: 354.7867, Avg: 282.7068
Ep: 132, Reward: 408.5275, Test: 540.9057, Avg: 288.6045
Ep: 133, Reward: 472.4665, Test: 646.3198, Avg: 295.2782
Ep: 134, Reward: 627.5430, Test: 209.1698, Avg: 296.9135
Ep: 135, Reward: 691.7452, Test: 554.0440, Avg: 299.7649
Ep: 136, Reward: 330.9047, Test: 534.6023, Avg: 303.1316
Ep: 137, Reward: 584.3453, Test: 672.9217, Avg: 310.4418
Ep: 138, Reward: 549.7827, Test: 587.6241, Avg: 314.2691
Ep: 139, Reward: 519.3392, Test: 514.2325, Avg: 319.7604
Ep: 140, Reward: 768.2973, Test: 690.8985, Avg: 326.5624
Ep: 141, Reward: 685.9986, Test: 582.0669, Avg: 332.5404
Ep: 142, Reward: 617.4393, Test: 553.0814, Avg: 334.7942
Ep: 143, Reward: 498.0004, Test: 563.3640, Avg: 338.1044
Ep: 144, Reward: 398.3052, Test: 466.6445, Avg: 339.8486
Ep: 145, Reward: 717.9665, Test: 359.8416, Avg: 339.8863
Ep: 146, Reward: 725.4028, Test: 615.3084, Avg: 344.8982
Ep: 147, Reward: 680.9153, Test: 682.8201, Avg: 348.7483
Ep: 148, Reward: 551.9748, Test: 662.9879, Avg: 350.8389
Ep: 149, Reward: 463.8861, Test: 405.0364, Avg: 353.8627
Ep: 150, Reward: 401.7619, Test: 496.3714, Avg: 357.2958
Ep: 151, Reward: 293.6942, Test: 490.9124, Avg: 359.1446
Ep: 152, Reward: 397.5343, Test: 262.5129, Avg: 361.0807
Ep: 153, Reward: 516.3297, Test: 478.9447, Avg: 364.3693
Ep: 154, Reward: 532.6272, Test: 558.7249, Avg: 367.3578
Ep: 155, Reward: 417.9162, Test: 583.6379, Avg: 372.4081
Ep: 156, Reward: 478.8622, Test: 423.7129, Avg: 374.4255
Ep: 157, Reward: 437.4869, Test: 459.0324, Avg: 376.3683
Ep: 158, Reward: 589.3720, Test: 669.2266, Avg: 380.8763
Ep: 159, Reward: 682.4344, Test: 693.6056, Avg: 386.7545
Ep: 160, Reward: 542.4674, Test: 618.7752, Avg: 390.1514
Ep: 161, Reward: 635.5695, Test: 802.3520, Avg: 394.5644
Ep: 162, Reward: 664.0003, Test: 372.2424, Avg: 394.0783
Ep: 163, Reward: 748.0104, Test: 463.7240, Avg: 394.8975
Ep: 164, Reward: 489.1352, Test: 506.4419, Avg: 396.9586
Ep: 165, Reward: 818.7332, Test: 626.3609, Avg: 398.3733
Ep: 166, Reward: 763.3591, Test: 722.7407, Avg: 402.2763
Ep: 167, Reward: 771.8973, Test: 789.3682, Avg: 405.5812
Ep: 168, Reward: 621.4515, Test: 816.4991, Avg: 409.5866
Ep: 169, Reward: 731.4526, Test: 761.2890, Avg: 413.9648
Ep: 170, Reward: 567.1199, Test: 774.4184, Avg: 416.3322
Ep: 171, Reward: 504.2117, Test: 703.9924, Avg: 419.2526
Ep: 172, Reward: 701.6483, Test: 678.4739, Avg: 421.5473
