Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -77.0115, Test: -56.2501, Avg: -56.2501
Ep: 1, Reward: -48.3059, Test: -56.8776, Avg: -56.5639
Ep: 2, Reward: -37.4466, Test: -60.4016, Avg: -57.8431
Ep: 3, Reward: -81.0609, Test: -61.3204, Avg: -58.7124
Ep: 4, Reward: -51.4277, Test: -53.2905, Avg: -57.6280
Ep: 5, Reward: -65.7901, Test: -61.7782, Avg: -58.3197
Ep: 6, Reward: -32.4685, Test: -58.7631, Avg: -58.3831
Ep: 7, Reward: -108.3696, Test: -64.2554, Avg: -59.1171
Ep: 8, Reward: -73.3049, Test: -82.7253, Avg: -61.7402
Ep: 9, Reward: -51.9898, Test: -46.6133, Avg: -60.2276
Ep: 10, Reward: -42.5389, Test: -57.2827, Avg: -59.9598
Ep: 11, Reward: -57.0294, Test: -47.2581, Avg: -58.9014
Ep: 12, Reward: -68.3660, Test: -55.3498, Avg: -58.6282
Ep: 13, Reward: -54.0416, Test: -62.7446, Avg: -58.9222
Ep: 14, Reward: -65.4290, Test: -61.3172, Avg: -59.0819
Ep: 15, Reward: -41.6371, Test: -39.2524, Avg: -57.8425
Ep: 16, Reward: -61.9312, Test: -57.5658, Avg: -57.8262
Ep: 17, Reward: -75.3089, Test: -61.1504, Avg: -58.0109
Ep: 18, Reward: -71.6425, Test: -57.0405, Avg: -57.9598
Ep: 19, Reward: -7.6417, Test: -59.9706, Avg: -58.0604
Ep: 20, Reward: -83.4672, Test: -33.7596, Avg: -56.9032
Ep: 21, Reward: -37.3474, Test: -58.8465, Avg: -56.9915
Ep: 22, Reward: -58.8840, Test: -57.3002, Avg: -57.0049
Ep: 23, Reward: -64.4271, Test: -64.3514, Avg: -57.3111
Ep: 24, Reward: -51.9584, Test: -48.9279, Avg: -56.9757
Ep: 25, Reward: -60.4188, Test: -75.2065, Avg: -57.6769
Ep: 26, Reward: -44.0307, Test: -64.6859, Avg: -57.9365
