Agent: ddpg, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 60, Reward: -29.0867, Test: 311.4703 [157.45686322261264], Avg: 122.5979 (0.5417)
Ep: 61, Reward: -34.7479, Test: 336.9410 [235.2006040279757], Avg: 126.0551 (0.5363)
Ep: 62, Reward: -17.7363, Test: 383.4123 [137.93731391505963], Avg: 130.1401 (0.5309)
Ep: 63, Reward: -32.2413, Test: 221.5629 [144.5324184266121], Avg: 131.5686 (0.5256)
Ep: 64, Reward: -8.7325, Test: 448.0210 [231.9374641646062], Avg: 136.4371 (0.5203)
Ep: 65, Reward: -32.7873, Test: 432.1337 [232.85728610458904], Avg: 140.9174 (0.5151)
Ep: 66, Reward: -28.0083, Test: 339.0268 [269.79411376159214], Avg: 143.8742 (0.5100)
Ep: 67, Reward: -34.7907, Test: 257.9288 [121.59912939919052], Avg: 145.5515 (0.5049)
Ep: 68, Reward: -49.0225, Test: 261.7194 [158.5109436220377], Avg: 147.2351 (0.4998)
Ep: 69, Reward: -8.7808, Test: 413.9444 [236.08238515726921], Avg: 151.0452 (0.4948)
Ep: 70, Reward: -11.8214, Test: 342.2508 [115.80030954339337], Avg: 153.7382 (0.4899)
Ep: 71, Reward: -28.9380, Test: 296.2445 [97.46336213876158], Avg: 155.7175 (0.4850)
Ep: 72, Reward: -45.1049, Test: 344.1790 [155.6991734863792], Avg: 158.2992 (0.4801)
Ep: 73, Reward: -9.7440, Test: 247.5228 [106.71537896193011], Avg: 159.5049 (0.4753)
Ep: 74, Reward: -29.7007, Test: 366.3497 [197.7288982325935], Avg: 162.2628 (0.4706)
Ep: 75, Reward: -29.0184, Test: 459.4865 [166.92240870938537], Avg: 166.1737 (0.4659)
Ep: 76, Reward: -13.8480, Test: 389.8519 [141.27341146497838], Avg: 169.0786 (0.4612)
Ep: 77, Reward: -11.6041, Test: 411.5979 [128.23340691272625], Avg: 172.1878 (0.4566)
Ep: 78, Reward: -31.7583, Test: 253.6850 [168.57761079653486], Avg: 173.2194 (0.4520)
Ep: 79, Reward: -14.1528, Test: 344.5867 [142.60617783949442], Avg: 175.3615 (0.4475)
Ep: 80, Reward: -16.1020, Test: 350.3193 [162.5842978485828], Avg: 177.5215 (0.4430)
Ep: 81, Reward: -9.1861, Test: 453.1157 [210.49492914820706], Avg: 180.8824 (0.4386)
Ep: 82, Reward: 2.5289, Test: 377.3378 [187.35532949379507], Avg: 183.2493 (0.4342)
Ep: 83, Reward: -9.7854, Test: 417.4458 [241.8381150831608], Avg: 186.0374 (0.4299)
Ep: 84, Reward: 3.5714, Test: 216.5765 [181.12594277552932], Avg: 186.3966 (0.4256)
Ep: 85, Reward: -2.6370, Test: 417.0932 [236.6080370803433], Avg: 189.0792 (0.4213)
Ep: 86, Reward: 25.7840, Test: 267.5415 [161.11771599260837], Avg: 189.9810 (0.4171)
Ep: 87, Reward: -6.3596, Test: 531.6991 [248.95282868909035], Avg: 193.8642 (0.4129)
Ep: 88, Reward: 0.9700, Test: 395.0531 [179.79205108450964], Avg: 196.1247 (0.4088)
Ep: 89, Reward: 0.1622, Test: 514.0025 [155.27821235839974], Avg: 199.6567 (0.4047)
Ep: 90, Reward: 5.2222, Test: 262.1696 [151.52954414599648], Avg: 200.3437 (0.4007)
Ep: 91, Reward: -8.4191, Test: 357.8136 [213.28770712852253], Avg: 202.0553 (0.3967)
Ep: 92, Reward: 4.5571, Test: 272.7500 [146.9722093233482], Avg: 202.8155 (0.3927)
Ep: 93, Reward: 29.8813, Test: 486.4452 [228.21187796046888], Avg: 205.8328 (0.3888)
Ep: 94, Reward: 9.5092, Test: 395.4960 [281.4920775519886], Avg: 207.8292 (0.3849)
Ep: 95, Reward: 45.1299, Test: 460.2914 [242.45985702439694], Avg: 210.4591 (0.3810)
Ep: 96, Reward: 39.9080, Test: 266.5982 [63.97304703959106], Avg: 211.0378 (0.3772)
Ep: 97, Reward: 4.8735, Test: 458.9106 [302.7846004196236], Avg: 213.5671 (0.3735)
Ep: 98, Reward: 14.3155, Test: 368.9203 [284.3820610097098], Avg: 215.1364 (0.3697)
Ep: 99, Reward: -12.4799, Test: 310.9189 [261.8913407404075], Avg: 216.0942 (0.3660)
Ep: 100, Reward: 19.4208, Test: 507.9661 [217.22675248762272], Avg: 221.9801 (0.3624)
Ep: 101, Reward: 23.0109, Test: 471.0368 [182.82025390845908], Avg: 227.4537 (0.3587)
Ep: 102, Reward: 37.1981, Test: 545.9847 [246.28604052732578], Avg: 233.3390 (0.3552)
Ep: 103, Reward: 32.2215, Test: 588.1643 [257.0281571821417], Avg: 239.7531 (0.3516)
Ep: 104, Reward: 21.4128, Test: 400.9941 [234.9711313721468], Avg: 244.4244 (0.3481)
Ep: 105, Reward: 58.1253, Test: 513.1442 [226.51616467153792], Avg: 249.6624 (0.3446)
Ep: 106, Reward: 58.6313, Test: 575.8716 [202.83690880581702], Avg: 255.7944 (0.3412)
Ep: 107, Reward: 25.9928, Test: 541.9741 [172.0463474050224], Avg: 261.8054 (0.3378)
Ep: 108, Reward: 34.0750, Test: 469.3614 [260.99807934147185], Avg: 266.7526 (0.3344)
Ep: 109, Reward: 35.2170, Test: 439.1475 [127.35722034532427], Avg: 271.6690 (0.3310)
Ep: 110, Reward: 31.2693, Test: 423.1139 [198.29141064219203], Avg: 276.6362 (0.3277)
Ep: 111, Reward: 78.0822, Test: 592.6273 [218.11149916175765], Avg: 282.8047 (0.3244)
Ep: 112, Reward: 91.0498, Test: 389.6889 [233.95035280721723], Avg: 287.2768 (0.3212)
Ep: 113, Reward: 64.1668, Test: 394.8292 [217.53139085577268], Avg: 291.6783 (0.3148)
Ep: 114, Reward: 76.0113, Test: 183.1018 [159.07117593884436], Avg: 294.0523 (0.3117)
Ep: 115, Reward: 85.7675, Test: 316.1903 [177.97911435192998], Avg: 298.0423 (0.3085)
Ep: 116, Reward: 56.6649, Test: 425.5883 [268.4202098469417], Avg: 302.8556 (0.3055)
Ep: 117, Reward: 52.4412, Test: 362.2256 [126.95238509845818], Avg: 306.7731 (0.3024)
Ep: 118, Reward: 89.3178, Test: 441.7097 [220.37019413579904], Avg: 311.8691 (0.2994)
Ep: 119, Reward: 98.8694, Test: 293.0353 [116.90525316213358], Avg: 315.3776 (0.2964)
Ep: 120, Reward: 104.5645, Test: 341.5235 [224.32213020730163], Avg: 317.9440 (0.2934)
Ep: 121, Reward: 105.5543, Test: 323.0589 [225.48300019377078], Avg: 321.6821 (0.2905)
Ep: 122, Reward: 111.4182, Test: 438.1575 [118.21052091375017], Avg: 326.8154 (0.2876)
Ep: 123, Reward: 169.2287, Test: 294.5465 [216.58631255529934], Avg: 328.6764 (0.2847)
Ep: 124, Reward: 116.0014, Test: 374.4485 [71.01871419666847], Avg: 329.8223 (0.2819)
Ep: 125, Reward: 232.3188, Test: 463.5945 [228.7052626228279], Avg: 334.3577 (0.2790)
Ep: 126, Reward: 202.3029, Test: 477.1127 [260.98806792579427], Avg: 339.0577 (0.2763)
Ep: 127, Reward: 191.4821, Test: 419.8387 [156.79562926833722], Avg: 343.0348 (0.2735)
Ep: 128, Reward: 106.6061, Test: 309.9879 [194.82882954309912], Avg: 344.7288 (0.2708)
Ep: 129, Reward: 156.5835, Test: 366.6292 [174.28636834781085], Avg: 348.4044 (0.2680)
Ep: 130, Reward: 164.2936, Test: 316.2687 [252.5284236482768], Avg: 350.0196 (0.2654)
Ep: 131, Reward: 159.7818, Test: 411.2657 [218.36916468965237], Avg: 353.5013 (0.2627)
Ep: 132, Reward: 183.1272, Test: 541.6621 [205.8972182997105], Avg: 358.1190 (0.2601)
Ep: 133, Reward: 222.8370, Test: 443.5606 [190.15667702479237], Avg: 361.2533 (0.2575)
Ep: 134, Reward: 138.3461, Test: 384.9542 [100.84846628668687], Avg: 363.2642 (0.2549)
Ep: 135, Reward: 211.1784, Test: 490.3215 [201.2257628521339], Avg: 365.7938 (0.2524)
Ep: 136, Reward: 253.2482, Test: 561.8688 [199.90662360836808], Avg: 369.2551 (0.2498)
Ep: 137, Reward: 223.0704, Test: 345.6424 [208.78152068683966], Avg: 372.7684 (0.2473)
Ep: 138, Reward: 228.5209, Test: 457.4111 [203.92554036027357], Avg: 373.9005 (0.2449)
Ep: 139, Reward: 221.0943, Test: 603.0922 [153.0266433887866], Avg: 376.7962 (0.2424)
Ep: 140, Reward: 306.6165, Test: 525.6774 [178.29574710034572], Avg: 382.0974 (0.2400)
Ep: 141, Reward: 222.2894, Test: 488.6961 [213.27095059445486], Avg: 384.3102 (0.2376)
Ep: 142, Reward: 309.5508, Test: 473.6807 [183.65229510255966], Avg: 385.2851 (0.2352)
Ep: 143, Reward: 249.7702, Test: 411.5325 [225.0033996365935], Avg: 389.2016 (0.2329)
Ep: 144, Reward: 274.9511, Test: 366.9305 [148.46375100245314], Avg: 389.4990 (0.2305)
Ep: 145, Reward: 249.3545, Test: 463.6717 [171.2808417552993], Avg: 391.4507 (0.2282)
Ep: 146, Reward: 226.2155, Test: 343.3379 [178.6374918724678], Avg: 391.7291 (0.2259)
Ep: 147, Reward: 273.9444, Test: 410.9053 [152.23914986459906], Avg: 392.2198 (0.2237)
Ep: 148, Reward: 274.5498, Test: 452.6653 [141.59569097483327], Avg: 393.9058 (0.2215)
Ep: 149, Reward: 329.4458, Test: 407.4425 [151.21480102474257], Avg: 392.4955 (0.2192)
Ep: 150, Reward: 323.3229, Test: 512.2850 [204.8107799982998], Avg: 394.3901 (0.2170)
Ep: 151, Reward: 250.1058, Test: 455.0105 [197.3773267363423], Avg: 394.1582 (0.2149)
Ep: 152, Reward: 290.4710, Test: 551.9584 [236.05196647555005], Avg: 394.4722 (0.2127)
Ep: 153, Reward: 246.6927, Test: 323.5026 [77.67566921506732], Avg: 394.6432 (0.2106)
Ep: 154, Reward: 383.4684, Test: 571.1515 [227.82983261336756], Avg: 396.9288 (0.2085)
Ep: 155, Reward: 347.8117, Test: 526.5821 [210.9930548536189], Avg: 399.1741 (0.2064)
Ep: 156, Reward: 443.3586, Test: 557.5866 [190.54343140413863], Avg: 402.7623 (0.2043)
Ep: 157, Reward: 369.0031, Test: 564.0755 [221.28845834090134], Avg: 406.0600 (0.2023)
Ep: 158, Reward: 317.6058, Test: 474.4071 [170.65518963060538], Avg: 407.7047 (0.2003)
Ep: 159, Reward: 349.2060, Test: 420.5021 [266.18710108113055], Avg: 409.8472 (0.1983)
Ep: 160, Reward: 347.7218, Test: 479.8506 [212.79225331144497], Avg: 411.5310 (0.1963)
Ep: 161, Reward: 407.3238, Test: 420.2791 [264.4901462800517], Avg: 412.3643 (0.1943)
Ep: 162, Reward: 403.0437, Test: 525.2521 [270.52394350664383], Avg: 413.7827 (0.1924)
Ep: 163, Reward: 381.6361, Test: 374.4309 [266.40734708252785], Avg: 415.3114 (0.1905)
Ep: 164, Reward: 420.1673, Test: 488.5022 [166.84914358165946], Avg: 415.7162 (0.1886)
Ep: 165, Reward: 474.9152, Test: 407.0988 [239.79863875558073], Avg: 415.4659 (0.1867)
Ep: 166, Reward: 434.2007, Test: 432.0971 [220.1519324905382], Avg: 416.3966 (0.1848)
