Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter0/
Ep: 0, Reward: -52.5391, Test: -81.8523 [1.38], Avg: -81.8523 (0.99)
Ep: 1, Reward: -55.8856, Test: -82.7169 [1.33], Avg: -82.2846 (0.98)
Ep: 2, Reward: -64.3951, Test: -82.2878 [1.97], Avg: -82.2857 (0.97)
Ep: 3, Reward: -59.8419, Test: -83.0954 [2.64], Avg: -82.4881 (0.96)
Ep: 4, Reward: -59.4777, Test: -79.3535 [1.77], Avg: -81.8612 (0.95)
Ep: 5, Reward: -47.4125, Test: -78.6568 [1.33], Avg: -81.3271 (0.94)
Ep: 6, Reward: -52.0437, Test: -113.7270 [42.85], Avg: -85.9557 (0.93)
Ep: 7, Reward: -63.1837, Test: -79.3478 [1.84], Avg: -85.1297 (0.92)
Ep: 8, Reward: -49.7526, Test: -80.7152 [2.95], Avg: -84.6392 (0.91)
Ep: 9, Reward: -49.3109, Test: -132.2185 [33.20], Avg: -89.3971 (0.90)
Ep: 10, Reward: -65.1149, Test: -78.4560 [3.45], Avg: -88.4025 (0.90)
Ep: 11, Reward: -59.4256, Test: -82.5048 [1.48], Avg: -87.9110 (0.89)
Ep: 12, Reward: -60.4962, Test: 57.5661 [64.60], Avg: -76.7205 (0.88)
Ep: 13, Reward: -54.4122, Test: -71.4286 [7.55], Avg: -76.3425 (0.87)
Ep: 14, Reward: -61.0346, Test: -71.7939 [11.18], Avg: -76.0392 (0.86)
Ep: 15, Reward: -65.4136, Test: 10.8904 [49.60], Avg: -70.6061 (0.85)
Ep: 16, Reward: -51.6351, Test: -29.1205 [37.14], Avg: -68.1658 (0.84)
Ep: 17, Reward: -47.4066, Test: -72.3372 [5.87], Avg: -68.3975 (0.83)
Ep: 18, Reward: -55.9122, Test: 50.3458 [53.97], Avg: -62.1479 (0.83)
Ep: 19, Reward: -55.2365, Test: 133.9283 [132.36], Avg: -52.3441 (0.82)
Ep: 20, Reward: -35.8556, Test: -76.0476 [1.95], Avg: -53.4728 (0.81)
Ep: 21, Reward: -48.5440, Test: 15.6610 [68.17], Avg: -50.3304 (0.80)
Ep: 22, Reward: -55.1117, Test: -14.7897 [43.34], Avg: -48.7851 (0.79)
Ep: 23, Reward: -61.8279, Test: 49.1556 [121.49], Avg: -44.7043 (0.79)
Ep: 24, Reward: -51.1443, Test: 81.9705 [100.34], Avg: -39.6373 (0.78)
Ep: 25, Reward: -57.1468, Test: 34.8464 [82.77], Avg: -36.7725 (0.77)
Ep: 26, Reward: -44.2751, Test: 66.8923 [92.92], Avg: -32.9331 (0.76)
Ep: 27, Reward: -52.9695, Test: 174.4588 [103.34], Avg: -25.5262 (0.75)
Ep: 28, Reward: -47.7607, Test: 201.8113 [118.69], Avg: -17.6870 (0.75)
Ep: 29, Reward: -42.8578, Test: 94.2791 [132.42], Avg: -13.9548 (0.74)
Ep: 30, Reward: -34.8376, Test: -13.4343 [46.94], Avg: -13.9380 (0.73)
Ep: 31, Reward: -71.6421, Test: 102.2306 [130.55], Avg: -10.3077 (0.72)
Ep: 32, Reward: -57.5052, Test: -15.3558 [29.15], Avg: -10.4607 (0.72)
Ep: 33, Reward: -59.5493, Test: 18.3241 [85.31], Avg: -9.6141 (0.71)
Ep: 34, Reward: -55.3254, Test: 131.3224 [166.25], Avg: -5.5873 (0.70)
Ep: 35, Reward: -66.1481, Test: 115.9719 [183.01], Avg: -2.2107 (0.70)
Ep: 36, Reward: -49.5452, Test: 50.6911 [111.02], Avg: -0.7809 (0.69)
Ep: 37, Reward: -48.2357, Test: 89.4766 [131.96], Avg: 1.5943 (0.68)
Ep: 38, Reward: -56.9163, Test: 43.5952 [94.17], Avg: 2.6712 (0.68)
Ep: 39, Reward: -39.0468, Test: 81.5958 [119.06], Avg: 4.6443 (0.67)
Ep: 40, Reward: -39.2355, Test: 167.1360 [132.24], Avg: 8.6076 (0.66)
Ep: 41, Reward: -50.9960, Test: 214.3871 [238.63], Avg: 13.5071 (0.66)
Ep: 42, Reward: -45.4528, Test: 63.7874 [200.96], Avg: 14.6764 (0.65)
Ep: 43, Reward: -23.8499, Test: 215.3090 [175.07], Avg: 19.2362 (0.64)
Ep: 44, Reward: -43.0908, Test: 324.6686 [185.32], Avg: 26.0236 (0.64)
Ep: 45, Reward: -55.3500, Test: 411.2348 [209.92], Avg: 34.3978 (0.63)
Ep: 46, Reward: -35.0776, Test: 254.3150 [198.61], Avg: 39.0768 (0.62)
Ep: 47, Reward: -56.2760, Test: 102.6098 [103.62], Avg: 40.4004 (0.62)
Ep: 48, Reward: -55.3747, Test: 421.7540 [265.42], Avg: 48.1832 (0.61)
Ep: 49, Reward: -63.0254, Test: 226.7451 [127.95], Avg: 51.7544 (0.61)
Ep: 50, Reward: -55.5209, Test: 214.4333 [185.78], Avg: 54.9442 (0.60)
Ep: 51, Reward: -24.5821, Test: 311.4123 [196.18], Avg: 59.8763 (0.59)
Ep: 52, Reward: -40.9235, Test: 329.2932 [182.23], Avg: 64.9596 (0.59)
Ep: 53, Reward: -37.9293, Test: 360.5943 [189.23], Avg: 70.4343 (0.58)
Ep: 54, Reward: -35.6915, Test: 430.5821 [219.60], Avg: 76.9825 (0.58)
Ep: 55, Reward: -27.5246, Test: 272.2381 [220.37], Avg: 80.4692 (0.57)
Ep: 56, Reward: -30.9168, Test: 309.0588 [171.63], Avg: 84.4795 (0.56)
Ep: 57, Reward: -25.5481, Test: 334.0760 [189.73], Avg: 88.7829 (0.56)
Ep: 58, Reward: -31.8723, Test: 429.5391 [216.74], Avg: 94.5584 (0.55)
Ep: 59, Reward: 3.0681, Test: 244.9563 [106.13], Avg: 97.0651 (0.55)
Ep: 60, Reward: -22.4930, Test: 388.7692 [225.34], Avg: 101.8471 (0.54)
Ep: 61, Reward: -21.8412, Test: 336.9397 [163.29], Avg: 105.6389 (0.54)
Ep: 62, Reward: 2.0095, Test: 331.3388 [166.92], Avg: 109.2215 (0.53)
Ep: 63, Reward: -25.2270, Test: 314.6814 [150.17], Avg: 112.4318 (0.53)
Ep: 64, Reward: -22.2781, Test: 216.9867 [256.52], Avg: 114.0403 (0.52)
Ep: 65, Reward: 10.8766, Test: 361.9946 [224.67], Avg: 117.7972 (0.52)
Ep: 66, Reward: -36.1333, Test: 370.6305 [229.58], Avg: 121.5708 (0.51)
Ep: 67, Reward: -22.9116, Test: 387.5194 [203.12], Avg: 125.4818 (0.50)
Ep: 68, Reward: -3.3053, Test: 356.8419 [136.06], Avg: 128.8349 (0.50)
Ep: 69, Reward: -23.1945, Test: 541.1024 [201.72], Avg: 134.7244 (0.49)
Ep: 70, Reward: -7.8915, Test: 414.8231 [162.93], Avg: 138.6695 (0.49)
Ep: 71, Reward: 7.7324, Test: 638.5396 [293.17], Avg: 145.6121 (0.48)
Ep: 72, Reward: -26.3703, Test: 545.3162 [234.14], Avg: 151.0875 (0.48)
Ep: 73, Reward: -10.5663, Test: 450.6756 [273.62], Avg: 155.1360 (0.48)
Ep: 74, Reward: 3.2477, Test: 452.8276 [253.73], Avg: 159.1052 (0.47)
Ep: 75, Reward: -17.0574, Test: 325.0912 [249.62], Avg: 161.2892 (0.47)
Ep: 76, Reward: -17.1278, Test: 364.1244 [176.21], Avg: 163.9235 (0.46)
Ep: 77, Reward: 20.0279, Test: 411.0367 [269.15], Avg: 167.0916 (0.46)
Ep: 78, Reward: 1.5042, Test: 198.0455 [235.10], Avg: 167.4834 (0.45)
Ep: 79, Reward: 9.5257, Test: 153.8193 [107.61], Avg: 167.3126 (0.45)
Ep: 80, Reward: -2.3260, Test: 301.5536 [177.31], Avg: 168.9699 (0.44)
Ep: 81, Reward: -4.5570, Test: 350.0122 [150.36], Avg: 171.1777 (0.44)
Ep: 82, Reward: 0.0712, Test: 269.0509 [228.52], Avg: 172.3569 (0.43)
Ep: 83, Reward: -21.9737, Test: 332.8859 [200.45], Avg: 174.2680 (0.43)
Ep: 84, Reward: 8.8155, Test: 331.5918 [154.20], Avg: 176.1189 (0.43)
Ep: 85, Reward: -23.5340, Test: 441.4603 [215.18], Avg: 179.2042 (0.42)
Ep: 86, Reward: 2.9862, Test: 395.5188 [218.82], Avg: 181.6906 (0.42)
Ep: 87, Reward: 33.9782, Test: 404.8577 [316.74], Avg: 184.2266 (0.41)
Ep: 88, Reward: -17.7751, Test: 386.0452 [251.51], Avg: 186.4942 (0.41)
Ep: 89, Reward: 9.1194, Test: 318.2230 [225.34], Avg: 187.9579 (0.40)
Ep: 90, Reward: -2.7242, Test: 336.5507 [224.72], Avg: 189.5908 (0.40)
Ep: 91, Reward: -6.6814, Test: 356.5538 [205.10], Avg: 191.4056 (0.40)
Ep: 92, Reward: -5.4697, Test: 246.0492 [139.23], Avg: 191.9931 (0.39)
Ep: 93, Reward: 16.0067, Test: 335.7636 [178.50], Avg: 193.5226 (0.39)
Ep: 94, Reward: -15.2729, Test: 332.6056 [162.15], Avg: 194.9866 (0.38)
Ep: 95, Reward: 16.5752, Test: 301.5221 [140.20], Avg: 196.0964 (0.38)
