Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 67, Reward: -4.0123, Test: 500.9517 [302.86], Avg: 253.6850 (0.50)
Ep: 68, Reward: 20.4854, Test: 509.4271 [201.80], Avg: 257.3914 (0.50)
Ep: 69, Reward: 38.6912, Test: 509.1253 [278.08], Avg: 260.9876 (0.49)
Ep: 70, Reward: 9.0560, Test: 699.3418 [199.67], Avg: 267.1616 (0.49)
Ep: 71, Reward: -6.6805, Test: 733.0569 [174.27], Avg: 273.6324 (0.48)
Ep: 72, Reward: 10.7413, Test: 292.0298 [200.96], Avg: 273.8844 (0.48)
Ep: 73, Reward: -15.2463, Test: 419.2302 [190.73], Avg: 275.8485 (0.48)
Ep: 74, Reward: -1.3896, Test: 372.3138 [287.23], Avg: 277.1347 (0.47)
Ep: 75, Reward: 4.0081, Test: 541.8497 [198.90], Avg: 280.6178 (0.47)
Ep: 76, Reward: 11.7626, Test: 368.0469 [134.04], Avg: 281.7532 (0.46)
Ep: 77, Reward: 33.1007, Test: 346.7243 [263.52], Avg: 282.5862 (0.46)
Ep: 78, Reward: 27.8885, Test: 464.3201 [172.41], Avg: 284.8866 (0.45)
Ep: 79, Reward: 30.3272, Test: 346.5124 [180.06], Avg: 285.6570 (0.45)
Ep: 80, Reward: -6.2151, Test: 390.5601 [223.62], Avg: 286.9521 (0.44)
Ep: 81, Reward: -7.1087, Test: 363.8148 [251.62], Avg: 287.8894 (0.44)
Ep: 82, Reward: -3.3309, Test: 335.6518 [182.49], Avg: 288.4649 (0.43)
Ep: 83, Reward: 45.3869, Test: 422.3245 [179.87], Avg: 290.0584 (0.43)
Ep: 84, Reward: 3.3798, Test: 374.7162 [127.79], Avg: 291.0544 (0.43)
Ep: 85, Reward: -7.7222, Test: 337.8719 [201.41], Avg: 291.5988 (0.42)
Ep: 86, Reward: -10.6063, Test: 382.8445 [200.38], Avg: 292.6476 (0.42)
Ep: 87, Reward: 5.5126, Test: 328.2617 [137.23], Avg: 293.0523 (0.41)
Ep: 88, Reward: 10.5562, Test: 417.5694 [206.23], Avg: 294.4514 (0.41)
Ep: 89, Reward: -16.6929, Test: 393.7449 [187.65], Avg: 295.5546 (0.40)
Ep: 90, Reward: 39.0611, Test: 452.4372 [236.60], Avg: 297.2786 (0.40)
Ep: 91, Reward: 22.3605, Test: 419.0850 [227.82], Avg: 298.6026 (0.40)
Ep: 92, Reward: 52.4971, Test: 487.6032 [204.66], Avg: 300.6349 (0.39)
Ep: 93, Reward: 28.8221, Test: 677.5043 [185.62], Avg: 304.6441 (0.39)
Ep: 94, Reward: 50.7561, Test: 710.6344 [208.45], Avg: 308.9177 (0.38)
Ep: 95, Reward: 40.0551, Test: 445.7307 [261.66], Avg: 310.3428 (0.38)
Ep: 96, Reward: 73.4611, Test: 379.9164 [191.35], Avg: 311.0601 (0.38)
Ep: 97, Reward: 95.8005, Test: 480.3625 [207.27], Avg: 312.7877 (0.37)
Ep: 98, Reward: 23.2326, Test: 284.5955 [176.51], Avg: 312.5029 (0.37)
Ep: 99, Reward: 37.1964, Test: 370.3687 [205.47], Avg: 313.0815 (0.37)
Ep: 100, Reward: 18.7836, Test: 413.0970 [218.53], Avg: 318.0363 (0.36)
Ep: 101, Reward: 50.2910, Test: 392.6131 [204.36], Avg: 322.7824 (0.36)
Ep: 102, Reward: 33.8159, Test: 375.3540 [153.01], Avg: 327.2810 (0.36)
Ep: 103, Reward: 22.3614, Test: 306.0246 [226.68], Avg: 331.1440 (0.35)
Ep: 104, Reward: 49.7932, Test: 303.9910 [150.79], Avg: 335.3776 (0.35)
Ep: 105, Reward: 29.1483, Test: 551.2019 [213.51], Avg: 341.6923 (0.34)
Ep: 106, Reward: 40.0287, Test: 550.8585 [196.15], Avg: 347.9423 (0.34)
Ep: 107, Reward: 93.4092, Test: 523.8097 [242.90], Avg: 353.9967 (0.34)
Ep: 108, Reward: 123.3469, Test: 403.7742 [188.37], Avg: 359.2047 (0.33)
Ep: 109, Reward: 71.6652, Test: 305.3500 [115.04], Avg: 363.0647 (0.33)
Ep: 110, Reward: 57.7969, Test: 314.9501 [193.79], Avg: 367.5029 (0.33)
Ep: 111, Reward: 47.8545, Test: 326.8070 [166.94], Avg: 371.8877 (0.32)
Ep: 112, Reward: 55.6164, Test: 332.7243 [156.36], Avg: 375.7244 (0.32)
Ep: 113, Reward: 75.0449, Test: 254.6053 [105.15], Avg: 378.4490 (0.32)
Ep: 114, Reward: 99.5885, Test: 296.8716 [114.75], Avg: 381.8819 (0.31)
