Agent: ddpg, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 0, Reward: -75.4602, Test: -91.3371, Avg: -91.3371
Ep: 1, Reward: -54.2948, Test: -91.1508, Avg: -91.2440
Ep: 2, Reward: -69.3809, Test: -66.3785, Avg: -82.9555
Ep: 3, Reward: -63.1478, Test: -68.0690, Avg: -79.2338
Ep: 4, Reward: -31.2197, Test: -83.3515, Avg: -80.0574
Ep: 5, Reward: -61.8416, Test: -85.8921, Avg: -81.0298
Ep: 6, Reward: -64.8897, Test: -83.7697, Avg: -81.4212
Ep: 7, Reward: -68.5709, Test: -81.8058, Avg: -81.4693
Ep: 8, Reward: -55.2144, Test: -84.2122, Avg: -81.7741
Ep: 9, Reward: -73.4748, Test: -82.8040, Avg: -81.8771
Ep: 10, Reward: -53.7617, Test: -83.0731, Avg: -81.9858
Ep: 11, Reward: -68.8181, Test: -83.1295, Avg: -82.0811
Ep: 12, Reward: -34.3135, Test: -81.6206, Avg: -82.0457
Ep: 13, Reward: -40.2819, Test: -84.2822, Avg: -82.2054
Ep: 14, Reward: -72.2999, Test: -83.6641, Avg: -82.3027
Ep: 15, Reward: -69.3789, Test: -83.8522, Avg: -82.3995
Ep: 16, Reward: -53.0507, Test: -84.0763, Avg: -82.4982
Ep: 17, Reward: -62.6821, Test: -83.8596, Avg: -82.5738
Ep: 18, Reward: -77.4626, Test: -79.9308, Avg: -82.4347
Ep: 19, Reward: -71.6022, Test: -81.5219, Avg: -82.3890
Ep: 20, Reward: -31.8171, Test: -83.9315, Avg: -82.4625
Ep: 21, Reward: -73.6418, Test: -81.2898, Avg: -82.4092
Ep: 22, Reward: -71.4293, Test: -82.3512, Avg: -82.4067
Ep: 23, Reward: -79.1009, Test: -83.2296, Avg: -82.4410
Ep: 24, Reward: -57.6449, Test: -76.5472, Avg: -82.2052
Ep: 25, Reward: -37.0367, Test: -75.5540, Avg: -81.9494
Ep: 26, Reward: -50.1124, Test: -72.0874, Avg: -81.5841
Ep: 27, Reward: -68.2659, Test: -82.5690, Avg: -81.6193
Ep: 28, Reward: -82.7051, Test: -82.6625, Avg: -81.6553
Ep: 29, Reward: -52.9490, Test: -67.6706, Avg: -81.1891
Ep: 30, Reward: -59.0626, Test: -73.4832, Avg: -80.9406
Ep: 31, Reward: -48.7650, Test: -80.9280, Avg: -80.9402
Ep: 32, Reward: -36.2118, Test: -69.5382, Avg: -80.5946
Ep: 33, Reward: -10.9566, Test: -65.7007, Avg: -80.1566
Ep: 34, Reward: -58.1054, Test: -68.4301, Avg: -79.8215
Ep: 35, Reward: -78.2394, Test: -67.3207, Avg: -79.4743
Ep: 36, Reward: -78.0607, Test: -75.2986, Avg: -79.3614
Ep: 37, Reward: -48.6199, Test: -74.4778, Avg: -79.2329
Ep: 38, Reward: -41.0453, Test: -48.0398, Avg: -78.4331
Ep: 39, Reward: -14.7907, Test: -34.6304, Avg: -77.3380
Ep: 40, Reward: -72.6560, Test: -65.2382, Avg: -77.0429
Ep: 41, Reward: -34.2162, Test: -36.3250, Avg: -76.0734
Ep: 42, Reward: -62.3788, Test: -47.7412, Avg: -75.4146
Ep: 43, Reward: -60.5393, Test: -2.5568, Avg: -73.7587
Ep: 44, Reward: -57.6821, Test: -10.1110, Avg: -72.3443
Ep: 45, Reward: -61.8165, Test: -71.0959, Avg: -72.3172
Ep: 46, Reward: -43.4701, Test: -81.5034, Avg: -72.5126
Ep: 47, Reward: -70.5469, Test: -80.9101, Avg: -72.6876
Ep: 48, Reward: -69.3970, Test: -82.2320, Avg: -72.8823
Ep: 49, Reward: -35.3789, Test: -82.9808, Avg: -73.0843
Ep: 50, Reward: -75.5611, Test: -79.7025, Avg: -73.2141
Ep: 51, Reward: -39.7755, Test: -78.1812, Avg: -73.3096
Ep: 52, Reward: -63.6266, Test: -78.2049, Avg: -73.4020
Ep: 53, Reward: -44.7928, Test: -77.2325, Avg: -73.4729
Ep: 54, Reward: -60.5952, Test: -19.1174, Avg: -72.4846
Ep: 55, Reward: -73.7063, Test: 243.2997, Avg: -66.8456
Ep: 56, Reward: -17.2207, Test: 183.6529, Avg: -62.4509
Ep: 57, Reward: -46.2482, Test: 181.8883, Avg: -58.2382
Ep: 58, Reward: -16.8096, Test: 118.4503, Avg: -55.2434
Ep: 59, Reward: -31.9039, Test: 113.9660, Avg: -52.4233
Ep: 60, Reward: -34.9196, Test: 57.6015, Avg: -50.6196
Ep: 61, Reward: -36.3652, Test: 71.3321, Avg: -48.6526
Ep: 62, Reward: -38.7623, Test: 21.3133, Avg: -47.5421
Ep: 63, Reward: -10.8141, Test: 0.3378, Avg: -46.7939
Ep: 64, Reward: -19.7835, Test: -39.7949, Avg: -46.6863
Ep: 65, Reward: -75.3906, Test: 19.5755, Avg: -45.6823
Ep: 66, Reward: -51.1977, Test: -4.7431, Avg: -45.0713
Ep: 67, Reward: -42.8460, Test: 32.1526, Avg: -43.9356
Ep: 68, Reward: -26.1170, Test: -5.3694, Avg: -43.3767
Ep: 69, Reward: -42.2613, Test: -22.4801, Avg: -43.0782
Ep: 70, Reward: -42.1614, Test: -38.8564, Avg: -43.0187
Ep: 71, Reward: -61.4373, Test: -11.9821, Avg: -42.5876
Ep: 72, Reward: -41.1285, Test: -50.4605, Avg: -42.6955
Ep: 73, Reward: -40.1862, Test: -23.7996, Avg: -42.4401
Ep: 74, Reward: -42.2181, Test: -40.7537, Avg: -42.4177
Ep: 75, Reward: -48.6013, Test: -32.4748, Avg: -42.2868
